ஆ|	A:A|
க:்:ர|ஹ|ா|ம:்|	G:r|a:h|a|m|
ஹ|ன:்|ன|ா|ன:்|	H:a|n|n|a|n|
ச|ர|்:க:ா|ர:்|	S:a|r|k:a|r|
ஹ|ோ|ஸ|ன:்|ன|ா|	H|o|s:a|n|n|a|
ஃ:ப|ர:்|ஹ|த:்|	F|a:r:h|a|t|
ஜ|ீ|ட:்:ட|ன:்|	J|e:e|t:a|n|
ஜ|ூ|ல|ி|ய|ன:்|	J|u|l|i|e|n|
வ|ி|ய|ன|ெ:ர:்|	W|i|e|n|e:r|
க|ெ:ப:்|ல|ர:்|	K|e:p|l:e|r|
வ|ெ|ச|ல:்|ஸ:்|	W|e|s|s:e:l|s|
ல:க:்|ஷ:்:ம|ி|	L:a|x:m|i|
ந|ா|ர|ா|ய|ன:்|	N|a|r|a|y:a|n|
ம|ஹ|ா|ர|ா|ஜ|ா|	M:a|h|a|r|a|j|a|
ம|ல|ி|ங:்:க|ா|	M:a|l|i|n:g|a|
ப|ண:்:ட|ா|ர|ா|	B:a|n:d|a|r|a|
ம|ஸ:்:க|ா:ன:்|	m:a|s:c|o:n|
க:்:ள|ோ|ப|ல:்|	g:l|o|b:a|l|
ஃ:ப:ை|ச|ா|ல|்|	M:a|s|o|o|d|
ம|ை|க|்:க|ல:்|	M|i|c|h:a:e|l|
ஸ:்|ல|ே:ட|ர:்|	S|l|a:t:e|r|
ஆ|ர|ி|ஜ:ி|ஸ:்|	o|r|i|g:i:n|s|
உ|ப|ே|ர|ா|த|்|	U|e|b|e:r:r|o|t|h|
ப:்|ர|ப|ோ|த|்|	P|r:a|b|o|d|h|
ச|ந:்:த|ி:ர:ா|	C:h:a|n:d|r:a|
ர|ா|ப:ர|்:ட:்|	R|o|b:e:r|t|
ஃ|ப|ல|்:க|ம:்|	F|u|l|g:h:u|m|
க|ெ:ன:்|ன|ட|ி|	K|e:n|n:e|d|y|
வ|ா|க:்|ன|ர:்|	W|a|g|n:e|r|
ர|ோ|ல|ண:்|ட:்|	R|o|l:a|n|d|
ஹ|ோ|ல:்|ட|ர:்|	h|o|l|d:e|r|
ச|ந:்:த|ீ|ப:்|	S:a|n:d|e:e|p|
ப|ட:்:ட|ி|ல:்|	P:a|t|i|l|
ட:வ|ா|ண:்:ட|ா|	T:a:w|a|n:d|a|
ம|ப|ு:ர|ி|வ|ா|	M:u|p:a|r|i|w|a|
த|ி:ய:ோ|த|ர|்|	T:h|e:o|d|o:r|e|
ட:்|ர|ீ:ச|ர:்|	D|r:e|i:s:e|r|
ஜ|ே|வ|ி|ய:ர:்|	X|a|v|i|e:r|
க|ர|ி|ஷ|்:ம|ா|	K:a|r|i|s:h|m|a|
ஆ|ன|்|க:ோ|ன:்|	A|n|n|k:h:o|n|
க:ன|ட:ி|ய:ன:்|	C:a:n|a:d:i|a:n|
ப|ொ|ய|ட:்|ஸ:்|	p|o|e|t|s|
ஜ:ெ|ஃ:ப:்|ர:ி|	G:e:o|f:f|r:e:y|
ப|ி|ல:்|ச|ன:்|	B|i|l|s:o|n|
ந|வ|ப:ா|ர|த:்|	N:a|v:a|b:h:a|r:a|t|
ஃ:ப:ெ|ர:்|ர|ோ|	F:e|r|r|o|
அ:ல:்|ல|ா:ய:்|ஸ:்|	a:l|l|o:y|s|
ச|ர:்|த|ா|ர:்|	S:a|r|d|a|r|
வ|ி|த|்:ய:ா|ல|ய:ா|	V|i|d|y:a|l|a:y:a|
ம|ு|ஹ|ா|ச|ி|ன:்|	M|u|h:a|a|s|i|n|
ம|ு|ஹ|ய|ம:ீ|ன:்|	M|u|h|a:y:a|m:e:e|n|
ம|ு|க:்:க|ி|த:்|	M|u|q|i|t|
ம|ு|க:்|ச|ி|த:்|	M|u|q|s|i|t|
த|ா:வ:்|வ|ா|ப:்|	T:a|w|w:a|a|b|
த|ா|வ|்:வ:ா|ப:்|	T|a|w|w:a|b|
வ|ா|ஹ:்|ஹ|ா|ப:்|	W|a|h|h:a|a|b|
ர|ா|ஸ:்|ஸ|ா|க:்|	R|a|z|z|a|k|
ப|ு|ட:்:ட|ி|க|்|	P|u|t:t|i|c|k|
அ|ர:்|ஜ|ு|ன|ா|	A|r|j|u|n|a|
ர|ன|த:ு|ங:்:க|ா|	R:a|n|a:t:u|n:g|a|
ஆ|ஷ|்:வ:ெ|ல|்|	A|s:h|w:e|l|l|
ப:்:ர|ி|ன|்:ஸ:்|	P:r|i|n|c:e|
அ|ய|ா|த:ோ|ல:ா|	A|y|a|t:o:l|l:a:h|
க|ொ|ம|ெ:ய:்|ன|ி|	K:h|o|m|e:i|n|i|
ப|ந:்:த|ு|ல|ா|	B:a|n:d|u|l|a|
வ|ர:்|ண|ப|ூ|ர|ா|	W:a|r|n:a|p|u|r|a|
ப:்:ர|ை|ய:ன:்|	B:r|y|a:n|
ஸ:்|ட:்|ர|ா|ங:்|	S|t|r|a:n|g|
ச|ம|ி|ந:்:த|ா|	C:h:a|m|i|n:d|a|
ம|ெ:ண:்|ட|ி|ஸ:்|	M|e:n|d|i|s|
ச:ா|ர:்|ல|ஸ:்|	C:h:a|r|l:e|s|
ம|ா|ர|்:ட:ெ|ல:்|	M|a|r|t:e|l|
ட|ா|ம|ி|ய|ன:்|	D|a|m|i|e|n|
ம|ா|ர|்:ட:ை|ன:்|	M|a|r|t:y|n|
இ|ர|ா|ஸ:்|ம|ஸ:்|	E|r|a|s|m:u|s|
ட|ா|ன|ி|ய:ல:்|	D|a|n|i|e:l|
வ|ெ:ட:்|ட|ோ|ர|ி|	V|e:t|t|o|r|i|
ச|ோ|ல|்:க:ா|ர:்|	S|o|l|k:a|r|
எ|ல:்:வ|ி|ஸ:்|	E|l:v|i|s|
ப:்:ர|ெ:ஸ:்|ல:ி|	P:r|e:s|l:e:y|
ஷ:ி|ப:்|ப|ி|ங|்|	s:h:i|p|p|i|n|g|
எ:வ|ர:்|ட|ன:்|	E:v:e|r|t:o|n|
ம|ா|ட:்:ட|ி|ஸ:்|	M|a|t:t|i|s|
க|ர|்:வ:ா|ல|ி|	G:h:a|r|w:a|l|i|
ப|ஹ|ர|்:வ:ா|ல|ி|	B:a|h:a|r|w:a|l|i|
ட|ோ|ப|ா|க:்|க|ோ|	t|o|b|a|c|c|o|
ஜ|ஸ:்:ட|ி|ன:்|	J:u|s:t|i|n|
ல|ா|ங:்:க|ெ:ர:்|	L|a|n:g|e:r|
ல|ி|ஸ:்|ப|ன:்|	L|i|s|b:o|n|
ப|ோ|ர|்:ட:ெ|ல|ா|	P|o|r|t:e|l|a|
ஒ|ல|ி|ம:்|ப|ஸ:்|	O|l|y|m|p:u|s|
ந|த:்|வ:ா|ர|ா|	N|a:t:h|d:w:a|r|a|
ப:்:ர|ௌ:ன|ி|ங|்|	B:r|o:w:n|i|n|g|
ஹ|ெ|ய:்|ன|்|ஸ:்|	H|a|y|n|e|s|
ம|ி|ட:்|ச|ா|ம:்|	M|i|t|c:h|a|m|
ட:ி:ர|ெ:வ|ர:்|	T:r|e:v:o|r|
ச:ா|ப:்|ப|ெ|ல|்|	C:h:a|p|p|e|l|l|
உ|ஸ:்|ம|ா|ன:்|	U|s|m|a|n|
அ|ஃ:ப:்|ஸ:ா|ல:்|	A|f|z:a:a|l|
வ:ை|க:்:க|ம:்|	V:a:i|k:o|m|
ம|ஹ|ா|த|ே|வ|ர:்|	M:a|h|a|d|e|v:a|r|
வ|ி|ர|ி|ப|ஸ:்|	v|i|r|i|b:u|s|
ய:ூ:ன|ி|ட|ி|ஸ:்|	u:n|i|t|i|s|
ஃ:ப:்|ப|த|ே|ஹ:்|	F|a|t|e|h|
க:ா|ர|்:ம:ெ|ல:்|	C|a:r|m:e|l|
ச|ெ|ய:்|ய|த:்|	S|e|y|y:e|d|
ஹ|ோ|ச|ெ:ய:்|ன:்|	H|o|s:s|e:i|n|
ந|ா|ஸ:்|ர:்|	N|a|s|r|
ச|ர:்|ப|ா|க|்|	C:h:a|r|b|a|g|h|
ர:ெ:ய|ி|ல:்|வ:ே|	r:a|i|l|w:a:y|
க:வ|ர:்:ன|ர:்|	G:o:v|e:r|n:o:r|
ஜ|ெ|ன|ர|ல|்:ஸ:்|	G|e|n|e:r:a|l|':s|
த|ெ:ல:்|ர|ன:்|	D|e:l|r:a|n|
ச:ூ|ல:க|ி|ர|ி|	S:o:o|l:a:g|i|r|i|
ச:ி|ன:்|ன|ா|ர:்|	C:h:i|n|n|a|r|
ஹ|ி|க:்:க|ர:ி|	H|i|c:k|o:r:y|
ப:ி:ர|ெ|ஸ|்:ப:ை|ட|ி|ர|ி|ய:ன:்|	P:r|e|s|b:y|t|e|r|i|a:n|
அ|ல|ி|ப|ா|க:்|	A|l|i|b|a:u|g|
அ|ன:்:ட|ா:ய:்|	A|n:d|o:y|
அ:ர:்|ன|ா|ல|ா|	a:r|n|a|l|a|
ப|ண:்:ட|்:ர:ா|	B:a|n:d|r:a|
ட|ெ:ர:்|ம|ி|ன|ஸ:்|	t|e:r|m|i|n:u|s|
ல:ெ|ப:்:ப|ர:்|ட:்|	l:e:o|p:a|r|d|
வ|ெ:ஸ:்|ஸ|ல|்:ஸ:்|	W|e:s|s|e:l|s|
ல|ி|ட:்:ட|ல|்|	l|i|t:t|l|e|
ல|ம:்|ப:்|ஸ:்|	l:u|m|p|s|
ம|ஞ:்:ச|ு|ள|ா|	M:a|n:j|u|l|a|
ம|ு|ன|ச|ி|ங:்:க|ே|	M|u|n:a|s|i|n:g|h:e|
ஓ|ப|்|ர|ா|ய:்|	O|b|e|r|o|i|
ஆ|ர:்|ம|ு|ல|ா|	o|r|m|u|l|a|
ப|ி|ய|ர|்:ஸ:்|	P|e|a|r|s:e|
ப|்:ர:ா|ஸ|்|ன|ன:்|	B|r:o|s|s|n:a|n|
ர|ங:்:க|ி|ல|ா|	r:a|n:g|i|l|a|
ர|ா|ஜ|ஸ:்|த:ா|ன:்|	R|a|j:a|s|t:h:a|n|
ஆ|ன:்|ட|ர:்|ச|ன:்|	A|n|d:e|r|s:o|n|
அ|ட:்|க|ி|ன:்|ஸ:்|	A|t|k|i|n|s|
க:ி:ர|ா:ஃ:ப|்:ட:்|	C:r|o:f|t|
ல:ா|ஃ:ப:்|ல|ி|ன:்|	L:a:u|g:h|l|i|n|
ச|ோ|ஃ:ப|ோ|ன:்|	S|o|f|o|n|
ச|ு|ஃ:ப|ா|ப|ோ|ங|்|	S|u|p|h:a|p|o|n|g|
ஸ:்|வ|ர|ா|ஜ:்|	S|w:a|r|a|j|
இ|ன:்|ஜ|ி|ன|்|ஸ:்|	e|n|g|i|n|e|s|
வ|ி|க:்:ட|ர:ி|	v|i|c:t|o:r:y|
அ:ச|ெ:ம:்|ப:்:ள|ி|	a:s:s|e:m|b:l|y|
ட:ல|்:ல:ா|ஸ:்|	D:a:l|l:a|s|
இ|த:ு|ர:ா|ன:்|	I|t|u:r:a|n|
ல|ோ|க:்:க|ே:ஷ|ன:்|	l|o|c:a|t:i:o|n|
க|ன:்|ட:ி:ர|ோ|ல:்|	c:o|n|t:r|o|l|
ஹ|ர|ா:ல:்|ட:்|	H:a|r|o:l|d|
ம|ா:ர:்|ட:்:ட|ன:்|	M|o:r|t:o|n|
ல|ே|ண:்|ட|ன:்|	L|a|n|d:o|n|
ட:்|ர|ா|ன:்|ஸ:்|ல|ே:ஷ|ன:்|	t|r|a|n|s|l:a|t:i:o|n|
ஆ|ர|ி|ஜ|ி|ன:்|	o|r|i|g|i|n|
அ|க:்|ர|ி|ட|ெ|க|்|	A|g|r|i|t|e|c|h|
ஆ|ர:்|த:்:த|ி|	A:a|r|t|i|
இ|ண:்|ட|ஸ:்|ட:்|ர|ி|	I|n|d:u|s|t|r|i:e|
ம|ு|ஹ|ா|ய:்|ம:ி|ன:்|	M|u|h:a|a|y|m:e:e|n|
ம|ு|ஹ|ா|ய:்|ம:ீ|ன:்|	m|u|h|a|y|m:e:e|n|
ம|ு|ஹ|ா|ய:்|ம|ி|ன:்|	M|u|h|a|y|m|i|n|
ஆ|ழ|ி|ய|ா|ர:்|	A|l|i|y|a|r|
ஆ|ஸ:்|ட:்|ர|ா|	A|s|t|r|a|
ம|ை|க:்|ர|ோ|வ|ே|வ|்|	m|i|c|r|o|w|a|v|e|
ப|ா|ர:்|ப|ர|ா|	B|a|r|b:a|r|a|
ஸ:்:ட|ா|ன:்|வ:ி|க:்|	S:t|a|n|w:y:c|k|
ப|ெ:ர:்|ஜ|ர:்|	B|e:r|g:e|r|
க|ொ|வ|ெ:ண:்|ட:்|ர|ி|	C|o|v|e:n|t|r|y|
க:ா|ம:்|ட|ச:்|	C:o:m|m|t:o|u:c:h|
க:ி:ர|ா|ஃ:ப:்|	G:r|a|f|
ஸ:ெ|ப:்|ப:ெ:ல|ி|ன:்|	Z:e:p|p|e:l|i|n|
ஹ:ை|த|ி|ய:ன:்|	H:a:i|t|i|a:n|
ம|ெ|ர|ெ:ன:்|க|்:ய:ூ|	m|e|r|e:n|g|u:e|
ஹ:ை|ட|ி|ய:ன:்|	H:a:i|t|i|a:n|
ர|ெ:வ|ல|்:ய:ூ|ஷ|ன:்|	r|e:v:o|l|u|t:i:o|n|
க:்:ள|ை|க|ோ|ல:்|ஸ:்|	g:l|y|c|o|l|s|
ச|ி|க:்:க|ந|்|த:ர:்|	S|i|k:a|n|d|e:r|
க|ோ|ட|க|ன|ர:்|	K|o|d|a:g:a|n:a|r|
ர|ஞ:்:ச|ி|த|்|	R:a|n:j|i|t|h|
ம|த:ு|ர|ச|ி|ங:்:க|ே|	M|a:d:u|r:a|s|i|n:g|h:e|
ஷ|்:ன|ை|ட|ர:்|	S:c:h|n|i:e|d:e|r|
எ:ல|க:்|ட:்|ர|ி|க:்|	e:l:e|c|t|r|i|c|
ட|ே|ண:்|ட|ம:்|	t|a|n|d:e|m|
ச|ை|க:்|க:ி:ள|ி|ங|்|	c|y|c|l|i|n|g|
த|ி:ய:ோ|ட|ர|்|	T:h|e:o|d|o:r|e|
ர:ூ|ஸ|ெ|வ|ெ:ல:்|ட:்|	R:o:o|s|e|v|e:l|t|
ர:ூ|ஸ|்|வ|ெ:ல:்|ட:்|	R:o:o|s|e|v|e:l|t|
ட|ா:ப:்|ப|ன:்|	T|o:p|p:a|n|
ப:ி:ர|ி|ண:்:ட|ி|ங|்|	p:r|i|n:t|i|n|g|
உ|ப:்|ப|ா|ர:்|	U|p|p|a|r|
ந|ந:்:த|ூ|ர:்|	N:a|n:d|u|r|
ம|த:்|ம|ே|ஷ|்|வ|ர:்|	M|a:d:h|m|e|s|h|w:a|r|
ந|ா:ர:்|ம|ன:்|	N|o:r|m:a|n|
வ|ி|ன:்:ச|ெ:ன:்|ட:்|	V|i|n:c|e:n|t|
ப:ீ|ல|்|	P:e:a|l|e|
ம|ா|ர|்|ச:ல:்|	M|a|r|c|e:l|
ப|ெ|ன|ோ|ய:ி|ஸ:்|ட:்|	B|e|n|o|i|s|t|
எ:ட:்|ஜ|்|க|ம:்|ப|ே|	E:d|g|c|u|m|b|e|
க|ா|ர:்|ட|ன:்|	g|a|r|d:e|n|
ப|ே|ட:்:ட|ர|ி|	b|a:t|t:e|r|y|
க|ெ|ப|ர:்|ட:்|	K|e|p|h:a:r|t|
ஃ:ப:ி|ள:ெ:ம|்:ம|ி|ங|்|	F|l:e|m|i|n|g|
ப:ி:ள|ே:ம|ல:்|	F:l|a:m:e|l|
ஜ:ா|ன:்|ஸ|ன:்|	J:o:h|n|s:o|n|
க|ன:்|ட:ி:ர|ோ|ல:்|ஸ:்|	c:o|n|t:r|o|l|s|
ம|ா|ர:்|வ|ன:்|	M|a|r|v:a|n|
அ|ட:்:ட|ப:்:ப|ட:்:ட|ு|	A|t:a|p:a|t:t|u|
ம|ி|ங:்|க|ன:்|	M|i|n|g:a|n|
ஆ|ர:்|ச|ி|ப|ெ|ல|ா|க|ோ|	a|r|c:h|i|p|e|l|a|g|o|
ம|ா|ர|்:ஃ:ப|ி|	M|o|r|p:h|y|
ர|ெ:வ|ல:்|ஸ:்:ட|ோ|க|்|	R|e:v:e|l|s:t|o|k|e|
ப|ே|ப:்:ப|ர:்|	p|a|p:e|r|
ப|்:ர:ா|ட|க|்:ட:்|ஸ:்|	p|r:o|d|u|c:t|s|
ர|ெ:ட:்|ஃ:ப|ோ|ர:்|ட:்|	R|e:d|f|o|r|d|
ச|ச:்:ச|ி|ன:்|	S:a|c:h|i|n|
ட|ெ:ண:்|ட|ு|ல:்|க|ர:்|	T|e:n|d|u|l|k:a|r|
ட|ெ:ன:்|ட|ு|ல:்|க|ர:்|	T|e:n|d|u|l|k:a|r|
ஸ:்:ட|ா|ன:்:ட|ர|்:ட:்|	s:t|a|n:d|a:r|d|
ர|ி|ச|ோ|ச|ர|்|ஸ:்|	r|e|s|o|u|r|c:e|s|
ஸ:்|ர|ீ|ம|த:ி|	S|r|i|m|a:t:i|
ச|ு|ல|ோ|ச|ன|ா|த|ே|வ|ி|	S|u|l|o|c:h:a|n|a|d|e|v|i|
ச|ி|ங:்:க|ா|ன|ி:ய:ா|	S|i|n:g|h:a|n|i:a|
ஸ:்|ர:ீ|க:ி:ர|ு|ஷ|்:ண:ா|	S|h:r:i|k:r|i|s:h|n:a|
த|ி|ன|ந:ா|த|்|	D|i|n|a:n:a|t|h|
ர|ா|ம|்:ந:ா|ர|ா:ய:்|ண|்|	R|a|m|n:a|r|i|n|e|
ம|ர|ி:ய:ே|ன:்|	M:a|r|i:a|n:n:e|
வ|ி|ல:்|ல|ி|ய:ம:்|ச|ன:்|	W|i|l|l|i|a:m|s:o|n|
ம|த:்:த|ே:ய:ு|	M:a|t:h|e:w|
ச|ி|ன:்|க:ி:ள|ே:ய:்|ர:்|	S|i|n|c:l|a:i|r|
ப:்:ர|ோ:ஜ|ன:்|	P:r|o:g:e|n|
ர|ா|ஸ:்|ப:்|ப|ெ:ர:்|ர|ி|	r|a|s|p|b|e:r|r|y|
எ:ல:்|ர|ா:ன:்|	E:l|r|o:n|
எ:ல|க:்:ட|ி:ர:ா|ன|ி|க:்|	e:l:e|c:t|r:o|n|i|c|
அ|ம:்|ப|ா|ல|ா|	A|m|b|a|l|a|
ப:்:ர|ூ:ன|ல:்|	B:r|u:n:e|l|
ச:ோ|ல:்|வ|ர|ம:்|	C:h:o|l|v:a|r:a|m|
ஃ:ப:்|ப:ி:ள|ி|ன:்|ட:ா|ஃ:ப:்|	F|l|i|n|t:o:f|f|
ப:்:ர|த|ீ|ப:்|	P:r|a:d|e:e|p|
ஜ|ெ|ய|ப:்|ர|க:ா|ஷ|்:த|ர|ண:்|	J|a|y:a|p|r|a:k:a|s:h|d|a:r:a|n|
க|ோ|த|ா|வ|ர|ி|	G|o|d|a|v:a|r|i|
ஃ:ப:ெ|ர|்:ட:ி|ல|ை|ச|ர:்|ஸ:்|	f:e|r|t:i|l|i|z:e|r|s|
இ|ர:்:வ|ை|ன|்|	I|r:v|i|n|e|
ஷ:ி|ல:்|ல|ி|ங|்:ஃ:ப|ோ|ர:்|ட:்|	S:h:i|l|l|i|n:g|f|o|r|d|
ப|ா|ர:்|ம|ா|ச|ெ|ட:்:ட|ி|க:்:க|ல:்|ஸ:்|	p:h|a|r|m|a|c:e|u|t|i|c:a|l|s|
ர|ு|ஸ|்|த|ம:்|-|இ|-|ப|ா|க:்|த:ா|த:்|	R|u|s|t|o|m|-|e|-|b|a|g|h:d:a|d|
ஆ:ங:்|க:ி:ள|ோ|-|ட|ச|்|	A:n|g:l|o|-|D:u:t|c|h|
ஆ:ங:்|க:ி:ள|ோ|-|ஸ:்:ப|ா|ன|ி|ஷ|்|	A:n|g:l|o|-|S:p|a|n|i|s|h|
ஆ|ஸ:்|ட:ி:ர|ோ|-:ட|ர:்|க:்:க|ி|ஷ|்|	A:u|s|t:r|o|-:T:u|r|k|i|s|h|
ஆ:ங:்|க:ி:ள|ோ|-|ஃ:ப:்|ப:ி:ர|ெ|ஞ|்:ச:ு|	A:n|g:l|o|-|F|r|e|n|c:h|
ஆ|த|ம:்|க:ோ|ர:்|	A:a|d:a|m|k:h:o|r|
ஆ|த|ர:்|ஷ:ி|ல|ா|	A:a|d:h:a|r|s:h:i|l|a|
ஆ:த|ி|ஷ|்|வ|ர:்|	A:a:d|i|s|h|v:a|r|
ஆ:க|ா|ர:்|ஷ|ன:்|	A:a:k|a|r|s:h:a|n|
ஆ|ல|ி|ங:்|க|ன:்|	A:a|l|i|n|g:a|n|
ஆ|ன|ந:்:த|ி:ன:ீ|	A:a|n:a|n:d|e:e|
ஆ|ன|ந:்:த|ி|ன|ி|	A:a|n:a|n:d|i|n|i|
ஆ|ன|ந:்:த|ி|த:்|	A:a|n:a|n:d|i|t|
அ|ப:்|த:்|ன|ன:்|	A|b|d|n:a|n|
அ:ப|ி|ஜ:்|வ|ல|ா|	A:b:h|i|j|w:a|l:a|a|
அ|ப|ி|ங|்|ட|ன:்|	A|b|i|n|g|t:o|n|
அ|ப:்|ர:ய|ோ|ன|ி|	A|b|j:a:y|o|n|i|
அ|ப:்|ச|ர|ோ|க|ோ|	A|b|s:a|r|o|k|a|
அ|ச:்:ச|ா|ன|க:்|	A|c:h|a|n:a|k|
அ|த|ி|ஷ|்|வ|ர:்|	A|d|i|s|h|v:a|r|
அ|ஃ:ப|ா|ஸ|ா|ன|ா|	A|f|a|s|a|n:a|a|
அ|ஃ:ப:்|ச|ா|ர:்|	A|f|s|a|r|
அ|க|ர|்:ட:ா|ல|ா|	A|g:a|r|t:a|l|a|
அ|க|ஸ:்:த|ி|ய:ா|	A|g:a|s:t|y|a|
அ|ஹ|ா|க:்|க|ர:்|	A|h|a|g|g:a|r|
அ|ஹ|ங:்:க|ா|ர:்|	A|h:a|n:k|a:a|r|
ஐ|ஷ|்:வ|ர|்:ய:ா|	A:i|s:h|w|a:r|y:a|
அ|ஜ|ய:்|ப|ூ|ர:்|	A|j|a:i:b|p|u|r|
அ|ஜ|ா|ர|த:ா|ஹ:்|	A|j|a|r|a:d:a|h|
அ|க|்|த:ி|ய|ர:்|	A|k:h|t|i|y:a|r|
அ|ல|ம|்:க:ி|ர:்|	A|l:a|m|g:i|r|
அ|ல|ம:்|ந|க|ர:்|	A|l:a|m|n:a|g:a|r|
அ|ல:்|ப:ர|்:ட:்|	A|l|b:e:r|t|
அ|ல:்|ப|ோ|ர|ன:்|	A|l|b|o|r:a|n|
அ|ல:்|க|வ|ா|ன:்|	A|l|g:a|w|a|n|
அ|ல|ி:க|ன:்:ட|ே|	A|l|i:c:a|n:t|e|
அ|ல|ஹ|ா|ப|ா|த:்|	A|l:l:a|h|a|b|a|d|
அ|ல:்|ட:ா|ஃ:ப:்|	A|l|t:a:a|f|
அ|ல|்:ட:ா|ஃ:ப:்|	A|l|t:a|f|
அ|ம|ல:்|ச|ா|த:்|	A|m:a|l|s|a|d|
அ|ம|ன:்:த|ி|ப:்|	A|m:a|n:d|i|p|
அ|ம|ன:்|ஜ|ீ|த:்|	A|m:a|n|j|e:e|t|
அ|ம|ர|ா|ன:்:ட|ா|	A|m:a|r|a|n:t|a|
அ|ம|ர:்|ர:ா|ப:்|	A|m:a|r|a|p|
அ|ம|ர:்|ர:ா|ஜ:்|	A|m:a|r|a:r:a|j|
அ|ம|ர:்|ஜ|ீ|த:்|	A|m:a|r|j|e:e|t|
அ|ம|ர:்|ஜ|ி|த:்|	A|m:a|r|j|i|t|
அ|ம|ர|்:ந:ா|த|்|	A|m:a|r|n:a|t|h|
அ|ம|ஜ|ோ|ந|ி:ய:ா|	A|m:a|z|o|n|i:a|
அ|ன|ஹ|ி:த:்|த|ா|	A|n:a|h|i|t:a|a|
அ|ன|ா|ல|ி|ய|ஸ|்|	A|n|a|l|i|e|s|e|
அ|ன|ம|ி|த:்|ர|ா|	A|n:a|m|i|t|r|a|
ஆ|ன|ந:்:த|ி|ன:ீ|	A|n:a|n:d|i|n:e:e|
ஆ|ன|ந:்:த|ி|ன|ி|	A|n:a|n:d|i|n|i|
அ|ன|ன|்:ய:ா|ஜ:்|	A|n:a|n|y:a|j|
அ|ந:்:த|ோ|ல|ன:்|	A|n:d|o|l:a|n|
அ|ங:்:க|ம:ா|ல|ி|	A|n:g|a:m:a|l|i|
அ|ங:்:க|ர|ா|ஜ:்|	A|n:g|a:r:a|a|j|
அ|ஞ:்:ச|ு|ம|ன:்|	A|n:j|u|m:a|n|
அ|ன:்|த|ர|ா|ஹ:்|	A|n|t:a|r:a|a|h|
அ|ன|ு|த:்|த|ம:்|	A|n|u|t|t:a|m|
அ|ப|ர|ா|ஜ|ி|த:்|	A|p:a|r:a|a|j|i|t|
அ|ப|ர:்|ன|ே|ஷ|்|	A|p:a|r|n|e|s|h|
அ|ர|ா|ஃ:ப|ா|த:்|	A|r|a|a:f:a|a|t|
அ|ர|ா|ஃ:ப|ா|த:்|	A|r|a|f|a:a|t|
அ|ர:்|ச:்:ச|ன:ா|	A|r|c:h|a:n:a|
அ|ர|ி|ய:ட:்|ன:ா|	A|r|i|a:d|n:a:h|
அ|ர|ி|ஹ|ன:்|த:்|	A|r|i|h:a|n|t|
அ|ர|ி|வ|ு|ம|த:ி|	A|r|i|v|u|m:a|d:h:i|
அ|ர|ி|வ|ு|ம|ன|ி|	a|r|i|v|u|m:a|n|i|
அ|ர:்|ப:்:ப|ன:்|	A|r|p:a|n|
அ|ஸ:்|ல|ி|ய|த:்|	A|s|l|i|y:a|t|
அ|த:்|ய|ச|ா|ர:்|	A|t|y:a|c:h|a|r|
அ|க|ஸ:்:ட|ி|ன:்|	A:u|g:u|s:t|i|n|
அ|ய:்|ய|ப:்|ப|ா|	A|y|y:a|p|p|a|
ப|ா|ல|ம|ோ:க|ன:்|	B:a|a|l:a|m|o|h:a:n|
ப|ா|ப:்|ர|ா|ல|ா|	B|a|b|r|a|l|a|
ப|ா|ப|ு|க|ா|ர|்|	B|a|b|u|g|a|r|h|
ப|ா|ப|ு|ப|ே|ட|்|	B|a|b|u|p|e|t|h|
ப|ச|்:ர:ா|வ|ன:்|	B:a|c:h:h|r:a|w:a|n|
ப|ா|ட:்:வ|ா|ஸ|ி|	B|a|d:w|a|s|i|
ப|ா|க:்|த:ா|த:்|	B|a|g|h:d:a|d|
ப|ஹ|ல:்|வ:ா|ன:்|	B:a|h|l|a:w:a|n|
ப|ா|ஹ|ு|ப|ா|ல|ி|	B|a|h|u|b|a|l|i|
ப|ா|ய:ி|ஞ:்|ச|ி|	B|a|i|n|c:h|i|
ப:ை|ர|ா|க|ா|ர|்|	B:a:i|r|a|g|a|r|h|
ப|க|ா|ல:்|க|ர:்|	B:a|k:a|a|l|k:a|r|
ப|க|்:த:ா|வ|ர:்|	B:a|k:h|t:a|w:a|r|
ப|ா|ல|ா|க:ா|ட:்|	B|a|l|a|g:h:a|t|
ப|ா|ல|ம|ோ:க|ன:்|	B|a|l:a|m|o|h:a:n|
ப|ம|ன:்|ஹ|ே|ர|ி|	B:a|m:a|n|h|e|r|i|
ப|ா|ம:்|ச|ி|ன:்|	B|a|m|s|i|n|
ப|ா|ன|ா|ர|ா|ட:்|	B|a|n|a|r|h:a|t|
ப|ா|ன|்:வ:ெ|த:்|	B|a|n|w:e|t|
ப|ா|க:்:க|ி|ர:்|	B|a|q|i|r|
ப|ர|ா|ப|ங:்:க|ி|	B:a|r|a|b:a|n:k|i|
ப|ா|ர|ா|க|ோ|ன:்|	B|a|r|a|g:a|o|n|
ப|ா|ர|ா|ச|ா|ட:்|	B|a|r|a|s|a|t|
ப|ா|ர:்|ஹ|ா|ன:்|	B|a|r|h|a|n|
ப|ர:்|க|ன:்:ட|ி|	B:a|r|k:a|n:d|i|
ப|ா|ர:்|க:்|ஸ:்|	b|a|r|k|s|
