a|◊:b:o|m:b|	เ:อ|บ:อ|ม:บ:์|
l:a:u|r:y|	ล:อ|ร:ี:่|
l|a:u|t|e:n|b:e|r|g|	เ:ล:า|เ|ท|น|เ:บ:ิ|ร:์|ก|
l|a:u|t:e|r|	เ:ล|า:ว:์|เ:ต:อ|ร:์|
l:a:u|t:h|	ล:อ|ท|
l:a:u|t|n:e|r|	โ:ล|ต|เ:น:อ|ร:์|
l|a|u|x|	ล|็|อ|ก:ส:์|
l|a|v|a|l|	ล|า|ว|ั|ล|
l|a|v|a|l|l:e|	ล|า|ว|ั|ล|ล:ี:่|
l|a:v:a|n|	เ:ล|เ:ว|ิ:น|
l|a|v:e|c|c:h:i|a|	ล|ั|ฟ:เ:ว|ก|เ:ค|ี:ย|
l:a|v:e|l:l|	ล:า:เ|ว|ล|
l:a|v:e|l:l:e|	ล:า:เ|ว|ล|
l|a|v|e:n|d:e|r|	ล|า|เ:ว|น|เ:ด:อ|ร:์|
l:a|v|e:n|d:e|r|	แ:ล:เ|ว|น|เ:ด:อ|ร:์|
l:a|v:e|n|d:e|r|	แ:ล:เ|ว:ิ:่|น|เ:ด:อ|ร:์|
l|a:v:e|r|	เ:ล|เ:ว|อ:ร:์|
l|a|v:e|r|g:n|e|	เ:ล|อ:เ|ว|ิ|น|ย:์|
l:a|v|e:r|t:y|	แ:ล:เ|ว|อ:ร:์|ต:ี:้|
l|a:v:e|r|y|	เ:ล|เ:ว|อ:ร|ี:่|
l|a|v:e|s|	ล|ั|ฟ|ส:์|
l:a|v:i|e|t|	เ:ล:เ|ว|ี:ย|ต|
l|a|v|i|l:l:e|	ล|า|ว|ิ:ล|ล:์|
l:a|v|i|n|	แ|ล:ว|ิ|น|
l|a|v|i|n:a|	ล|า|ว|ี|น:่:า|
l|a|v|i|n:e|	ล|า|ว|ี|น:ี:่|
l|a|v|i:n:g|t|o:n|	ล|า|ว|ิ:ง|เ:ต|ิ:้:น|
l:a|v|i|n|i:a|	เ:ล:อ|ว|ิ|น|ย:่:า|
l:a|v|i|s|	แ:ล:ฟ|ว|ิ|ส|
l|a|v|o:i:s|i|e|r:,:◊|a|n|t:o:i|n:e|	ล|า|ว|ั:ว|ซ:ี|เ:ย|,:◊|อ:อ|ง|ต:ว|น|
l|a:w|	ล|อ:ว:์|
l|a|w|d:a|y|	ล|อ|ว|์:เ:ด|อ:ร:์|
l|a:w|e|	ล|อ|ว:์|
l|a:w|e|r|n|c|e|	ล|อ|ว:์|เ:ร|น|ซ|์|
l|a:w|e:s|	ล|อ|ส|
l|a:w|f:o|r|d|	ล|อ|เ:ฟ:ิ|ร:์|ด|
l|a:w|l:e|r|	ล|อ|เ:ล:อ|ร:์|
l|a|w|l:e|s:s|	ล|อ|ว|์:เ:ล|ส|
l|a:w|l|o|r|	ล|อ|เ:ล|อ|ร:์|
l|a:w|n|	ล|อ|น|
l|a:w|n|◊:t:e|n|n|i|s|	ล|อ|น|เ:ท|น|น|ิ|ส|
l|a:w|n|◊:t:e|n|n|i|s|	ล|อ:ว:์|น|เ:ท|น|น|ิ|ส|
l|a|w:o|	เ|ล|อ:โ:ว|
l|a:w|r|e:n|c|e|	ล|อ:ว:์|เ:ร|น|ซ|์|
l|a:w|r|e:n|c:e|,:◊|(|o|f|◊|a|r|a|b:i|a|)|◊|t:h|o|m|a|s|◊|e:.|	ล|อ:ว:์|เ:ร|น|ซ|์:,:◊|(|อ:อ|ฟ|อ|า|ร|ะ|เ:บ:ี|ย|)|◊|ท|อ|ม|ั|ส|◊|อ:ี:.|
l|a:w|r|e:n|c|i|u|m|	ล|อ:ว:์|เ:ร|น|เ:ซ|ี|ย|ม|
l|a:w|r:i:e|	ล|อ:ว:์|ร:ี|
l|a:w|r:y|	ล|อ:ว:์|ร:ี:่|
l|a:w|s|	ล|อ|ส:์|
l|a:w|s|o|n|	ล|อ:ว:์|ส|ั|น|
l|a:w|s|o|n|,:◊|e|r|n|e:s|t|	ล|อ:ว:์|ส|ั|น|,:◊:เ|อ|อ:ร:์|เ:น|ส|ต:์|
l|a:w|t|o:n|	ล|อ:ว:์|เ:ต|ิ:้:น|
l|a|w|y:e|r|	ล|อ|ว|์:เ:ย|อ:ร:์|
l:a|x|	แ:ล:็|ก:ซ:์|
l|a|y|a:r|d|	ล|า:ร:์|อ|า|ด|
l:a:y|c:o|c:k|	เ:ล|ค:็:อ|ก|
l|a:y:e|	เ|ล|
l|a|y|f:i:e|l|d|	เ|ล|ย:์|ฟ:ิ|ล|ด:์|
l:a:y|l|a|n:d|	เ:ล|เ:ล|ิ:่|น:ด:์|
l|a|y|m:a|n|	เ|ล|ย:์|เ:ม:ิ|น|
l:a:y|n:e|	เ:ล|น|
l|a|y|o:u|t|	เ|ล|ย:์|เ:อ:า|ต:์|
l|a|y|t|o:n|	เ|ล|ย:์|เ:ต|ิ:้:น|
l:a|z|a|r|	เ:ล:เ|ซ|อ|ร:์|
l|a|z|a:r|e|	ล|า|ซ|า|ร:์|
l|a|z:a|r:e|	ล|า|ซ:า:เ|ร|
l|a|z|a|r:e|t:h|	เ:ล|อ:เ|ซ|อ|เ:ร:ิ|ท|
l:a|z:a|r|s|f|e:l|d|	เ:ล:อ|เ:ซ:ิ|ร:์|ส|เ:ฟ|ล|ด:์|
l|a|z:e|a|r|	เ:ล|อ:เ|ซ|ี:ย|ร:์|
l|a|z|i:e|r|	เ|ล|ซ|ี:เ:อ|อ:ร:์|
l|a|z|r:u|s|	ล|ั|ส|เ:ร:ิ|ส|
l|a|z|u|l|i:t|e|	ล|า|ซ|ู|ไ:ล|ต|์|
l|a|z|u|r|i:t|e|	ล|า|ซ|ู|ไ:ร|ต|์|
l|a|z:z|a|r:i|	ล|ั:ต|ซ|า|ร:ี:่|
l|a|z|z|a|r|o|	ล|ั|ซ|ซ|า|โ|ร|
l|c|	แ:อ:ล|ซ:ี|
l|c|a|	แ:อ:ล|ซ:ี|เ:อ|
l|d|	แ:อ:ล|ด:ี|
l|d|l|	แ:อ:ล|ด:ี|แ:อ:ล|
l|d|l:o|	แ:อ:ล|ด:ี:โ|ล|
l:e|	เ:ล:อ|
l:e|◊:c:h|a|t|e:l|i:e|r|	เ:ล:อ|ช|า|เ:ต|ล|ี:เ:ย|ร:์|
l:e:a|	ล:ี|
l|e|a|	แ:อ:ล|อ:ี|เ:อ|
l:e:a|c:h|	ล:ี|ช|
l:e:a|c:o|c:k|	ล:ี|ค:็:อ|ก|
l:e:a|d|	เ:ล|ด|
l:e:a|d|b:e:a|t:e|r|	เ:ล|ด|บ:ิ|เ:ต:อ|ร:์|
l:e:a|d|b:e|t:t:e|r|	ล:ี|ด|บ:ี:เ|ต|อ:ร:์|
l:e:a|d:e|r|	ล:ี|ด:เ:ด|อ:ร:์|
l:e:a|d|l:e|y|	ล:ี|ด:เ|ล|ย:์|
l:e:a|f|	ล:ี|ฟ|
l:e:a|f:◊:b|e:e|t|	ล:ี|ฟ:บ|ี|ต|
l:e:a|g:u:e|	ล:ี|ก|
l:e|a:h|	ล:ี:อ|า:ห:์|
l:e:a|h|y|	เ:ล|ฮ|ี|
l:e:a|k|	ล:ี|ก|
l:e:a|k:e|	ล:ี|ก|
l:e:a|k|e:y|	ล:ี|ก|ี:ย:์|
l:e:a|l:e|	ล:ิ|ล|
l:e:a|m|a|n|	ล:ี|เ:ม|ิ:่|น|
l:e:a|m|i:n:g|t|o:n|	ล:ี|ม|ิ:ง|เ:ต|ิ:้:น|
l:e:a|m|o:n|	ล:ี|เ:ม|ิ:่:น|
l:e:a|n|	ล:ี|น|
l:e:a|n|d:e|r|	ล:ี|น|เ:ด:อ|ร:์|
l:e:a|n:e|	ล:ี|น|
l|e:a|r|	เ:ล|ี|ย:ร:์|
l:e:a|r:n:e|d|	เ:ล|ิ:น|ด:์|
l:e:a|r|y|	เ:ล|ี:ย:ร|ี:่|
l:e:a|s|i:n:g|	ล:ี|ส:ซ|ิ:ง|
l:e:a|s:k|	ล:ิ|ส:ก:์|
l:e:a|t:h|	ล:ี|ท|
l:e:a|t:h:a|m|	ล:ี|เ:ท|ิ:่:ม|
l:e:a|t:h:e|r|m|a|n|	เ:ล|เ:ท|อ:ร:์|เ:ม|ิ:่|น|
l:e:a|v:e|l:l|	ล:ี|เ:ว:ิ|ล|
l:e:a|v|e:n|	เ:ล|เ:ว|น|
l:e:a|v:e|r|	ล:ี|เ:ว:อ|ร:์|
l:e:a|v|i|s|	ล:ี|ว|ิ|ส|
l:e:a|v|i|t:t|	เ:ล|ว|ิ|ต|
l:e:a|v:y|	ล:ี|ว:ี:่|
l|e|b:a|n|	เ:ล|เ|บ|ิ:้:น|
l|e:b:a|n|o|n|	เ:ล|บ:า|น|อ|น|
l:e|b:e|r|	ล:ี:เ|บ|อ:ร:์|
l|e|b|h|e:r|z|	เ:ล|บ|เ|ฮ|ิ:ร:์|ส|
l|e|b|i|g|	ล|ี|บ|ิ|ก|
l:e|b|l:a|n:c|	เ:ล:อ|บ|ล:็:อ|ง:ค:์|
l:e|b:u|s|	ล:ี:เ|บ|ิ:ส|
l:e|c|a|r|	เ:ล:อ|ค|า|ร:์|
l:e|c:h:a|t:e|l|i:e:r|i|t|e|	เ:ล:อ|ช:า|เ:ท:เ|ล|ี:ย|ไ:ร|ต|์|
l|e:c:h|t:e|r|	เ:ล|ช|เ:ต:อ|ร:์|
l|e|c|i|t:h|i|n|	เ|ล|ซ|ิ|ต|ิ|น|
l:e|c|k:e|r|	เ:ล:็|ก|เ:ค:อ|ร:์|
l:e|c|l:a|i:r:e|	เ:ล:อ|เ|เ:ค:ล|ร:์|
l:e|c|l|a|n|c:h:e|◊:c:e|l:l|	เ:ล:อ|ค|ล|ั|ง|เ:ช|เ:ซ|ล:ล:์|
l:e|c:o|m|p|t|e|	เ:ล:็|ก:เ:ค|ิ:่:ม|ป|ต|์|
l:e|c:o:n|t|e|	เ:ล:อ|ก:ง|ต|์|
l:e|c:o:u|r|	เ:ล:อ|ก:ู|ร:์|
l|e|c|t:u|r|e|	เ|ล|ก|เ:ช:อ|ร|์|
l|e|d|	แ:อ:ล|อ:ี|ด:ี|
l|e:d|b:e|t|t:e|r|	เ:ล|ด|เ:บ:ิ|ร:์:ต|เ:ต:อ|ร:์|
l|e:d|d:y|	เ:ล|ด|ด:ี:้|
l:e|d|e:e|n|	เ:ล:อ|ด|ี|น|
l|e:d|e|r|	เ:ล|ด|เ:ด:อ|ร:์|
l|e:d:e|r|b:e|r|g|	เ:ล|เ:ด|อ:ร:์|เ:บ:ิ|ร:์|ก|
l|e:d:e|r:e|r|	เ:ล|เ:ด|อ:เ:ร|อ:ร:์|
l|e:d:e|r|l:e|	เ:ล|เ:ด|อ:ร:์|ล:ี:่|
l:e|d:e|r|m:a|n|	ล:ี:เ|ด|อ:ร:์|เ:ม:ิ|น|
l:e|d|f:o|r|d|	เ:ล:็|ด|เ:ฟ:ิ|ร:์|ด|
l|e:d|l|e:y|	เ:ล|ด|ล|ี:ย:์|
l|e|d|u|c|	เ:ล|เ|ด|ิ|่:ก|
l|e:d|w|i|d:g:e|	เ:ล|ด|ว|ิ|จ|
l|e:d|y:a|r|d|	เ:ล|ด|เ:ย:ิ|ร:์|ด|
l|e:e|	ล|ี|
l|e:e|,:◊|b|r|e:n|d|a|	ล|ี|,:◊:เ|บ|ร|น|ด|า|
l|e|e:,:◊|s|t|a:n|	ล|ี|,:◊|ส:แ|ต|น|
l|e:e|b|	ล|ิ|บ|
l|e:e|c:h|	ล|ี|ช|
l|e:e|d:e|r|	ล|ี|เ:ด:อ|ร:์|
l|e:e|d|o:m|	ล|ี|เ:ด|ิ:่:ม|
l|e:e|d|s|	ล|ี|ด|ส:์|
l|e:e|d:y|	ล|ี|ด:ี:้|
l|e:e|k|	ล|ี|ก|
l|e:e|m:i|n:g|	ล|ี|ม:ิ:่|ง|
l|e:e|n|	ล|ี|น|
l|e:e|p:e|r|	ล|ี|เ:ป:อ|ร:์|
l|e:e|s|	ล|ี|ส:์|
l|e:e|s:e|	ล|ิ|ส|
l|e:e|s|o:n|	ล|ี|เ:ซ|ิ:่:น|
l|e:e|t|	ล|ิ|ต|
l|e:e|t:e|	ล|ิ|ต|
l|e:e|w|a|r|d|	ล|ี|ว|า|ร:์|ด|
l|e|f|a:n|u|	แ:ล|แ|ฟ|น|ู|
l:e|f|e|v:e|r|	เ:ล:อ|เ:ฟ|อ:ร:์|เ:ว:อ|ร:์|
l|e:f:f|	เ:ล|ฟ|
l|e:f|f:e|r|t|s|	เ:ล|ฟ|เ:ฟ:ิ|ร:์|ต|ส:์|
l|e:f|f|i:n|g|w:e:l|l|	เ:ล|ฟ|ฟ|ิ:่:ง|ก:์|เ:ว|ล|
l|e:f|f|l:e|r|	เ:ล|ฟ|เ:ฟ|ล|อ:ร:์|
l|e:f|k|o|w|i|t:z|	เ:ล|ฟ|เ:ค|อ|ว|ิ|ต:ส:์|
l|e|f|r|a|k|	เ:ล|แ|ฟ|ร|็|ก|
l|e:f|t:e|r|	เ:ล|ฟ|เ:ต:อ|ร:์|
l|e:f|t|w|i|c:h|	เ:ล|ฟ|ต:์|ว|ิ|ค|
l|e|g|a|t:e|	เ:ล|เ|ก|ิ|ต|
l|e:g|a|t:t|	เ:ล|ก|ั|ต|
l|e|g:e|r|	เ:ล|เ|จ|อ:ร:์|
l|e:g:e|r:e|	เ:ล|เ:ก|อ:ร:์|
l|e:g|g|	เ:ล|ก|ก:์|
l:e|g:g:e|	เ:ล:็|ก|
l|e|g:g:o|	เ|ล|โ:ก|
l:e|g|h|o|r|n|	เ:ล:็|ก|ฮ|อ|ร:์|น|
l|e|g|i|o|n|e|l:l:o|s|i|s|	ล|ิ|จ|ิ|โ:อ|เ:น|ล|โ:ล|ซ|ิ|ส|
l:e|g|i|t|i|m:u|s|	เ:ล:อ|จ|ิ|ต|ิ|ม|ิ:ส|
l|e|g:r|o:s|	เ|ล|โ:ก:ร|ส|
l|e|g|u:m|	เ:ล|เ|ก|ิ:่:ม|
l|e|h:a|n:d|	เ|ล|อ:แ:ฮ|น:ด:์|
l|e|h|a|r|,:◊|f|r|a|n:z|	เ|ล|ฮ|า|ร|์:,:◊|ฟ|ร|ั|น:ซ:์|
l|e|h|m:a:n|,:◊|t|o|m|	เ|ล|ห:์|แ:ม|น:,:◊|ท|อ|ม|
l|e|h|m:a:n|n|	เ|ล|ห:์|เ:ม|ิ:น|
l:e:h|n|	เ:ล|น|
l:e:h|n:e|	เ:ล|น|
l:e:h|r|	แ:ล|ร:์|
l|e|h|r:e|r|,:◊|j|i|m|	เ|ล|ห:์|เ:ร:อ|ร|์:,:◊|จ|ิ|ม|
l:e:h|r|m|a|n|	เ:ล|ร:์|เ:ม|ิ:่|น|
l:e|i|b|	ล|ิ|บ|
l:e:i|b|l:e|r|	ล:ี|๊:บ|เ:ล:อ|ร:์|
l:e:i|b|n|i|z|,|◊:g|o|t|t|f|r:i:e|d|◊|v|o|n|	ไ:ล|บ|์:น|ิ|ซ|,:◊|ก|อ|ท|ท:์|ฟ|ร:ี|ด|◊|ฟ|อ|น|
l:e|i:c:e|s|t:e|r|	เ|ล|ส|เ:ต:อ|ร:์|
l:e:i|c|h|	ไ:ล|ก|์|
l:e:i|d|e:n|	ไ:ล|เ:ด|น|
l:e:i|d:e|r|	ไ:ล|เ:ด:อ|ร:์|
l:e:i|d:y|	ล:ี|ด:ี:้|
l|e|i|e:s|	ไ|ล|ส|์|
l:e|i|f|	ล|ิ|ฟ|
l:e|i:g:h|	ล|ี|
l:e:i|g:h:,|m|i|t|c|h|	ล:ี|,:◊|ม|ิ|ต|ซ|์|
l:e:i|g:h|t|o:n|	ไ:ล|เ|ต|ิ:้:น|
l:e|i:g:h|t:y|	เ|ล|ต:ี:้|
l:e:i|l:a|	ไ:ล|ล:่:า|
l:e:i|n|b|a:c:h|	ไ:ล|น:์|บ|ั:ก|
l:e|i|r|	เ|ล:ี|ย:ร:์|
l:e|i|s:e|	ล|ิ|ส|
l:e:i|s|e:r|s|o|n|	ไ:ล|เ:ซ|อ:ร:์|ส|ั|น|
l:e|i|s:h|m|a|n|	ล|ิ|ช|เ:ม|ิ:่|น|
l:e:i|s|n:e|r|	ไ:ล|ส:์|เ:น:อ|ร:์|
l:e|i|s|t:e|r|	ล|ิ|ส|เ:ต:อ|ร:์|
l:e|i|t:c:h|	ล|ิ|ช|
l:e|i|t:h|	ล|ิ|ท|
l:e|i|t|h:e:a|d|	ล|ิ|ต|เ:ฮ|ด|
l|e|l|	แ:อ:ล|อ:ี|แ:อ:ล|
l|e|l:a|n:d|	ล|ี|เ:ล:ิ|น:ด:์|
l|e|m:a:i|t|r:e|	ล|ี|เ:ม|เ:ต|อ:ร:์|
l|e:m:a|n|	เ:ล|เ:ม|ิ:น|
l|e:m:a|n:n|	เ:ล|เ:ม|ิ:่:น|
l|e|m:a|s:s|	เ:ล|แ|ม|ส|
l|e:m:a|y|	เ:ล|เ:ม|ย:์|
l|e:m|b|	เ:ล|ม|บ:์|
l|e:m|b:e|r|g|	เ:ล|ม|เ:บ:ิ|ร:์|ก|
l:e|m|i:e|u:x|	เ:ล:ิ|ม|ย|ู|
l|e:m|l|e:y|	เ:ล|ม|ล|ี:ย:์|
l|e:m|m|o:n|	เ:ล|ม|เ:ม|ิ:่:น|
l|e|m:m|y|	เ|ล|ม|ี:่|
l|e:m|n|i|s|c|a:t:e|	เ:ล|ม|น|ิ|ส|เ:ค|ต|
l|e:m|n|o|s|	เ:ล|ม|น|อ|ส|
l|e:m:o|n|	เ:ล|ม:อ|น|
l|e:m:o|n|	เ:ล|เ:ม|ิ:น|
l|e:m:o|n|a:d:e|	เ:ล|ม:อ|เ:น|ด|
l|e:m:o|n|s|	เ:ล|เ:ม|ิ:น|ส:์|
l:e|m|o|n|t|	เ:ล:อ|ม|อ|น|ต:์|
l|e:m:o|s|	ล:ี|โ:ม|ส|
l|e:m|p:e|r|t|	เ:ล|ม|เ:พ:ิ|ร:์|ต|
l|e:m|u|e|l|	เ:ล|ม|ู|เ:อ|ิ:ล|
l|e:n|	เ:ล|น|
l|e|n:a|	ล|ี|น:่:า|
l|e|n|a:r|t|	เ:ล|เ|น|ิ:ร:์|ต|
l|e:n|d|o:n|	เ:ล|น|เ:ด|ิ:้:น|
l|e:n|f:e|s|t|	เ:ล|น|เ:ฟ:ิ|ส|ต:์|
l|e:n|g:e|l|	เ:ล|ง|เ:ก:ิ|ล|
l|e:n|g|y:e|l|	เ:ล|ง|เ|ย|ล|
l|e:n|i|h|a:n|	เ:ล|น|ิ|แ:ฮ|น|
l|e:n|i|n|	เ:ล|น|ิ|น|
l|e:n|i:n|,:◊|v|l|a|d|i:m|i|r|◊|i|l:y|i|c:h|	เ:ล|น|ิ|น:,:◊|ว|ล|า|ด:ี|ม|ี|ร:์|◊|อ:ี|ล|ิ|ช|
l|e:n|i|s|	เ:ล|น|ิ|ส|
l|e:n|n|	เ:ล|น|น:์|
l|e:n|n|a|n|	เ:ล|น|เ:น|ิ:่|น|
l|e:n|n:a|r|d|	เ:ล|น|เ:น:ิ|ร:์|ด|
l|e:n|n|i|e|	เ:ล|น|น|ี|่|
l|e:n|n:o|n|,:◊|j|o|h|n|	เ:ล|น|น|อ|น:,:◊|จ|อ|ห:์|น|
l|e:n|n:o|x|	เ:ล|น|เ:น:ิ|ก:ส:์|
l|e:n|n|y|	เ:ล|น|น|ี|
l:e|n|o|i|r|	เ:ล:อ|น|ั|ว|ร:์|
l|e|n:o|n|	เ:ล|เ|น|ิ:น|
l:e|n:o|r:e|	เ:ล:อ|น|อ:ร:์|
l|e:n|s|	เ:ล|น|ส:์|
l|e:n|s|k:i|	เ:ล|น|ส|ก:ี:้|
l|e:n|t|	เ:ล|น|ต:์|
l|e:n|t|z|	เ:ล|น|ต:์|ส|
l|e:n|z|	เ:ล|น|ส:์|
l|e:n|z:e|n|	เ:ล|น|เ:ซ:ิ|่:น|
l|e:o|	ล|ี:โ:อ|
l|e|o|	เ|ล|โ:อ|
l|e|o:f|r|i|c|	เ|ล|ี:ย:ฟ|ร|ิ|ก|
l:e:o|m|i|n|s|t:e|r|	เ:ล|ม|ิ|น|ส|เ:ต:อ|ร:์|
l:e|o|n|	ล:ี:อ|อ|น|
l:e|o|n|	เ:ล:อ|อ|น|
l|e:o|n:a|	ล|ี:โ:อ|น:่:า|
l:e:o|n|a|r|d|	เ:ล|น|า|ร:์|ด|
l:e:o|n|a:r|d|	เ:ล|น:เ:น|ิ:ร:์|ด|
l|e|o|n|a|r|d|	เ|ล|ี:ย:ว|น|า|ร:์|ด|
l|e|o|n|a|r|d|	เ|ล|โ:อ|น|า|ร:์|ด|
l:e:o|n|h|a|r|d:t|	เ:ล|น|ฮ|า|ร:์|ต|
l:e:o|n|h|a|r|t|	เ:ล|น|ฮ|า|ร:์|ต|
l|e|o|n|i|d|	เ|ล|โ:อ|น|ิ|ด|
l:e|o|n|i|d:a|s|	เ:ล:อ|อ|น|ิ|เ:ด:ิ|ส|
l:e:o|n|i|e|	เ:ล|น|ี|่|
l:e|o|n:o|r:e|	ล:ี:เ|อ:อ|น|อ:ร:์|
l|e|p:i|d:o|l|i:t|e|	เ|ล|พ|ิ:โ:ด|ไ:ล|ต|์|
l|e|p|i|d|o|p|t|e:r|a|	เ|ล|พ|ิ|ด|อ|บ|เ:ท|ร|า|
l|e:p|k|e|	เ:ล|ป|ก|์|
l|e:p|p:e|r|t|	เ:ล|ป|เ:พ:ิ|ร:์|ต|
l|e:p|s|	เ:ล|ป|ส:์|
l:e|r|c:h|	เ:ล:ิ|ร:์|ก|
l:e|r|n:e|r|,:◊|a|l|a|n|◊|j:.|	เ:ล:อ|ร:์|เ:น:อ|ร|์:,:◊|แ:อ|ล|ั|น|◊|เ:จ:.|
l|e|r|o|s|	ล|ิ|ร|อ|ส|
l|e|r:o|s|	เ:ล|ร|อ|ส|
l:e|r|o:u:x|	เ:ล:อ|ร|ู|
l|e|r|o|y|	ล|ี|ร|อ|ย|
l|e:s|	เ:ล|ส|
l|e|s|a:g:e|	เ|ล|ซ|ิ:จ|
l|e|s:c:h|	เ|ล|ช|
l|e:s|e|r|	เ:ล|ส|เ:ซ:อ|ร:์|
l|e|s:h|	เ|ล|ช|
l|e:s:h|e:r|	เ:ล|เ:ช|อ:ร:์|
l|e:s|i|k|	เ:ล|ส|ิ|ก|
l|e:s|l|e:y|	เ:ล|ส|ล|ี:ย:์|
l|e:s|l|y|	เ:ล|ส|ล|ี:ย:์|
l|e:s:o|t:h:o|	เ:ล|โ:ซ|โ:ท|
l|e:s|s:a|r|d|	เ:ล|ส|เ:ซ:ิ|ร:์|ด|
l|e:s|s|e:r|	เ:ล|ส|เ:ซ|อ:ร:์|
l|e:s|s|i:n:g|	เ:ล|ส|ซ|ิ:ง|
l|e:s|s|i|n|g:,:◊|d|o|r|i|s|	เ:ล|ส|ซ|ิ|ง|,:◊|ด|อ|ร|ิ|ส|
l|e:s|s:l|i|e|	เ:ล|ส|ล|ี|่|
l|e:s|t:a|	เ:ล|ส|ต:้:า|
l:e|s|t:e|	เ:ล:ส|เ|ต|
l|e:s|t:e|r|	เ:ล|ส|เ:ต:อ|ร:์|
l|e:s|t|o:n|	เ:ล|ส|เ:ต|ิ:้:น|
l|e:s|t|r:a|d:e|	เ:ล|ส|เ:ต|ร|ด|
l|e:s|t|r|a:n|g|e|	เ:ล|ส|เ:ต|ร|น|จ|์|
l:e|s|u|e|u:r|	เ:ล:ส|ซ|ู|เ:อ|อ:ร:์|
l:e|t|	เ:ล:็|ต|
l|e|t:a|	เ|ล|ต:้:า|
l|e:t|a|r|t:e|	เ:ล|ท|า|ร:์|ต|
l|e|t:c:h|w:o|r|t:h|	เ:ล|ต|ช:์|เ:ว:ิ|ร:์|ด|
l|e:t:h|b|r|i|d:g:e|	เ:ล|ท|บ|ร|ิ|จ|
l|e|t:h:e|m|	เ:ล|เ|ท:ิ|ม|
l|e|t:h|e:r|	เ:ล|เ|ท|อ:ร:์|
l|e:t|i|	เ:ล|ต|ี|
l:e|t|i|t|i|a|	ล|ิ:ต|ี|เ:ช|ี|ย|
l|e:t|t|	เ:ล|ต|ต:์|
l:e|t|t:e|r|	เ:ล:็|ต|เ:ท:อ|ร:์|
l:e:t|t:e|r|p|r:e|s:s|	เ:ล|ต:เ:ต|อ:ร:์|เ:พ|ร|ส|
l:e|t|t|i|c:e|	เ:ล:็|ต|ต|ิ|ส|
l|e|t|t:i:e|	เ:ล|ต|ต|ี:้|
l:e:t|t|s|	เ:ล|ต|ส:์|
l:e|u|b|s|d|o|r|f|	ล|ู|บ|ส:์|ด|อ|ร:์|ฟ|
l:e|u|c|i:t|e|	ล|ู|ไ:ซ|ต|์|
l:e|u|c|o|p|l|a|s|t|	ล|ิ:ว|โ|ค|พ|ล|า|ส|ต:์|
l:e|u|k:e|m|i|a|	ล|ิ:ว|ค:ี:เ|ม|ี|ย|
l:e|u|k:e|m|i|a|	ล|ู|ค:ี:เ|ม|ี|ย|
l:e|u|k:o|p|l|a:k|i|a|	ล|ิ:ว|โ:ค:เ|พ|ล:เ|ก|ี|ย|
l|e|v|	เ|ล|ฟ|
l|e|v|◊|s|e:m|i|o|n:o|v|i|c:h|◊|v|y|g|o|t|s|k|y|	เ|ล|ฟ|◊|เ:ซ|ม|ี|โ|อ:โ:น|ว|ิ|ช|◊|ว|ี|ก|อ|ต|ส|ก|ี|
l|e|v:a|	เ|ล|ว:่:า|
l|e|v|a|n|d:e|r|	เ:ล|เ|ว|ิ|น|เ:ด:อ|ร:์|
l|e|v|a:n|t:e|r|	ล:ี|แ|ว|น|เ:ต:อ|ร:์|
l|e|v|a:n|t:e|r|	เ:ล|แ|ว|น|เ:ต:อ|ร:์|
l|e:v:e|c:h:e|	เ:ล|เ:ว|ช:ี|
l|e:v:e|c:h:e|	เ:ล|เ:ว|เ:ช|
l|e|v:e|n:e|	เ|ล|ว:ิ:่|น|
l|e|v|e|n|s|o|n|	เ|ล|ว|ิ|น|ส|ั|น|
l|e|v:e|n|s|t:e:i|n|	ล|ิ|ฟ:ว:ั|่:น|ส|ไ:ต|น:์|
l|e:v:e|n|t:h|a|l|	เ:ล|เ:ว|ิ:น|ท|อ|ล|
l:e|v:e|r|	เ:ล:ฟ|เ:ว:อ|ร:์|
l|e|v:e|r|e|t:t|	เ:ล|เ|ว:อ:เ|ร|็|ต|
l:e|v:e|r:i|n:g|	เ:ล:ฟ|เ:ว:อ|ร:ิ:่|ง|
l|e:v|e:r|t|o:n|	ล|ี:เ:ว|อ:ร:์|เ:ต|ิ:้:น|
l|e:v|e:r|t|o|v|	ล|ี:เ:ว|อ:ร:์|ท|อ|ฟ|
l|e:v|e:s|q:u:e|	ล|ี:เ:ว|ส|ก:์|
l|e|v|e|t|	เ:ล|เ|ว|็|ต|
l|e|v|e:t:t|	เ|ล|ว|ิ:ต|
l|e|v:i|	ล|ี|ว:า:ย|
l|e|v|i:e|	ล|ี|ว|ี|
l|e|v|i|e:n|	เ:ล|เ|ว|ี|่:ย:น|
l|e|v|i|n|	เ|ล|ว|ิ|น|
l:e|v|i|n:e|	เ:ล:อ|ว|ิ|น|
l|e|v|i:n:g|s|	เ|ว|ว|ิ:ง|ส:์|
l|e|v|i|n|s|	เ|ล|ว|ิ|น|ส:์|
l|e|v|i|n|s|o|n|	เ|ล|ว|ิ|น|ส|ั|น|
l|e:v:i|n|t:h:a|l|	เ:ล|ไ:ว|น:์|เ:ท|ิ:ล|
l|e|v|i|s|	เ|ล|ว|ิ|ส|
l|e|v|i|s|o|n|	ล|ี|ว|ิ|ส|ั|น|
l|e|v|i|t:a|n|	เ|ล|ว|ิ|เ:ต:ิ|้:น|
