a:'|m|a|r|i:e|	ಅ|ಮ|ಾ|ರ|ೀ|
h|o|r|s|e|	ಹ|ಾ|ರ:್|ಸ|್|
s|a|n|d|	ಸ:್|ಯ:ಾ|ಂ|ಡ:್|
h|o|r|t:o|n|	ಹ|ಾ|ರ:್|ಟ|ನ:್|
p|l:a|i|n|s|	ಪ:್|ಲ|ೇ|ನ:್|ಸ:್|
h|o|s:a|n|n|a|	ಹ|ೊ|ಸ|ಾ|ನ|ಾ|
h|o|t|e|l|	ಹ|ೋ|ಟ|ೆ|ಲ:್|
h:o|t|t:o|n|	ಹ|ಾ|ಟ|ನ:್|
h|o|y|s|a:l|e|s|w:a|r:a|	ಹ|ೊ|ಯ:್|ಸ|ಳ|ೇ|ಶ:್|ವ|ರ|
h|r:i|s:h|i|k|e|s|h|	ಹ|ೃ|ಷ|ಿ|ಕ|ೇ|ಶ|್|
k|a|n|i|t|k:a|r|	ಕ|ಾ|ನ|ಿ|ಟ:್|ಕ|ರ:್|
h|o|l|d|i|n|g|s|	ಹ|ೋ|ಲ:್|ಡ|ಿ|ಂ|ಗ:್|ಸ:್|
h|u|a|	ಹ|ು|ವ:ಾ|
s:a|v|e|r|a|	ಸ|ವ|ೇ|ರ|ಾ|
h|u|b:a|a|b|	ಹ|ು|ಬ|ಾ|ಬ:್|
h|u|d|	ಹ|ು|ದ:್|
h|u|d|a|	ಹ|ು|ದ|ಾ|
h|u|g|e|	ಹ:್|ಯ:ೂ|ಜ|್|
h:u|g|h|e|s|	ಹ|ಗ:್|ಗ|ೇ|ಸ:್|
h|u|g|o|	ಹ:್|ಯ:ೂ|ಗ|ೋ|
h|u|j:a|y|m:a|h|	ಹ|ು|ಜ|ೇ|ಮ|ಾ|
h|u|k|u|m|	ಹ|ು|ಕ|ು|ಮ:್|
i|k|k|a|	ಇ|ಕ:್|ಕ|ಾ|
h|u|k|u|m:a|t|	ಹ|ು|ಕ|ು|ಮ|ತ:್|
h:u|l|l|a|	ಹ|ಲ:್|ಲ|ಾ|
g|u|l|l|a|	ಗ|ು|ಲ:್|ಲ|ಾ|
b:a|c:h|h|e:y|	ಬ|ಚ|್:ಚ|ೇ|
d|i|w|a|n|e|	ದ|ೀ|ವ|ಾ|ನ|ೆ|
d|o|n|o|	ದ|ೋ|ನ|ೋ|
f:a|r|i|s|h|t|e|	ಫ|ರ|ಿ|ಶ|್|ತ|ೆ|
l|a|j:a|w|a|b|	ಲ|ಾ|ಜ|ವ|ಾ|ಬ:್|
h|i|n|d|u|s|t|a|n|i|	ಹ|ಿ|ಂ|ದ|ೂ|ಸ:್|ತ|ಾ|ನ|ೀ|
i|n|t:e|z:a|a|r|	ಇ|ಂ|ತ|ಜ|ಾ|ರ:್|
k:a|r|e|n|g|e|	ಕ|ರ|ೇ|ಂ|ಗ|ೆ|
j:h|u|k|e|n|g|e|	ಝ|ು|ಕ|ೇ|ಂ|ಗ|ೆ|
p|a|n|c|h|	ಪ|ಾ|ಂ|ಚ|್|
r:a|h|e|	ರ|ಹ|ಿ|
j|e:e|t|a|	ಜ|ೀ|ತ|ಾ|
w:h|o|	ವ|ೋ|
h|u|m|a|m|	ಹ|ು|ಮ|ಾ|ಮ:್|
h|u|m|a|n|a|	ಹ|ು|ಮ|ಾ|ನ|ಾ|
h:u|m|a|r|i|	ಹ|ಮ|ಾ|ರ|ೀ|
h|u|m|a|y|l|	ಹ|ು|ಮ|ಾ|ಯ|ಲ:್|
h|u|m:a|y|r:a|h|	ಹ|ು|ಮ|ೇ|ರ|ಾ|
h|u|m|a|y|u|n|	ಹ|ು|ಮ|ಾ|ಯ|ೂ|ನ:್|
h:u|m|b:e|r|	ಹ|ಂ|ಬ|ರ:್|
h:u|m|k:a|d:a|m|	ಹ|ಮ|ಕ|ದ|ಮ:್|
h:u|m|m|i|n|g|b:i|r|d|	ಹ|ಮ:್|ಮ|ಿ|ಂ:ಗ|್:‌|ಬ|ರ:್|ಡ:್|
h:u|m|r:a|a|z|	ಹ|ಮ|ರ|ಾ|ಜ:್|
h:u|m|r|a|h|i|	ಹ|ಮ|ರ|ಾ|ಹ|ಿ|
h:u|m|s|a|f:a|r|	ಹ|ಮ:್|‌|ಸ|ಫ|ರ:್|
h:u|m|s|a|y|a|	ಹ|ಮ:್|ಸ|ಾ|ಯ|ಾ|
h|u|n|d:a|l|	ಹ|ು|ಂ|ಡ|ಲ:್|
h:u|n|t|i|n|g|	ಹ|ಂ|ಟ|ಿ|ಂ|ಗ:್|
h|u|r:a|y|t|h|	ಹ|ು|ರ|ೇ|ತ|್|
h:u|r|d|l|e|s|	ಹ|ರ:್|ಡ|ಲ|್|ಸ:್|
h|u|r|i|a|	ಹ|ು|ರ|ಿ|ಯ:ಾ|
h|u|s|n|	ಹ|ು|ಸ:್|ನ:್|
i|s|h|q|	ಇ|ಶ|್|ಕ:್|
h|u|s|n|a|	ಹ|ು|ಸ:್|ನ|ಾ|
h|u|s|n:a|a|r:a|a|	ಹ|ು|ಸ:್|ನ|ಾ|ರ|ಾ|
h|u|z:a|y|f:a|h|	ಹ|ು|ಜ|ೇ|ಫ|ಾ|
h|u|z:a|y|l|	ಹ|ು|ಜ|ಯ:ಾ|ಲ:್|
h|w|a|n|g|e|	ಹ:್|ವ|ಾ|ಂ|ಗ|ೆ|
h|y|d|e:r|a|b|a|d|	ಹ|ೈ|ದ|ರ|ಾ|ಬ|ಾ|ದ:್|
h|y|u|n|d:a|i|	ಹ:್|ಯ|ು|ಂ|ಡ|ೈ|
m|o|t:o|r|	ಮ|ೋ|ಟ|ರ:್|
i|a|g|o|	ಇ|ಯ:ಾ|ಗ|ೋ|
i|a|i|n|	ಇ|ಯ|ಾ|ನ:್|
b|u|t:c|h:a|r|t|	ಬ|ು|ಚ|ಾ|ರ:್|ಟ:್|
i|a|n|	ಇ|ಯ:ಾ|ನ:್|
a:u|s|t|i|n|	ಆ|ಸ:್|ಟ|ಿ|ನ:್|
b|l:a|c|k|w|e|l|l|	ಬ:್|ಲ|ಾ|ಕ:್|‌:ವ|ೆ|ಲ|್|
b|r|a|d|s|h:a|w|	ಬ:್|ರ|ಾ|ಡ:್|‌|ಶ|ಾ|
c:h|a|p:p|e|l|l|	ಚ|ಾ|ಪ|ೆ|ಲ|್|
g|o:u|l|d|	ಗ|ೋ|ಲ:್|ಡ:್|
h|e:a|l|y|	ಹ|ೀ|ಲ|ಿ|
i|a|n|n|a|	ಇ|ಯ|ಾ|ನ|ಾ|
i|b:e|r|d|r|o|l|a|	ಈ|ಬ|ರ:್|ಡ:್|ರ|ೋ|ಲ|ಾ|
i|b:h|a|n:a|n|	ಇ|ಭ|ಾ|ನ|ನ:್|
i|b|n|	ಇ|ಬ:್|ನ:್|
k:h|a:f|i|f|	ಖ|ಫ|ೀ|ಫ:್|
i|b|t|i|h|a|l|	ಇ|ಬ:್|ತ|ಿ|ಹ|ಾ|ಲ:್|
i|c|e|	ಐ|ಸ|್|
i|c|o|n|	ಐ|ಕ|ಾ|ನ:್|
i|d|a|h|o|	ಇ|ಡ|ಾ|ಹ|ೊ|
i:d|d|	ಈ|ದ:್|
m|u|b|a|r:a|k|	ಮ|ು|ಬ|ಾ|ರ|ಕ:್|
i|e|n|a|	ಲ|ೆ|ನ|ಾ|
i|f|f:a|t|	ಇ|ಫ:್|ಫ|ತ:್|
i|f|l|e|x|	ಐ|ಫ:್|ಲ:ೆ|ಕ:್|ಸ:್|
s:o|l|u|t:i|o|n|	ಸ|ಲ:್|ಯ:ೂ|ಷ|ನ:್|ಸ:್|
i|g|a|t|e|	ಐ|ಗ|ೇ|ಟ|್|
i|g|n:a|t|i|u|s|	ಇ|ಗ:್|ನ|ೇ:ಷ|ಿ|ಯ|ಸ:್|
i|h|s|a|n|	ಇ|ಹ:್|ಸ|ಾ|ನ:್|
i|j:a|a|z:a|t|	ಇ|ಜ|ಾ|ಜ|ತ:್|
i|j|a|z|	ಇ|ಜ|ಾ|ಜ:್|
f:a|q|i:h|	ಫ|ಕ|ೀ|
i|k:a|b:a|a|l|	ಇ|ಕ|ಬ|ಾ|ಲ:್|
i|l|i|a|m|n|a|	ಇ|ಲ|ಿ|ಯ:ಾ|ಮ:್|ನ|ಾ|
i|l:l|i|n|o|i|s|	ಇ|ಲ|ಿ|ನ|ಾ|ಯ:್|ಸ:್|
i|l|o|g|	ಐ|ಲ|ಾ|ಗ:್|
i|m:a|a|n|	ಈ|ಮ|ಾ|ನ:್|
i|m:a|a|n|d|a|r|	ಇ|ಮ|ಾ|ನ:್|ದ|ಾ|ರ:್|
i|m:a|d|	ಇ|ಮ|ದ:್|
i|m|a|m|	ಇ|ಮ|ಾ|ಮ:್|
s:h|a|m|i|l|	ಶ|ಾ|ಮ|ಿ|ಲ:್|
i:m|m|a|n|u|e|l|	ಇ|ಮ:್|ಯ:ಾ|ನ|ು|ಯ:ೆ|ಲ:್|
i|m|o|g|e|n|e|	ಇ|ಮ|ೋ|ಜ|ಿ|ನ|್|
i|m|r|a|n|	ಇ|ಮ:್|ರ|ಾ|ನ:್|
a|b|b|a|s|	ಅ|ಬ:್|ಬ|ಾ|ಸ:್|
n:a|z|i|r|	ನ|ಜ|ೀ|ರ:್|
i|m|t|i|h|a|l|	ಇ|ಮ:್|ತ|ಿ|ಹ|ಾ|ಲ:್|
i|n|a|m|	ಇ|ನ|ಾ|ಮ:್|
i|n|d:a|l|	ಇ|ಂ|ಡ|ಲ:್|
i|n:d|e:e|v:e|r|	ಇ|ದ|ೀ|ವ|ರ|
i|n|d|e|r|p|r|e:e|t|	ಇ|ಂ|ದ|ರ:್|‌|ಪ:್|ರ|ೀ|ತ:್|
a|f|r|i|c|a|	ಆ|ಫ:್|ರ|ಿ|ಕ|ಾ|
h|o|t|e|l|s|	ಹ|ೋ|ಟ|ೆ|ಲ:್|ಸ:್|
i|n|d|i|a|n|a|	ಇ|ಂ|ಡ|ಿ|ಯ:ಾ|ನ|ಾ|
b|l|o:o|m|i|n|g|t:o|n|	ಬ:್|ಲ|ೂ|ಮ|ಿ|ಂ|ಗ:್|ಟ|ನ:್|
i|n|d|i|a|n:a|p|o|l|i|s|	ಇ|ಂ|ಡ|ಿ|ಯ:ಾ|ನ|ಪ|ೊ|ಲ|ಿ|ಸ:್|
i|n|d|i|k|a|	ಇ|ಂ|ಡ|ಿ|ಕ|ಾ|
g:a|l|l:a|g|e|	ಗ|ಲ:್|ಲ|ಗ|ೆ|
i|n|d|i|v:a|r|	ಇ|ಂ|ದ|ೀ|ವ|ರ|
i|n|d|o|r|e|	ಇ|ಂ|ದ|ೋ|ರ|್|
i|n|d|r:a|	ಇ|ಂ|ದ:್|ರ|
s:a|b:h|a|	ಸ|ಭ|ಾ|
i|n|d|r:a|k|a|n|t:a|	ಇ|ಂ|ದ:್|ರ|ಕ|ಾ|ಂ|ತ|
i|n|d|r:a|k:a|r|m:a|n|	ಇ|ಂ|ದ:್|ರ|ಕ|ರ:್|ಮ|ನ:್|
i|n|d|r:a|n|e:e|l|	ಇ|ಂ|ದ:್|ರ|ನ|ೀ|ಲ|
i|n|d|r:a|p|r|i|y:a|	ಇ|ಂ|ದ:್|ರ|ಪ:್|ರ|ಿ|ಯ|
i|n|d|r:a|v|i|s|h|n|u|	ಇ|ಂ|ದ:್|ರ|ವ|ಿ|ಷ|್|ಣ|ು|
i|n|d|u|	ಇ|ಂ|ದ|ು|
i|n|d|u|h|a|s:a|n|	ಇ|ಂ|ದ|ು|ಹ|ಾ|ಸ|ನ:್|
i|n|d|u|k|i|r|i|t|	ಇ|ಂ|ದ|ು|ಕ|ಿ|ರ|ೀ|ಟ:್|
i|n|d|u|l|a|l|	ಇ|ಂ|ದ|ು|ಲ|ಾ|ಲ:್|
i|n|d|u|l|e:k|s:h|	ಇ|ಂ|ದ|ು|ಲ|ೇ|ಖ|
i|n|d|u|s:h|e|k:h|a|r|	ಇ|ಂ|ದ|ು|ಶ|ೇ|ಖ|ರ|್|
i|n|f|l|e|x|i|b|l|e|	ಇ|ನ:್|‌:ಫ|್:ಲ|ೆ|ಕ:್|ಸ:ಿ|ಬ|ಲ|್|
v|y|s|y|a|	ವ|ೈ|ಶ:್|ಯ|ಾ|
i|n|g:e|r|s|o|l|l|	ಇ|ಂ|ಗ|ರ:್|‌:ಸ|ೋ|ಲ|್|
r|a|n|d|	ರ|ಾ|ಂ|ಡ:್|
i|n|k:a|a|r|	ಇ|ಂ|ಕ|ಾ|ರ:್|
i|n|l|i|n|e|	ಇ|ನ:್|‌:ಲ|ೈ|ನ|್|
i|n|n|i|s|f|a:l|l:e|n|	ಇ|ನ:್|ನ|ಿ|ಸ:್|‌:ಫ|ಾ|ಲ|ನ:್|
i|n|q|u|i|l|a|b|	ಇ|ಂ|ಕ|್:ವ|ಿ|ಲ|ಾ|ಬ:್|
i|n|s:a|a|f|	ಇ|ನ:್|ಸ|ಾ|ಫ:್|
k:a|u|n|	ಕ|ೌ|ನ:್|
k:a|r|e|g|a|	ಕ|ರ|ೇ|ಗ|ಾ|
i|n|s|a|n|i|y:a|t|	ಇ|ನ:್|ಸ|ಾ|ನ|ಿ|ಯ|ತ:್|
i|n|s|p|e|c|t:o|r|	ಇ|ನ:್|ಸ:್|‌:ಪ|ೆ|ಕ:್|ಟ|ರ:್|
i|n|t|e|l|	ಇ|ಂ|ಟ|ೆ|ಲ:್|
i|n|t:e|r|a|c|t|i|v|e|	ಇ|ಂ|ಟ|ರ:್|‌:ಆ|ಕ:್|ಟ|ಿ|ವ|್|
a|c:h|i:e|v|e|m|e|n|t|	ಅ|ಚ|ೀ|ವ:್|‌|ಮ|ೆ|ಂ|ಟ:್|
i|n|t:e|r|c|o|n|t|i|n|e|n|t:a|l|	ಇ|ಂ|ಟ|ರ:್|‌:ಕ|ಾ|ಂ|ಟ|ಿ|ನ|ೆ|ಂ|ಟ|ಲ:್|
ph|o|t|o|g|r:a|ph|y|	ಫ|ೋ|ಟ|ೊ|ಗ:್|ರ|ಫ|ಿ|
i|n|t:e|z|a|r|	ಇ|ಂ|ತ|ಜ|ಾ|ರ:್|
i|n|t|i|k:h|a|b|	ಇ|ಂ|ತ|ಿ|ಕ|ಾ|ಬ:್|
i|n|t|i|s|a|r|	ಇ|ಂ|ತ|ಿ|ಸ|ಾ|ರ:್|
i|n|t|i|z|a|r|	ಇ|ಂ|ತ|ಿ|ಜ|ಾ|ರ:್|
m|a|c:h|i|n|e|s|	ಮ|ೆ|ಶ|ಿ|ನ|್|ಸ:್|
i|o|d|i|n|e|	ಅ:ಯ|ೋ|ಡ|ಿ|ನ|್|
i|o|n|	ಇ|ಯ:ೋ|ನ:್|
i|o|n|a|	ಇ|ಯ:ೋ|ನ|ಾ|
i|p|c|a|	ಇ|ಪ:್|ಕ|ಾ|
l|a|b|s|	ಲ:್|ಯ:ಾ|ಬ:್|ಸ:್|
i|p|s|i|t|a|	ಈ|ಪ:್|ಸ|ಿ|ತ|ಾ|
s|i|d|d|i|q:u|i|	ಸ|ಿ|ದ:್|ದ|ಿ|ಕ|ಿ|
s|i|k:a|n|d:e|r|	ಸ|ಿ|ಕ|ಂ|ದ|ರ:್|
i|q|t|i|d|a|r|	ಇ|ಕ:್|ತ|ಿ|ದ|ಾ|ರ:್|
i|r:a|a|j|	ಇ|ರ|ಾ|ಜ:್|
i|r|a|i|	ಇ|ರ|ಾ|ಯ:್|
i|r|a|p|u|t|r:a|	ಇ|ರ|ಾ|ಪ|ು|ತ:್|ರ|
i|r|a|q|	ಇ|ರ|ಾ|ಕ:್|
i|r|a|v:a|n|	ಇ|ರ|ಾ|ವ|ನ:್|
i|r|a|v:a|t|i|	ಇ|ರ|ಾ|ವ|ತ|ಿ|
i|r|e|n|	ಐ|ರ|ಿ|ನ:್|
i|r|f|a|n|	ಇ|ರ:್|ಫ|ಾ|ನ:್|
i|r|i|d|i|u|m|	ಇ|ರ|ಿ|ಡ|ಿ|ಯ|ಂ|
i|r|i|s|	ಐ|ರ|ಿ|ಸ:್|
i|r|m|a|	ಇ|ರ:್|ಮ|ಾ|
i|r:o|n|	ಐ|ರ|ನ:್|
d|u|k|e|	ಡ:್|ಯ:ೂ|ಕ|್|
i|r|r|i|s|i|s|t:i|b|l|e|	ಇ|ರ:್|ರ|ೆ|ಸ|ಿ|ಸ:್|ಟ|ಬ|ಲ|್|
i|r|s:h|a|d|	ಇ|ರ:್|ಷ|ಾ|ದ:್|
i|s|	ಇ|ಸ:್|
p:a|a|r|	ಪ|ಾ|ರ:್|
u|s|	ಉ|ಸ:್|
i|s|a|	ಇ|ಸ|ಾ|
i|s|a|b|e|l:l|e|	ಇ|ಸ|ಾ|ಬ|ೆ|ಲ|್|
i|s:a|n|n|e|	ಇ|ಸ|ೇ|ನ|್|
i|s:a|u|r|a|	ಇ|ಸ|ಾ|ರ|ಾ|
i|s|h:a|n|	ಈ|ಶ|ನ|್|
i|s:h|a|n|i|	ಇ|ಶ|ಾ|ನ|ಿ|
i|s:h|a|q|	ಇ|ಶ|ಾ|ಕ:್|
i|s:h|i|t|a|	ಇ|ಶ|ಿ|ತ|ಾ|
i|s:h|t|i|y|a|q|	ಇ|ಶ|್|ತ:ಿ|ಯ|ಾ|ಕ:್|
i|s|h|w:a|r|	ಈ|ಶ|್|ವ|ರ:್|
i|s|i|	ಇ|ಸ|ೀ|
i|s|l|a|	ಇ|ಸ:್|ಲ|ಾ|
i|s|l|e|	ಇ|ಸ:್|ಲ|ೇ|
i|s|l|e:e|n|	ಇ|ಸ:್|ಲ|ೀ|ನ:್|
i|s|l|i|p|	ಇ|ಸ:್|ಲ|ಿ|ಪ:್|
m|a|c|a|r|t:h|u|r|	ಮ|ೆ|ಕ|ಾ|ರ:್|ಥ|ರ|್|
i|s|m:a|h|	ಇ|ಸ:್|ಮ|ಾ|
i|s|p|a|t|	ಇ|ಸ:್|ಪ|ಾ|ಟ:್|
i|s|r|a|a|i|l|	ಇ|ಸ:್|ರ|ಾ|ಯ|ಿ|ಲ:್|
i|s|r:a|e|l|	ಇ|ಸ:್|ರ|ೇ|ಲ:್|
i|s|t|a|b|r:a|q|	ಇ|ಸ:್|ತ|ಾ|ಬ:್|ರ|ಕ:್|
i|t:a|l|y|	ಇ|ಟ|ಲ|ಿ|
i|t|a|n:a|g:a|r|	ಇ|ಟ|ಾ|ನ|ಗ|ರ:್|
i|t|a|t|i|a:i|a|	ಇ|ಟ|ಾ|ಟ|ಿ|ಯ|ಾ|
i|t|i|m|a|d|	ಇ|ತ|ಿ|ಮ|ಾ|ದ:್|
i|t|n|i|	ಇ|ತ|ನ|ೀ|
i|t|o|	ಇ|ಟ|ೋ|
y:o|k|a|d|o|	ಯ|ಕ|ಾ|ಡ|ೊ|
i|t|o|c:h|u|	ಇ|ಟ|ೋ|ಚ|ು|
i|t|u|r|a|n|	ಇ|ಟ|ು|ರ|ಾ|ನ:್|
l|o|c:a|t|i:o|n|	ಲ|ೊ|ಕ|ೇ|ಶ|ನ:್|
c:o|n|t|r|o|l|	ಕ|ಂ|ಟ:್|ರ|ೋ|ಲ:್|
i|v|i|	ಇ|ವ|ಿ|
i|v|o|	ಇ|ವ|ೋ|
i|v|o|r|	ಇ|ವ|ೋ|ರ:್|
n|o|v|e|l:l|o|	ನ|ಾ|ವ|ೆ|ಲ|ೋ|
i|v:o|r|y|	ಐ|ವ|ರ|ಿ|
i|v|v:a|v:i|k|	ಇ|ವ:್|ವ|ಾ|ಕ:್|
i|v|y|	ಇ|ವ|ಿ|
i|w|o|	ಇ|ವ|ೋ|
j|i|m|a|	ಜ|ಿ|ಮ|ಾ|
i|y:a|a|d|	ಇ|ಯ|ಾ|ದ:್|
i|z:h|a|r|	ಇ|ಜ|ಾ|ರ:್|
i|z|z|	ಇ|ಜ:್|ಜ:್|
n|i|s|a|	ನ|ಿ|ಸ|ಾ|
i|'|j|e:e|n|i|y:a|r|	ಇ|ಂ|ಜ|ಿ|ನ|ಿ|ಯ|ರ:್|
j:a|a|g|o|	ಜ|ಾ|ಗ|ೋ|
j:a|a|n|	ಜ|ಾ|ನ:್|
h:a|t:h|e|l|i|	ಹ|ಥ|ೇ|ಲ|ೀ|
j:a|a|n|h|v|e|k:a|r|	ಜ|ಾ|ನ:್|ಹ|ವ|ೇ|ಕ|ರ:್|
j:a|a|n|i|	ಜ|ಾ|ನ|ಿ|
j:a|a|v|d|e|k:a|r|	ಜ|ಾ|ವ|ಡ|ೇ|ಕ|ರ:್|
j:a|b|	ಜ|ಬ:್|
k:h|i|l|e|	ಖ|ಿ|ಲ|ೆ|
k|i|s|e|	ಕ|ಿ|ಸ|ೀ|
h|o|t|a|	ಹ|ೋ|ತ|ಾ|
k|i|s|i|	ಕ|ಿ|ಸ|ೀ|
a:a|t|i|	ಆ|ತ|ಿ|
j:a|b|a|l|a|h|	ಜ|ಬ|ಾ|ಲ|ೆ|ಹ:್|
j:a|b:a|l|p|u|r|	ಜ|ಬ|ಲ:್|ಪ|ು|ರ:್|
j:a|b|i|n|	ಜ|ಬ|ಿ|ನ:್|
j:a|c|a|d|a|	ಜ|ಕ|ಾ|ಡ|ಾ|
j|a|c|i|n|d:a|	ಜ|ಾ|ಕ|ಿ|ಂ|ದ|
j|a|c|k|	ಜ:್|ಯ|ಾ|ಕ:್|
b|e|n|n|y|	ಬ|ೆ|ನ:್|ನ|ಿ|
r|i|c:h|a|r|d|s|	ರ|ಿ|ಚ|ರ|್|ಡ:್|ಸ:್|
j|a|c|k|s:o|n|	ಜ:್|ಯ|ಾ|ಕ:್|ಸ|ನ:್|
j|a|c|k|v|i|l:l|e|n|	ಜ:್|ಯ|ಾ|ಕ:್|‌:ವ|ಿ|ಲ|ಿ|ನ:್|
k|e|n:n|e|d|y|	ಕ|ೆ|ನ|ೆ|ಡ|ಿ|
j|a|c|l|y|n|	ಜ:್|ಯ:ಾ|ಕ:್|ಲ|ಿ|ನ:್|
e|l|d:e|r|s|	ಎ|ಲ:್|ಡ|ರ:್|ಸ:್|
j|a|c|o|b|	ಜ|ಾ|ಕ|ೊ|ಬ:್|
j|a|c|q|u|e|s|	ಜ:್|ಯ|ಾ|ಕ|್:ವ|ಿ|ಸ:್|
k|a|l:l|i|s|	ಕ|ಾ|ಲ|ಿ|ಸ:್|
m|a|r|c:h|a:i|s|	ಮ|ಾ|ರ:್|ಕ|ೆ|ಸ:್|
t:a|i|b:a|n|	ತ|ೈ|ಬ|ನ:್|
j|a|c|q|u|i|	ಜ:್|ಯ|ಾ|ಕ:್|ಯ|ೂ|
j:a|d|	ಜ|ದ:್|
n:a|g|r|i|	ನ|ಗ|ರ|ೀ|
j|a|d|u|g:a|r|	ಜ|ಾ|ದ|ು|ಗ|ರ:್|
j|a|d|z|i|a|	ಜ|ಾ|ಡ:್|ಜ|ಿ|ಯ:ಾ|
j:a|e|g:a|r|	ಜ|ೆ|ಗ|ರ:್|
j|a|f:a|r|	ಜ|ಾ|ಫ|ರ:್|
j:a|g:a|d|h:i|d|h|	ಜ|ಗ|ದ|ೀ|ಧ|್|
j:a|g:a|r|a|u|	ಜ|ಗ|ರ|ಾ|ವ:್|
j:a|g|d|e:e|s|h|	ಜ|ಗ|ದ|ೀ|ಶ|್|
j:a|g|i|r|d|a|r|	ಜ|ಗ|ೀ|ರ:್|‌:ದ|ಾ|ರ:್|
j:a|g|j|e:e|v:a|n|	ಜ|ಗ|ಜ|ೀ|ವ|ನ:್|
j:a|g|j|i|t|	ಜ|ಗ|ಜ|ೀ|ತ:್|
j:a|h|a|n|	ಜ|ಹ|ಾ|ನ:್|
k:h|a|t|o:o|n|	ಖ|ಾ|ತ|ೂ|ನ:್|
s:a|t|i|	ಸ|ತ|ೀ|
w:a|h|i:n|	ವ|ಹ|ೀ|
b:h|a:g|a:w|a|n|	ಭ|ಗ|ವ|ಾ|ನ:್|
j|a|h:a|n|a|b|a|d|	ಜ|ೆ|ಹ|ನ|ಾ|ಬ|ಾ|ದ:್|
j:a|h|d|a|m:a|h|	ಜ|ಾ|ದ|್|ಮ|ಾ|
j|a|h|n|u|	ಜ|ಾ|ಹ:್|ನ|ು|
j:a|i|	ಜ|ೈ|
a|m|b|e|	ಅ|ಂ|ಬ|ೆ|
b|a|n|g|l|a|d|e|s|h|	ಬ|ಾ|ಂ|ಗ:್|ಲ|ಾ|ದ|ೇ|ಶ|್|
j:a|g:a|t|	ಜ|ಗ|ತ:್|
j:a|n:a|n|i|	ಜ|ನ|ನ|ಿ|
m:a|h|a|l|a|x|m|i|	ಮ|ಹ|ಾ|ಲ|ಕ:್|ಷ:್|ಮ|ಿ|
j:a|i|d:a|y|a|l|	ಜ|ಯ|ದ|ಯ|ಾ|ಲ:್|
j:a|i|d|e|v|	ಜ|ಯ|ದ|ೇ|ವ:್|
j|a|i|k|w|a|d|i|	ಜ|ಾ|ಯ|ಕ:್|‌:ವ|ಾ|ಡ|ಿ|
j:a|i|l:a|k|s:h|m|i|	ಜ|ಯ|ಲ|ಕ:್|ಷ|್:ಮ|ಿ|
j:a|i|l:o|r|	ಜ|ೆ|ಲ|ರ:್|
j:a|i|n|i|s|m|	ಜ|ೈ|ನ|ಿ|ಸ|ಂ|
j:a|i|p|r:a|k|a:s|h|	ಜ|ೈ|ಪ:್|ರ|ಕ:ಾ|ಶ|್|
n|a|r|a|y:a|n|	ನ|ಾ|ರ|ಾ|ಯ|ಣ:್|
j:a|i|p|u|r|	ಜ|ೈ|ಪ|ು|ರ|
j:a|i|r|a|j|	ಜ|ಯ|ರ|ಾ|ಜ:್|
j:a|i|s:a|l|	ಜ|ೈ|ಸ|ಲ:್|
j:a|i|s:a|l|m|e|r|	ಜ|ೈ|ಸ|ಲ:್|ಮ|ೇ|ರ:್|
j:a|i|s|e|	ಜ|ೈ|ಸ|ೆ|
t:a|i|s|a|	ತ|ೈ|ಸ|ಾ|
j:a|i|s:o|n|	ಜ|ೈ|ಸ|ನ:್|
j:a|i|s|u|k|h|	ಜ|ೈ|ಸ|ು|ಖ|್|
j:a|i|w:a|n|t|	ಜ|ಯ|ವ|ಂ|ತ:್|
j:a|j|i|	ಜ|ಜ|ೀ|
j|a|j|p|u|r|	ಜ|ಾ|ಜ:್|ಪ|ು|ರ:್|
j:a|k|a|r|t:a|	ಜ|ಕ|ಾ|ರ:್|ತ|
j|a:k|h:a|d|	ಜ|ಾ|ಖ|ಡ:್|
j:a|l|	ಜ|ಲ:್|
m:a|c:h|a:l|i|	ಮ|ಛ|ಲ|ೀ|
m:a|h:a|l|	ಮ|ಹ|ಲ:್|
t:a|r:a|n|g|	ತ|ರ|ಂ|ಗ:್|
j:a|l:a|d|h:i|p|	ಜ|ಲ|ದ|ೀ|ಪ:್|
j:a|l:a|n|	ಜ|ಲ|ನ:್|
j:a|l:a|n|d:h|a|r|	ಜ|ಲ|ಂ|ಧ|ರ|್|
j:a|l|a|n|g|i|	ಜ|ಲ|ಾ|ಂ|ಗ|ಿ|
j|a|l:a|p|u|t|	ಜ|ಾ|ಲ|ಪ|ು|ತ:್|
j:a|l:e|i|k|a|	ಜ|ಲ|ೇ|ಕ|ಾ|
j:a|l|e|n|d|r:a|	ಜ|ಲ|ೇ|ಂ|ದ:್|ರ|
j:a|l|i|a|	ಜ|ಲ|ಿ|ಯ:ಾ|
j:a|l|i|a|n|w|a|l|a|	ಜ|ಲ|ಿ|ಯ|ನ:್|‌:ವ|ಾ|ಲ|ಾ|
b|a|g|h|	ಬ|ಾ|ಗ|್|
j:a|l|i|l|	ಜ|ಲ|ಿ|ಲ:್|
j:a|l|i|l:a|h|	ಜ|ಲ|ೀ|ಲ|ಾ|
j:a|l|l|a|d|	ಜ|ಲ:್|ಲ|ಾ|ದ:್|
j|a|m|b:h|a|l|e|	ಜ|ಾ|ಂ|ಭ|ಾ|ಲ|ೆ|
