a:a|	ஆ|
k|a|v|e|r|i|	க|ா|வ|ே|ர|ி|
k:a|v|i|r|a|j|	க|வ|ி|ர|ா|ஜ:்|
k:a|v|i|s|h:w|a|r|	க|வ|ி|ஷ:்|வ|ா|ர:்|
k:a|v|i|t|a|	க|வ|ி|த|ா|
k:a|v|t:h|e|k:a|r|	க|வ:்|த|ே|க|ர:்|
k:a|w:a|b|a|t|a|	க|வ|ப|ா|ட:்|ட:ா|
y|a|s|u|n|a|r|i|	ய|ா|ச|ு|ன|ா|ர|ி|
k:a|w|t:h|a|r|	க|வ:்|த|ா|ர:்|
k:a|y|a|	க|ய|ா|
p:a|l:a|t|	ப|ல|ட:்|
k:a|y|d|e|n|c|e|	க|ே|ட|ெ|ன:்|ஸ|்|
k|a|y|l|e:e|n|	க|ே|ய:்|ல|ீ|ன:்|
k:a|y|o|	க|ய|ோ|
k:a|y|s:a|h|	க|ே|ஸ|ா|
k:a|z|a|n|t|z|a|k|i|s|	க|ஸ|ா|ன:்|ட:்|ஸ|ா|க|ி|ஸ:்|
k|a:z|i|r:a|n|g|a|	க:ா|ஜ|ி|ர|ங:்|க|ா|
k|d|d|i|	க|ட:்|ட|ி|
k|e|d|a|r|	க|ே|த|ா|ர:்|
k|e:e|f|e|	க|ீ|ஃ:ப|்|
k|e:e|l|y|	க|ீ|ல|ி|
k|e:e|n|a|	க|ீ|ண|ா|
k|e:e|r|	க|ீ|ர:்|
k|e:e|r|t|h|i|	க|ீ|ர:்|த|்|த:ி|
r:a|n:a|s|i|n|g:h|e|	ர|ன|ச|ி|ங:்|க|ே|
k|e|f|	க|ெ|ப:்|
k|a|o:u|s|	க:ா|வ|ோ|ஸ:்|
k|e|i|r|a|	க|ே|ய:்|ர|ா|
k|e|i|t|h|	க|ே|ய:்|த|்|
a|r|t:h|u:r|t|o|n|	ஆ|ர:்|த|ர|்|ட|ன:்|
d:a|b|e|n|g|w|a|	ட|ப|ே|ங:்|க:்|வ|ா|
k|e|i|t:h|a|	க|ே|ய:்|த|ா|
k|e|k:a|r|e|	க|ே|க|ர|ே|
k|e|l|k:a|r|	க|ே|ல:்|க|ர:்|
k|e|l|t:o|n|	க|ெ|ல:்|ட|ன:்|
k|e|l|v|i|n|	க|ெ|ல:்|வ|ி|ன:்|
k|e|l|v|i|n|g|r|o|v|e|	க|ெ|ல:்|வ|ி|ன:்|க:ு|ர|ூ|வ|்|
k|e|m|i|j:a|r|v|i|	க|ெ|ம|ி|ஜ|ர:்|வ|ி|
k|e|n|	க|ெ|ன:்|
r|u|t|h|e|r|f|o|r|d|	ர|ு|த|ர|்|ஃ:ப|்:ப|ோ|ர:்|ட:்|
w|a|d|s|w:o|r|t|h|	வ|ா|ட:்|ஸ:்|வ|ர:்|த|்|
k|e|n|a|d|i|a|	க|ெ|ன|ா|த|ி|ய:ா|
k|e|n|d|r|a|	க:ெ|ன:்|ந:்|த:்|ர|ா|
k|e|n|d|u|r|k:a|r|	க|ெ|ந:்|த|ு|ர:்|க|ர:்|
k|e|n|n:e|t|h|	க|ெ|ன:்|ன|த|்|
s|t|a|r|	ஸ:்|ட|ா|ர:்|
k|e|n|n|i|c|e|	க|ெ|ன:்|ன|ி|ஸ|்|
k|e|n|n|y|	க|ெ|ன:்|ன|ி|
k|e|n|o:s|h:a|	க|ெ|ன|ோ|ஷ|
k|e|n|t|	க|ெ|ன:்|ட:்|
k|e|n|t|h|	க|ெ|ன:்|த|்|
k|e|n|t:u|c|k|y|	க|ெ|ன:்|ட|க:்|க|ி|
k|e|o|l|a|d|e|o|	க:ி|ய|ோ|ல|ா|ட:ி|ய|ோ|
g:h|a|n|a|	க|ா|ன|ா|
k|e|ph:a|r|t|	க|ெ|ப|ர:்|ட:்|
k|e|p|l:e|r|	க|ெ|ப:்|ல|ர:்|
w|e:s|s:e|l|s|	வ|ெ|ச|ல:்|ஸ:்|
k|e|p|u|l:a|u|a|n|	க|ெ|ப|ு|ல|ா|வ|ன:்|
s|e|r|i|b|u|	ச|ெ|ர|ி|ப|ு|
k|e|r|a|	க|ே|ர|ா|
k|e|r:a|l|	க|ே|ர|ள:ா|
k|e|r|i|n|c|i|	க|ெ|ர|ி|ன:்|ச|ி|
s|e|b|l|a|t|	ச|ெ|ப:்|ல|ா|த:்|
k|e|r|r|y|	க|ெ|ர:்|ர|ி|
w|a|l|m|s|l:e|y|	வ|ா|ல:்|ம:்|ஸ:்|ல|ே|
k|e|r|s:h|a:w|	க|ெ|ர:்|ஷ|ா|
k|e|s:a|v:a|	க|ே|ச|வ|
k|e|s:h|a:v|d|a|s|	க|ே|ஷ|வ|்|த:ா|ஸ:்|
k|e|s:h|i|h|a|n|	க|ே|ஷ|ி|ஹ|ா|ன:்|
k|e|s:h|i|k|a|	க|ே|ஷ|ி|க|ா|
k|e|s:h|i|n|i|	க|ே|ஷ|ி|ன|ி|
k|e|s|o|r|a|m|	க|ே|ச|ோ|ர|ா|ம:்|
k|e|s|s|e|l|	க|ெ|ஸ:்|ஸ|ெ|ல:்|
k|e|t|a|k|i|	க|ே|ட|ா|க|ி|
k|e|t|c:h|u|m|	க|ெ|ட|்|ச|ம:்|
k|e|v|a|l|k|i|s:h|o|r|e|	க|ே|வ|ா|ல:்|க|ி|ஷ|ோ|ர|்|
k|e|v|a|l|k|u|m|a|r|	க|ே|வ|ா|ல:்|க|ு|ம|ா|ர:்|
k|e|v|i|n|	க|ெ|வ|ி|ன:்|
a|r|n:o|t|t|	ஆ|ர:்|ன|ா|ட:்|
c|o|s|t|n:e|r|	க|ா|ஸ:்|ட:்|ன|ர:்|
d|u|e|r|s|	ட|ு|ய|ர:்|ஸ:்|
s|p|a|c:e|y|	ஸ:்|ப|ே|ச|ி|
k|e|v|i|n|a|	க|ெ|வ|ி|ன|ா|
k|e:y|	க|ீ|
k:h|a:d|a|k|w:a|s|l|a|	க|ட|க|்|வ|ஸ:்|ல|ா|
k:h|a:d|i|l|k:a|r|	க|த|ி|ல:்|க|ர:்|
k:h|a|h|i|r|a|	க|ா|ஹ|ி|ர|ா|
k:h|a|k|h|	க|ா|க|்|
k:h|a|l|a|f|	க|ா|ல|ா:ஃ|ப:்|
k:h|a|l|d|a|	க|ா|ல:்|ட|ா|
k:h|a|l|d|u|n|	க|ா|ல:்|த|ு|ன:்|
k:h|a|l|e|d|	க|ா|ல|ெ|த:்|
k:h|a|l|e:e|d|	க|ா|ல|ீ|த:்|
k:h|a|l|i|s|	க|ா|ல|ி|ஸ:்|
k:h|a|l:l|a|d|	க|ா|ல|ா|த:்|
k:h|a|m|o|s|h|	க|ா|ம|ோ|ஷ|்|
k:h|a|m|o|s:h|i|	க|ா|ம|ோ|ஷ|ி|
k:h|a|n|d|a|n|i|	க|ா|ந:்|த|ா|ன|ி|
k:h|a:n|d|e|s|h|	க|ந|்|த:ே|ஷ|்|
k:h|a|n|d|u|j|a|	க|ன|்|ட|ு|ஜ|ா|
k:h|a:n|n|a|	க|ண|்:ண|ா|
k:h|a|n|v|i|l|k:a|r|	க|ன|்|வ|ி|ல:்|க|ர:்|
k:h|o|t|a|	க|ோ|த|ா|
k:h|a|r|a|d|	க|ா|ர|ா|த:்|
k:h|a|r|g|a|	க|ா|ர:்|க|ா|
k:h|a|r|t:o|u|m|	க|ர|்|த|வ:ு|ம:்|
k:h|a|s|g|i|w|a|l|e|	க|ா|ஸ:்|க|ி|வ|ா|ல|ே|
k:h|a:t|a:v|k|a|r|	க|த|வ|்|க|ர:்|
k:h|a|t|k|a|d|k:a|l|a|	க|ா|ட:்|க|ா|ட:்|க|ல|ா|
k:h|a|t|o:o|n|	க|ா|த|ூ|ன:்|
k:h|a:t|t|a|	க|த|்:த|ா|
m|e:e|t|h|a|	ம|ீ|த|்|த:ா|
k:h|a|t|t|k:a|r|	க|ா|ட|்|க|ர:்|
k:h|a:u|f|n|a|k|	க|ௌ|ஃ:ப|்:ன|்|க:்|
a:a|n|k:h|e|n|	ஆ|ங:்|க|ே|ன:்|
k:h|a:z|a|n|a|	க|ஸ|ா|ன|ா|
k:h|a:z|a|n|c|h|i|	க|ஸ|ா|ன:்|ச|்|ச:ி|
k:h|e|l|	க|ே|ல:்|
k:h|e|m|p|r:a|k|a:s|h|	க|ெ|ம:்|ப:ி|ர|க:ா|ஷ|்|
k:h|i|d|k|i|	க|ி|த:்|க|ி|
k:h|i|m|s|a|r|	க|ி|ம:்|ச|ா|ர:்|
k:h|i|r|a:s|h|	க|ி|ர:ா|ஷ|்|
k:h|i|r|i|	க|ி|ர|ி|
s|a|z:a|a|	ச|ா|ஸ|ா|
k:h|a:r|a|b|a|	க|ர|ா|ப|ா|
k|e:e|m:a|t|	க|ீ|ம|த:்|
t:a|k|k:a|r|	ட|க:்|க|ர:்|
k:h|o:o|n|i|	க|ூ|ன|ி|
k:h|o|s:h|a|	க|ோ|ஷ|ா|
k:h|o|t|	க|ோ|த:்|
k:h|o|t|e|	க|ோ|ட:்|ட:ெ|
s|i|k|k|e:y|	ச|ி|க:்|க|ே|
k:h|o:u|m|s|	க|ௌ|ம:்|ஸ:்|
k:h|u|b|g:a|o|n|k:a|r|	க|ு|ப:்|க|ோ|ன:்|க|ர:்|
k:h|u|d|a|	க|ு|த|ா|
k:h|u|d|a|i|	க|ு|த|ா|ய:்|
k:h|i|d|m|a|t|g:a|r|	க|ி|த:்|ம|ா|ட:்|க|ர:்|
k:h|u|d|r:a|h|	க|ு|த:்|ர|ா|
k:h|u|f|i|a|	க|ு:ஃ|ப:்|ப:ி|ய:ா|
k:h|u|l|i|	க|ு|ல|ி|
k:h|u|l|u|d|	க|ு|ல|ு|த:்|
k:h|u|n:g|r|a|	க|ு|ங|்:ர|ா|
k:h|u|r|a|n|a|	க|ு|ர|ா|ன|ா|
k:h|u|s|h|	க|ு|ஷ|்|
n:a|s|e:e|b|	ந|ஸ|ீ|ப:்|
k:h|u|s:h|a|l|	க|ு|ஷ|ா|ல:்|
k:h|u|s:h|b|o:o|	க|ு|ஷ|்:ப|ு|
k|h|w|a|j|a|	க|்|வ|ா|ஜ|ா|
m|i|r|	ம|ி|ர:்|
k:h|y|a|t|i|	க|ி|ய:ா|த:்|த:ி|
k|i|a|n|a|	க|ி|ய:ா|ன|ா|
k|i|a|n|d|r|a|	க|ி|ய:ா|ந:்|த:ி|ர|ா|
k|i|a|r|a|	க|ி|ய:ா|ர|ா|
k|i:e|f|e|r|	க|ை|ஃ|ப|ர:்|
k|i|e|v|	க|ி|ய:ே|வ:்|
k|i|f|a|y|a|t|	க|ி|ஃ:ப|ா|ய|ா|த:்|
k|i|g:a|l|i|	க|ி|க|ல|ி|
k|i|l:e|y|	க|ி|ல|ே|
k|i|m|	க|ி|ம:்|
k|i|m|a|y|a|	க|ி|ம|ா|ய|ா|
k|i|m|b:e|r|	க|ி|ம:்|ப|ர:்|
k|i|n|a|	க|ி|ன|ா|
k|i|n:e|t|i|c|	க|ை|ன|ட|ி|க:்|
e|d|w:a|r|d|	எ|ட:்|வ|ர:்|ட:்|
v|i|i|	V|i|i|
h|u|s:s|e:i|n|	ஹ|ு|ச|ே|ன:்|
c|a|r|n|i|v:a|l|	க:ா|ர|்|ன|ி|வ|ல:்|
k|i|n|s:h|u|k|	க|ி|ன:்|ஷ|ு|க:்|
k|i|r:a|n|m:a|y|	க|ி|ர|ண:்|ம|ை|
k|i|r|a|y|e|d|a|r|	க|ி|ர|ா|ய|ெ|த|ா|ர:்|
k|i|r|b|y|	க|ி|ர:்|ப|ி|
k|i|r|i|l|	க|ி|ர|ி|ல:்|
k|i|r|i|n|	க|ி|ர|ி|ன:்|
b|r|e:w|e|r|y|	ப:்|ர|ூ|வ:ே|ர|ி|
k|i|r|i|t|	க|ி|ர|ி|த:்|
k|i|r|k|a|n|	க|ி|ர:்|க|ா|ன:்|
k|i|r|l|o|s|k:a|r|	க|ி|ர:்|ல|ோ|ஸ:்|க|ர:்|
b|r|o|s|	ப:்|ர:த|ர:்|ஸ:்|
f|e|r|r|o|	ஃ:ப|ெ|ர:்|ர|ோ|
k|i|r|t|i|	க|ி|ர:்|த:்|த:ி|
k|i|s|	க|ி|ஸ:்|
b:h|a|g|w|a|n|	ப|ா|க:்|வ|ா|ன:்|
k|i|s:h|e|n|	க|ி|ஷ|ெ|ன:்|
k:a|n|h:a|i|y|a|	க|ன:்|ஹ|ை|ய|ா|
k|i|s:h|o|r|e|	க|ி|ஷ|ோ|ர|்|
k|i|s:h|o|r|i|	க|ி|ஷ|ோ|ர|ி|
k|i|y:a|a|d|	க|ி|ய|ா|த:்|
k|i|s|k|i|	க|ி|ஸ:்|க|ி|
w|a|l|a|	வ|ா|ல|ா|
k|i|s|m:a|t|w|a|l|i|	க|ி|ஸ:்|ம|த:்|வ|ா|ல|ி|
k|i|s|s|a|	க|ி|ஸ:்|ஸ|ா|
k|u|r|s|i|	க|ு|ர:்|ஸ|ி|
k|i|t|n|a|	க|ி|த:்|ன|ா|
b|a|d:a|l|	ப|ா|த|ல:்|
i|n|s|a|n|	இ|ன:்|ச|ா|ன:்|
k|i|t|n|e|	க|ி|த:்|ன|ெ|
k|i:t|t|s:o|n|	க|ி|ட:்|ஸ|ன:்|
k|i|t|t|y|	க|ி|ட:்|ட|ி|
d|u|k|a|k|i|s|	த|ு|க|ா|க|ி|ஸ:்|
k|i|y|e|d|h|	க|ி|ய|ே|த|்|
k|l|a|n:g|	க:்|ல|ங|்|
k|l|a|r|i|k|a|	க:ி|ள|ா|ர|ி|க|ா|
k|m|a|r|t|	க:ே|ம|ா|ர:்|ட:்|
h|o|l|d:i|n|g|	ஹ|ோ|ல:்|ட|ி|ங:்|
k|n|o|x|	ந|ா|க:்|ஸ:்|
k|o|c|	க|ோ|க:்|
k|o|c|h|	க|ோ|ச|்|
k|o|c:h|h|a|d|	க|ோ|ச|்|ச:ா|த:்|
k|o|c:h|h|a|r|	க|ோ|ச|்|ச:ா|ர:்|
k|o|d:a|g:a|n:a|r|	க|ோ|ட|க|ன|ர:்|
k|o|d|g|u|	க|ோ|ட:்|க|ு|
k|o|h|r|a|	க|ொ|ஹ:்|ர|ா|
k|o|k|r|a|j|h:a|r|	க|ொ|க:்|ர|ா|ஜ:்|ஹ|ர:்|
k|o|k|r|i|	க|ோ|க:்|ர|ி|
k|o|l|h|a|p|u|r|	க|ொ|ல:்|ஹ|ா|ப|ூ|ர:்|
k|o|l|h:a|t|k:a|r|	க|ொ|ல:்|ஹ|த:்|க|ர:்|
k|o|l|i|n|a|	க|ோ|ல|ி|ன|ா|
k|o|l|k:a|t|a|	க|ொ|ல:்|க|த:்|த:ா|
k|o|l|t:h|e|k:a|r|	க|ொ|ல:்|த|ே|க|ர:்|
k|o|m:a|l|a|	க|ோ|ம|ல|ா|
k|o|m:a|t|s|u|	க|ோ|ம|ட:்|ச|ு|
k|o|m|o|d|o|	க|ொ|ம|ோ|ட|ோ|
s|u|l|a|w|e|s|i|	ச|ு|ல|ா|வ|ே|ச|ி|
k|o|n|i|g|	க|ோ|ன|ி|க:்|
k|o|n|k:a|r|	க|ொ|ன:்|க|ர:்|
k|o:o|n|e|r|	க|ூ|ன|ெ|ர:்|
k|o|p:a|r|g:a|o|n|k:a|r|	க|ோ|ப|ர:்|க|ோ|ன:்|க|ர:்|
k|o|p:a|r|k:a|r|	க|ோ|ப|ர:்|க|ர:்|
k|o|p|r|a|n|	க|ோ|ப:்|ர|ா|ன:்|
k|o|r:a|n:n|e|	க|ோ|ர|ன|ே|
k|o|r|i|	க|ோ|ர|ி|
k|o|r|o|	க|ொ|ர|ோ|
k|o|r|u|n|a|	க|ோ|ர|ு|ன|ா|
k|o|s:h|i|s|h|	க|ோ|ஷ|ி|ஷ|்|
k|o|s|i|	க|ோ|ஸ|ி|
k|o|s:s|u|t|h|	க|ொ|ஸ|ூ|த|்|
k|o|t|a|	க|ோ|ட:்|ட:ா|
k|o|t:h|u|l|k:a|r|	க|ோ|த|ு|ல:்|க|ர:்|
k|o|t|l|a|	க|ோ|ட:்|ல|ா|
k|o|t|n|i|s|	க|ோ|த:்|ன|ி|ஸ:்|
k|o|t|t:a|y:a|m|	க|ோ|ட:்|ட|ய|ம:்|
k|o|t|w|a|l|	க|ோ|த:்|வ|ா|ல:்|
k|o|u|c:h|i|b:o|u|g:u|a|c|	க|ோ|ச:்|ச|ி|ப|வ:ு|க|ா|க:்|
k|o|y|n|a|	க|ொ|ய:்|ன|ா|
k|r|a:s|h|n|	க:ி|ர:ு|ஷ|ா|ன:்|
k|r|a|s:h|n|a|p|i|n|g:a|a|k|s:h|a|n|	க:்|ர|ா|ஷ|்:ன|ா|ப|ி|ங:்|க|ா|க:்|ஷ|ா|ன:்|
k|r|a|t|z|	க:ி|ர|ா|ட:்|ஸ:்|
k|r|e|b|s|	க:்|ர|ெ|ப:்|ஸ:்|
b|i|o|c:h|e|m|	ப|ய|ோ|க|ெ|ம:்|
k|r|i|k|o|r|	க:்|ர|ி|க|ோ|ர:்|
k|r|i|s|	க:ி|ர|ி|ஸ:்|
s|r|i|k:k|a|n|t|h|	ஸ:்|ர|ி|க|ா|ன:்|த|்|
k|r:i|s|h|n:a|	க:ி|ர|ு:ஷ|்|ண|
s|u|d:a|a|m|a|	ச|ு|த|ா|ம|ா|
k|r:i|s|h|n:a|d|e|v|a|	க:ி|ர|ு:ஷ|்|ன|த|ே|வ|ா|
k|r:i|s|h|n|a|k|a|l|i|	க:ி|ர|ு:ஷ|்|ன|ா|க|ா|ல|ி|
k|r:i|s|h|n:a|k|u|m|a|r|	க:ி|ர|ு:ஷ|்|ன|க|ு|ம|ா|ர:்|
k|r|i|s|t:i|n:e|	க:ி|ர|ி|ஸ:்|ட|ி|
k|r|o|d|h|	க:ு|ர|ோ|த|்|
k|r|o|d:h|i|	க:ு|ர|ோ|த|ி|
k|r|o|n|a|	க:்|ர|ோ|ண|ா|
k|r|o|n|e|	க:்|ர|ோ|ன|்|
k|r|o|n|p|r|i|n|z|	க:ி|ர|ா|ன:்|ப:ி|ர|ி|ன:்|ஸ:்|
w|i|l|h|e:l|m|	வ|ி|ல:்|ஹ|ெ|ம:்|
k|r|u|g:e|r|	க:்|ர|ூ|க|ர:்|
k|r|u|p|k:a|	க|ற|்|ப|க|
v|i|n|a|y:e|k:a|a|r|	வ|ி|ந|ா|ய|க|ர|்|
k:s|h|a:n|i|k|a|	ஷ|ா|ன|ி|க|ா|
k|u|b:e|r|a|s|i|n|h|	க|ு|ப|ர|ா|ச|ி|ன:்|ஹ:்|
k|u|c|h|i|p|u|d|i|	க|ு|ச|்|ச:ி|ப:்|ப:ு|ட|ி|
k|u|d|r|e|m|u|k|h|	க|ு|ட:்|ர|ி|ம|ு|க|்|
k|u|f|r|a|	க|ு|ஃ:ப|்:ர|ா|
k|u|h|a|d|	க|ு|ஹ|ா|த:்|
k|u|h|a|d|a|	க|ு|ஹ|ா|த|ா|
k|u|k|k|a|d|	க|ு|க:்|க|ா|த:்|
k|u|l|a|c:h|i|	க|ு|ல|ா|ச|ி|
k|u|l|b:h|u|s:h|a|n|	க|ு|ல:்|ப|ூ|ஷ|ன|்|
k|u|l|d|e:e|p|	க|ு|ல:்|த|ீ|ப:்|
n:a|i|y|a|r|	ந|ை|ய|ா|ர:்|
k|u|l|d|e:e|p:a|k|	க|ு|ல:்|த|ீ|ப|்|
k|u|l|k:a|r|n|i|	க|ு|ல:்|க|ர:்|ன|ி|
k|u|l:l|u|	க|ு|ள|ு|
k|u|l|l|u|r|s:a|n|d:a|i|	க|ு|ல:்|ல|ு|ர:்|ச|ந:்|த|ை|
k|u|l|v|a|d:h|u|	க|ு|ல:்|வ|ா|த|ு|
k|u|m|a|n|o|	க|ு|ம|ா|ன|ோ|
k|u|m|a|r|i|	க|ு|ம|ா|ர|ி|
k|u|m|m|i|	க|ு|ம:்|ம|ி|
k|u|m|u|d:a|m|	க|ு|ம|ு|த|ம:்|
k|u|m|u|d|i|n|i|	க|ு|ம|ு|த|ி|ன|ி|
k|u|n|a|l|	க|ு|ன|ா|ல:்|
k|u|n|d:a|n|i|k|a|	க|ு|ன:்|ட|ன|ி|க|ா|
k|u:n|j|a|l|a|t|a|	க|ு|ஞ:்|ச|ல|ா|த|ா|
k|u:n|j|a|r|	க|ு|ஞ:்|ச|ர:்|
p|u|t|r|e:e|	ப|ு|த:்|ர|ீ|
k|u|n|t:a|a|	க|ு|ன:்|ட|ா|
k|u|n|t:a|l|	க|ு|ன:்|ட|ல:்|
k|u|n|t|e|e|	க|ு|ன:்|ட:்|ட|ி|
k|u|n|t|i|	க|ு|ன:்|ட:்|ட:ி|
k|u|p|w|a|d|a|	க|ு|ப:்|வ|ா|த|ா|
k|u|r|d|e|	க|ு|ர:்|த|ே|
k|u|r|e|	க|ு|ர|ே|
b|e|a|c:h|	ப|ீ|ச|்|
k|u|r|n|u|l|	க|ு|ர:்|ன|ூ|ல:்|
k:u|r|t|	க|ர:்|ட:்|
w|i|l|k|i|n|s:o|n|	வ|ி|ல:்|க|ி|ன:்|ச|ன:்|
k|u|s:h|a|l|	க|ு|ஷ|ா|ல:்|
k|u|s|t|u|b|h|	க|ு|ஸ:்|த|ு|ப|்|
k|u|s|u|m|a|v:a|t|i|	க|ு|ச|ு|ம|ா|வ|த|ி|
k|u|t|t|e|	க|ு|ட:்|ட|ெ|
k|u|v|a|l|e|s:h|a:y|	க|ு|வ|ா|ல|ே|ஷ|ே|
k|w|a|c|h|a|	க:்|வ|ா|ச|்|ச:ா|
k|y|l|a|	க|ை|ல|ா|
k|y|l:e|i|g|h|	க|ை|ல|ை|க|்|
k|y|l|i|a|	க|ை|ல|ி|ய:ா|
k|y|n|a|	க|ை|ன|ா|
k|y|n|e|	க|ை|ன|்|
k|y|n|t|h|i|a|	க|ி|ன:்|த|்|ய|ா|
k|y|r|o|s|	க|ை|ர|ோ|ஸ:்|
k|y|u|s:h|u|	க|ி|ய:ூ|ஷ|ு|
k|y|z|y|l|	க|ை|ஸ|ி|ல:்|
l|a|	ல|ா|
g|l|o|i|r|e|	க:ி|ல|ோ|ய:்|ர|ெ|
m|a|r|t|i|n|i|e|r|e|	ம|ா|ர:்|ட:்|ட:ி|ன|ி|ய|ர|்|
p|o|r|t|e|	ப|ோ|ர:்|ட|ெ|
s:a|l|l|e|	ச|ே|ல|்|
t|r|o|b|e|	ட:்|ர|ோ|ப|்|
l:a|a|	ல|ா|
l:a|a|k|s:h|a:a|	ல|ா|க:்|ஷ|ா|
l:a|a|l:a|k:a|m:a|l|	ல|ா|ல|க|ம|ல:்|
l:a|a|l:a|s:a|a|	ல|ா|ல|ஸ|ா|
l:a|a|s|y|a|	ல|ா|ஸ:்|ய|ா|
l:a|b:a|n|g:a|l|a|t|a|	ல|ப|ன:்|க|ல|ா|த|ா|
l:a|b|o|n|i|	ல|ப|ோ|ன|ி|
l|a|b|r:a|d|o|r|	ல|ா|ப:்|ர|ட|ா|ர:்|
l|a|c:h|a|k|	ல|ா|ச|க|்|
l|a|c|k|	ல|ா|க|்|
w:a|l|e|s|a|	வ|ல|ே|ச|ா|
l|a|c|r|o|s:s|e|	ல|ா|க:்|ர|ோ|ஸ|்|
l:a|c|y|	ல|ச|ி|
l|a|d:a|a|k|u|	ல|ா|ட|ா|க|ு|
l|a|d|i:e|s|	ல|ே|ட|ீ|ஸ:்|
l|a|d|k|e|	ல|ா|ட:்|க|ெ|
b|a|d|h|	ப|ா|த|்|
s|a|h|y|a|d|r|i|	ச|ா|ஹ:்|ய|ா|த:்|ர|ி|
l|a|d|w|a|	ல|ா|த:்|வ|ா|
l:a|g|a|n|	ல|க|ா|ன:்|
l:a|g|o|a|	ல|க|ா|வ:ோ|
p|e|i|x|e|	ப|ி|க:்|ஸ|ி|
l|a|g|r|a|n|g|e|	ல|ா|க:ி|ர|ா|ன:்|ஜ|ெ|
l:a|g|u|n|a|s|	ல|க|ு|ன|ா|ஸ:்|
c:h|a|c|a|c:h|u|a|	ச|ா|ச:்|ச:ா|ச|ு|வ:ா|
m|o|n|t|e|b|e|l|l|o|	ம|ா|ண:்|ட|ே|ப|ெ|ல:்|ல|ோ|
l:a|h:a|k|	ல|ஹ|க:்|
l:a|h|e|r|i|	ல|ஹ|ெ|ர|ி|
l|a|l|a|	ல|ா|ல|ா|
l|a|h|u|	ல|ா|ஹ|ூ|
r|a|n:g|	ர:ா|ங|்|
l:a|i|n:e|y|	ல|ை|ன|ே|
l:a|i|q|	ல|ை|க:்|
l:a|i|q:a|h|	ல|ய:்|க|ா|
l|a|i|r|d|	ல|ய|ி|ர:்|ட:்|
l:a|i|t|h|	ல|ை|த|்|
l|a|j|a|w|a|b|	ல|ா|ஜ|ா|வ|ா|ப:்|
l:a|j|j|a|	ல|ஜ:்|ஜ|ா|
l:a|j|w:a|n|t|i|	ல|ஜ:்|வ|ந:்|த|ி|
l:a|k|d|e|	ல|க:்|த|ே|
l|a|k|e|	ல|ே|க|்|
d|i|s|t|r|i|c|t|	ட|ி|ஸ:்|ட:்|ர|ி|க:்|ட:்|
m:a|l|a|w|i|	ம|ல|ா|வ|ி|
m|b|u|r|o|	ம:ி|ப|ூ|ர|ோ|
n:a|k|u|r|u|	ந|க|ூ|ர|ு|
e|v:a|n|s|t:o|n|	இ|வ|ன:்|ஸ:்|ட|ன:்|
l|a|k:h|i|m|p|u|r|	ல|க:்|க|ி|ம:்|ப|ூ|ர:்|
l:a|k|k:a|d|	ல|க:்|க|த:்|
l|a|k|k:h|e|w|a|l|i|	ல|ா|க:்|க|ெ|வ|ா|ல|ி|
l:a|k|s:h|a|	ல|க:்|ஷ|ா|
l:a|k|s|h:a|d|w:e|e|p|	ல|க:்|‌|ஷ|த|ீ|ப|்|
l|a|k:s|h|m|i|	ல|க:்|ஷ|்|ம|ி|
m|a|c:h|i|n|e|	ம|ெ|ஷ|ி|ன|்|
l|a|k:s|h|m|i|b:a|n|t|a|	ல|க:்|ஷ|்|ம|ி|ப|ந:்|த|ா|
l|a|k:s|h|m|i|d:h|a|r|	ல|க:்|ஷ|்|ம|ி|த|ர|்|
l|a|k:s|h|m|i|p:a|t:h|y|	ல|க:்|ஷ|்|ம|ி|ப|த|ி|
b|a|n:g|l|a|	ப|ா|ங|்:ல|ா|
b|a|t|t|i|	ப|ா|ட:்|ட|ி|
c:h|i|t|t:h|i|	ச|ி|ட:்|த|ி|
d|u|p|a|t|t|a|	த|ு|ப:்|ப|ட:்|ட|ா|
k|o|t:h|i|	க|ோ|த|ி|
l:a|l:a|a|t|	ல|ல|ா|த:்|
l:a|l|a|i|n|e|	ல|ல|ய|ி|ன|்|
l:a|l|i|m|a|	ல|ல|ி|ம|ா|
l:a|l|i|t|	ல|ல|ி|த:்|
l:a|l|i|t|a|	ல|ல|ி|த|ா|
l:a|l|i|t:h|a:m|a|n|a|	ல|ல|ி|த|ம|ா|ன|ா|
f|e|r|n|a|n|d|o|	ஃ:ப|ெ|ர:்|ன|ா|ண:்|ட|ோ|
l:a|l|i|t|m|o|h:a|n|	ல|ல|ி|த:்|ம|ோ|க|ன:்|
l:a|m:a|r|	ல|ம|ர:்|
l:a|m|b|a|d|a|	ல|ம:்|ப|ா|ட|ா|
l:a|m|b|e|t|h|	ல|ம:்|ப|ெ|த|்|
l:a|m|y|a|	ல|ம:்|ய|ா|
l|a|n|c|a|s|t:e|r|	ல|ா|ன|்:க|ா|ஸ:்|ட|ர:்|
l|a|n|c|e|	ல|ா|ன:்|ஸ|்|
k|l|u|s|e|n:e|r|	க:்|ள|ூ|ஸ|்|ன|ர:்|
l|a|n|c|e|r|s|	ல|ா|ன:்|ச|ெ|ர:்|ஸ:்|
l|a|n|d|e|r|	ல|ா|ன:்|ட|ெ|ர:்|
