a|	এ|
k|i|t|t|e|n|	ক|ি|ত:্|ত|ে|ন|
k|i|t:t|s:o:n|	ক|ি|ট|শ:ন|
k|i|t|t|y|	ক|ি|ট:্|ট|ি|
k|l|a|m|a|t:h|	ক:্|ল|া|ম|া|থ|
k|l|e|i|s|t|	ক:্|ল|ে|ই|স:্|ট|
k|l|o|p|	ক:্|ল|ো|প|
k|l|u|a|n|e|	ক:্|ল|ু|য়:া|ন|ে|
k|l|u|s|e|n:e|r|	ক:্|ল|ু|স|ে|ন|া:র|
k:n:i|g:h:t|	ন:া|ই:ট|
k:n:o|r:r|	ন|র|
k:n:o|x|	ন:ক|্:স|
k:n:o|x|v|i|l:l:e|	ন:ক|্:স|ভ|ি|ল|
k:n:u|t:h|	ক:ু|থ|
k|o|b|s|a|	ক|ো|ব|স|া|
k|o|c:h|	ক|ো|চ|
k|o|c:h:h|a|d|	ক|ো|ছ|া|দ|
k|o|c:h:i|	ক|ো|চ:ি|
k|o|c:k|	ক|ো|ক|
k|o|d|a|k|	ক|ো|ড|া|ক|
k|o|d|a|r|a:m|a|	ক|ো|দ|া|র:্|ম|া|
k|o|d|a|s|a|l|l|i|	ক|ো|দ|া|স|া|ল:্|ল|ি|
k:o|e|n|	ক|য়:ে|ন|
k|o|h|i|m|a|	ক|ো|হ|ি|ম|া|
k:o|h|i|n|o:o:r|b|e|g:a|m|	ক|হ|ি|ন|ু:র|ব|ে|গ|ম|
k|o|h|i|n|u|r|	ক|ো|হ|ী|ন|ু|র|
k:o:h|n|	ক:ো|ন|
k|o|i:l|	ক|ো:ল|ি|
k|o|k|a|n|a|s|t:h|a|	ক|ো|ক|া|ন|া|স:্|থ|া|
k|o|k|i|l|a|	ক|ো|ক|ি|ল|া|
k|o|l|	ক|ো|ল|
k|o|l|b|e|	ক|ো|ল|ব|ি|
k|o|l|k|a|t|a|	ক|ো|ল|ক|া|ত|া|
k|o|l|t:h|e|k|a|r|	ক|ো|ল|থ|ে|ক|া|র|
k|o|l|v|a|d|a|	ক|ো|ল|ভ|া|দ|া|
k|o|m|o|d|o|	ক|ো|ম|ো|ড|ো|
k|o|n|	ক|ো|ন|
k|o|n|a|r|k|	ক|ো|ন|া|র|ক|
k:o|n|d|r|p|	ক|ন:্|দ|র:্|প|
k|o:n:g|	ক|ং|
k|o|n|g|h|o|u|	ক|ো|ঙ:্|গ|হ|ো|উ|
k:o|n|g:z:h|o:n:g|	ক|ং|ঝ:ো|ং|
k|o|n|i|g|	ক|ো|ন|ি|গ|
k:o|n|i|k|a|b|a|l|a|	ক|ন|ি|ক|া|ব|া|ল|া|
k:o|n|i|k|a|r|a|n|i|	ক|ন|ি|ক|া|র|া|ন|ী|
k|o|n|i:n:g|	ক|ো|ন|ি:ং|
k|o|n|i|n|g|e|n|	ক|ো|ন|ি|ং|জ|ে|ন|
k|o|n|k:a|n|	ক|ো|ঙ:্|ক|ণ|
k|o|n|k:a|n|i|	ক|ো|ঙ:্|ক|ন|ী|
k|o|n|k|a|r|	ক|ো|ঙ:্|ক|া|র|
k|o|p|a|r|k|a|r|	ক|ো|প|া|র|ক|া|র|
k|o|p|r|a|n|	ক|ো|প|র|া|ন|
k|o|r|a|n:n:e|	ক|ো|র|া|ন:ে|
k|o|r|a|p|u|t|	ক|ো|র|া|প|ু|ট|
k|o|r|b|a|	ক|ো|র:্|ব|া|
k|o|r|b|a|n|a|l|i|	ক|ো|র|ব|া|ন|আ|ল|ী|
k:o:r|d|e|	খ:ো|ড়|ে|
k|o|r|e|a|	ক|ো|র|ি:য়|া|
k|o|r|o|	ক|ো|র|ো|
k|o|r|u|n:a|	ক|ো|র|ু|ন|
k|o|r|y|a|k|	ক|ো|র:ি|য়|া|ক|
k|o|s|a|n|	ক|ো|স|া|ন|
k|o|s:h|u|r|	ক|ো|শ|ু|র|
k|o|s|i|	ক|ো|শ|ী|
k|o|t|a|	ক|ো|ট|া|
k|o|t|a|k|	ক|ো|ট|া|ক|
k|o|t:h|u|l|k|a|r|	ক|ো|থ|ু|ল|ক|া|র|
k|o|t|l|a|	ক|ো|ট|ল|া|
k|o|t|n|i|s|	ক|ো|ট|ন|ী|শ|
k|o|t|o|	ক|ো|ট|ো|
k|o|t|t|a|y|a|m|	ক|ো|ট:্|ট|া|য়|া|ম|
k|o|t|w|a|l|	ক|ো|ত|ো:য়|া|ল|
k|o:u|c:h:i|b|o:u|g|u|a|c|	ক|ৌ|চ:ি|ব|ৌ|গ|ু|য়:া|ক|
k|o:u|s:h:i|l|a|	ক|ৌ|শ:ি|ল|া|
k|o:u|s|t:a|b:h|	ক|ৌ|স:্|ত|ভ|
k|o|v|i|l|a|r|	ক|ো|ভ|ি|ল|া|র|
k:o|w|l|o:o:n|	ক|উ|ল|ু:ন|
k|o|y|n|a|	ক|ো|ই|ন|া|
k|o|y|o|	ক|ো|য়|ো|
k|r|a|n|t|i|	ক:্|র|া|ন:্|ত|ি|
k|r|a|t|z|	ক:্|র|া|ট|জ|
k|r|e|b|s|	ক:্|র|ে|ব|স|
k:r:i|p|a|l|	ক:ৃ|প|া|ল|
k:r:i|p|a|r|a|n|i|	ক:ৃ|প|া|র|া|ন|ী|
k:r:i|p|a|s|i|n|d:h:u|	ক:ৃ|প|া|স|ি|ন:্|ধ:ু|
k:r:i|s:h:a|n|u|	ক:ৃ|শ:া|ন|ু|
k|r:i:s|h:n:a|	ক|ৃ:ষ|্:ণ|
k|r:i:s|h:n:a|c:h:a|r:a|n|	ক|ৃ:ষ|্:ণ|চ|র|ন|
k|r:i:s|h:n:a|d|a|s|	ক|ৃ:ষ|্:ণ|দ|া|স|
k|r:i:s|h:n:a|d|a|s:h:i|	ক|ৃ:ষ|্:ণ|দ|া|স:ী|
k|r:i:s|h:n:a|d|e|b|i|	ক|ৃ:ষ|্:ণ|দ|ে|ব|ী|
k:r:i|s:h|n|a|d|e|v|i|	ক:ৃ|ষ|্:ণ|া|দ|ে|ব|ী|
k|r:i:s|h:n:a|g|o|p|a|l|	ক|ৃ:ষ|্:ণ|গ|ো|প|া|ল|
k|r:i:s|h:n:a|h:a|r|i|	ক|ৃ:ষ|্:ণ|হ|র|ি|
k|r:i:s|h:n:a|k:a|l|i|	ক|ৃ:ষ|্:ণ|ক|ল|ি|
k|r:i:s|h:n:a|k|a|l|i|	ক|ৃ:ষ|্:ণ|ক|া|ল|ী|
k|r:i:s|h:n:a|k:a|m:a|l|	ক|ৃ:ষ|্:ণ|ক|ম|ল|
k|r:i:s|h:n:a|k|a|n|t:a|	ক|ৃ:ষ|্:ণ|ক|া|ন:্|ত|
k|r:i:s|h:n:a|k|i|s|o|r|	ক|ৃ:ষ|্:ণ|ক|ি|শ|ো|র|
k|r:i:s|h:n:a|m|u|r|t:h:y|	ক|ৃ:ষ|্:ণ|ম|ূ|র:্|ত:ি|
k|r:i:s|h:n:a|m|u|r|t|i|	ক|ৃ:ষ|্:ণ|ম|ূ|র:্|ত|ি|
k:r:i|s:h|n|e|n|d|u|	ক:ৃ|ষ|্:ণ|ে|ন:্|দ|ু|
k|r|o|g|e|r|	ক:্|র|ো|জ|ে|র|
k|r|o|n:a|	ক:্|র|ো|ন|
k|r|o|n|e|	ক:্|র|ো|ন|ে|
k|r|o|v|i|	ক:্|র|ো|ভ|ি|
k|r|u|g:e|r|	ক:্|র|ু|গ|া:র|
k|s:h:i|r|s|a|g:a|r|	ক:্|ষ:ী|র|স|া|গ|র|
k|u|d|d|u|s|	ক|ু|দ:্|দ|ু|স|
k|u|d|r|e|m|u|k:h|	ক|ু|দ:্|র|ে|ম|ু|খ|
k|u|h|a|d|	ক|ু|হ|া|দ|
k|u|h|e|l|i|	ক|ু|হ|ে|ল|ী|
k|u|k|k|a|d|	ক|ু|ক:্|ক|া|দ|
k|u|k|r|e|j|a|	ক|ু|ক|র|ে|জ|া|
k|u|l|a|c:h:i|	ক|ু|ল|া|চ:ি|
k|u|l|a|r|	ক|ু|ল|া|র|
k|u|l|a|s|e|k|a|r|a|	ক|ু|ল|া|স|ে|ক|া|র|া|
k|u|l|d|i|p|	ক|ু|ল|দ|ী|প|
k|u|l|e|s|w:a:r|	ক|ু|ল|ে|শ:্|ব:র|
k|u|l|k|a|r|n|i|	ক|ু|ল|ক|া|র:্|ণ|ি|
k|u|l|l|u|	ক|ু|ল:্|ল|ু|
k|u|l|o|n|	ক|ু|ল|ো|ন|
k|u|l|s:a|m|	ক|ু|ল|স|ম|
k|u|l|s:a|n|	ক|ু|ল|স|ন|
k|u|l|s|u|m|	ক|ু|ল|স|ু|ম|
k|u|m|a|n|o|	ক|ু|ম|া|ন|ো|
k|u|m|a|r|	ক|ু|ম|া|র|
k|u|m|a|r|i|	ক|ু|ম|া|র|ী|
k|u|m|a|r|i|d|e|v|i|	ক|ু|ম|া|র|ী|দ|ে|ব|ী|
k|u|m|b:h:a|l|g|a:r:h|	ক|ু|ম:্|ভ|ল|গ|ড়|
k|u|m|b:h:u|	ক|ু|ম:্|ভ:ু|
k|u|m|b:l:e|	ক|ু|ম|ল:ে|
k|u|m|h|a|r|	ক|ু|ম|হ|া|র|
k|u|m|k|u|m|	ক|ু|ম|ক|ু|ম|
k|u|m|u|d|i|n|i|	ক|ু|ম|ু|দ|ি|ন|ী|
k|u|n|j:a|	ক|ু|ঞ:্|জ|
k|u|n|j:u|b|a|l|a|	ক|ু|ঞ:্|জ|ব|া|ল|া|
k|u|n|t:a|l|i|k|a|	ক|ু|ন:্|ত|ল|ি|ক|া|
k|u|n|t|i|b|a|l|a|	ক|ু|ন:্|ত|ী|ব|া|ল|া|
k|u|n|t|i|d|e|v|i|	ক|ু|ন:্|ত|ী|দ|ে|ব|ী|
k|u|p|	ক|ু|প|
k|u|p|w|a|d|a|	ক|ু|প|ও|য়:া|র|া|
k|u|r|a|l|	ক|ু|র|া|ল|
k|u|r|a|n|i|	ক|ু|ড়|া|ন|ী|
k|u|r|b|a|n|	ক|ু|র|ব|া|ন|
k|u|r|e|	ক|ু|র|ে|
k|u|r|e|s:h:a|	ক|ু|র|ে|শ:া|
k|u|r|i|r|a|m|	ক|ু|ড়|ি|র|া|ম|
k|u|r|s|e|d|a|l|i|	খ|ু|র|স|ে|দ|আ|ল|ি|
k|u|r|s:h:i|d|a|	খ|ু|র:্|শ:ি|দ|া|
k|u|r|t|	ক|ু|র:্|ট|
k|u|r|u|p|p|u|	ক|ু|র|ু|প|প|ু|
k|u|r|u|s|	ক|ু|র|ু|স|
k|u|r|u|v|i|l|l:a|	ক|ু|র|ু|ব|ি|ল:্|ল|
k|u|s:h:a|d:h|w:a|j|	ক|ু|শ|ধ|ব|জ|
k|u|s:h:a|l|	ক|ু|শ|ল|
k|u|s:h|c:h|a|d|r:a|	ক|ু|শ|চ|ন:্|দ:্|র|
k|u|s:h:i|m|o|h:a|n|	খ|ু|শ:ি|ম|ো|হ|ন|
k|u|s:h:i|n:a|g:a|r|	ক|ু|শ:ী|ন|গ|র|
k|u|s|t:a|r|i|	ক|ু|স:্|ত|র|ী|
k|u|s|u|m|	ক|ু|স|ু|ম|
k|u|s|u|m|b|a|l|a|	ক|ু|স|ু|ম|ব|া|ল|া|
k|u|s|u|m|b|i|b|i|	ক|ু|স|ু|ম|ব|ি|ব|ি|
k|u|s|u|m|d|e|v|i|	ক|ু|স|ু|ম|দ|ে|ব|ী|
k|u|s|u|m|r|a|n|i|	ক|ু|স|ু|ম|র|া|ন|ী|
k|u|t:a|b:u|d|d|i|n|	ক|ু|ত|ব|দ:্|দ|ি|ন|
k|u|t:c:h|	ক|ু|চ|
k|u|t|u|b|a|l|i|	ক|ু|ত|ু|ব|আ|ল|ি|
k|u|t|u|b|u|d|d|i|n|	ক|ু|ত|ু|ব|উ|দ:্|দ|ি|ন|
k|u|t|u|m|b|e|	ক|ু|ট|ু|ম:্|ব|ে|
k|u|t|u|z|o|v|	ক|ু|ট|ু|জ|ো|ভ|
k|u|w:a:i|t|	ক|ু|য়:া|ট|
k:v:i|l:l:e|	ভ:ি|ল|
k|w|a|c:h:a|	ক|ও|য়:া|চ|
k|y:l:e|	ক|ি:ল|
k|y:o|n|j:h:a|r|	ক:ে|ও|ন|ঝ|ড়|
k|y|o|t|o|	ক|ি|ও|ট|ো|
k|y|u|s:h|u|	ক|া:য়|ু|স|ু|
l|a|	ল|া|
l:a|a|r|i|	ল|া|র|ি|
l:a|b|	ল|ব|
l:a|b:a|c:h:a|n|d|r:a|	ল|ব|চ|ন:্|দ:্|র|
l:a|b:a|k|a|n|t:a|	ল|ব|ক|া|ন:্|ত|
l:a|b:a|k|u|m|a|r|	ল|ব|ক|ু|ম|া|র|
l:a|b:a|n|g:a|	ল|ব|ঙ:্|গ|
l:a|b:a|n|g:a|l:a|t|a|	ল|ব|ঙ:্|গ|ল|ত|া|
l|a|b|l|i|	ল|া|ব|ল|ী|
l|a|b|l|u|	ল|া|ব|ল|ু|
l|a|b:o|n|i|	ল|া|ব|ন|ী|
l|a|b|o|p:h:a|r|m|	ল|া|ব|ো|ফ:া|র:্|ম|
l|a|b:o|r|a|t:o|r|i:e:s|	ল:্|য:া|ব|র|ে|ট|র|ি:জ|
l|a:b|o:u:r|	ল:ে|ব|া:র|
l|a|b|r:o|o|y|	ল|ে|ব:্|র|ো|ই|
l|a|b:s|	ল:্|য:া|ব|
l:a|c:h|m:a|n|	ল|ছ|ম|ন|
l:a|c:h|m|i|	ল|ছ|ম|ী|
l|a|c:k|	ল:্|য:া|ক|
l|a|c|r|o|s:s:e|	ল|া|ক:্|র|ো|স|
l|a|c|r|o|s:s:e|	ল:্|য:া|ক:্|র|ো|স:ে|
l|a|d|e|n|	ল|া|দ|ে|ন|
l:a|d:h:a|i|	ল|ধ:া|ই|
l:a|d:h:u|	ল|ধ:ু|
l|a|d|o|g|a|	ল|া|ড|ো|গ|া|
l|a:d:y|	ল:ে|ড:ি|
l|a|e|e:q|	ল|া|য়:ে|ক|
l|a|f|a|y|e|t|t|e|	ল|া|ফ|া|য়|ে|ট:্|ট|া|
l|a|g|a|r|d|è|r|e|	ল|া|গ|া|র:্|ড|্|র|ে|
l:a|g|e|n|d|r:a|	ল|গ|ে|ন:্|দ:্|র|
l|a|g|o|a|	ল|া|গ|ো|য়:া|
l|a|g|o|s|	ল|া|গ|ো|স|
l|a|g|r|a|n|g|e|	ল|া|গ:্|র|া|ঞ:্|জ|ে|
l|a|g|u|	ল|া|গ|ু|
l|a|h|o:r:e|	ল|া|হ|ো:র|
l:a|j|j|a|b|a:t:i|	ল|জ:্|জ|া|ব|ত:ী|
l|a|k|d|e|	ল|া|ক|ড়|ে|
l|a:k:e|	ল|ে:ক|
l|a:k:e|s|	ল|ে:ক|স|
l|a|k:h:a|n|p|a|l|	ল|া|খ:া|ন|প|া|ল|
l|a|k:h:i|m|p|u|r|	ল|া|খ:ি|ম|প|ু|র|
l:a|k:h:i|n|d|	ল|খ:ী|ন:্|দ|
l:a|k:h:i|n|d:a|r|	ল|খ:ি|ন:্|দ|র|
l:a|k:h:i|r|a|m|	ল|খ:ি|র|া|ম|
l|a|k|k|a|d|	ল|া|ক:্|ক|া|দ|
l|a|k|k:h:e|w|a|l|i|	ল|া|ক:্|ষ:ে|ও|য়:া|ল|ি|
l|a|k|k:h:u|w|a|l|	ল|া|ক:্|ষ:ু|ও|য়:া|ল|
l|a|k|s:h|a|d|w:e:e|p|	ল|া|ক:্|ষ|া|দ:্|ব:ী|প|
l:a|k|s:h:i|j|a|n|	ল|ক:্|ষ:ী|জ|া|ন|
l:a|k|s|h|m:a|n|	ল|ক:্|ষ|্|ম|ণ|
l:a|k|s:h|m|i|b|a|i|	ল|ক:্|ষ|্:ম|ী|ব|া|ঈ|
l|a:k:s|h:m:i|b|e|g:a|m|	ল|ক:্|ষ:ী|ব|ে|গ|ম|
l:a|k|s:h|m|i|d|e|b|i|	ল|ক:্|ষ|্:ম|ী|দ|ে|ব|ী|
l|a:k:s|h:m:i|k|a|n|t:a|	ল|ক:্|ষ:ী|ক|া|ন:্|ত|
l:a|k|s:h|m|i|p:a|d:a|	ল|ক:্|ষ|্:ম|ী|প|দ|
l:a|k|s:h|m|i|p:a|t:h:y|	ল|ক:্|ষ|্:ম|ী|প|থ:ে|
l|a:k:s|h:m:i|r|a|m|	ল|ক:্|ষ:ী|র|া|ম|
l|a:k:s|h:m:i|r|a|n|i|	ল|ক:্|ষ:ী|র|া|ণ|ী|
l|a|l|	ল|া|ল|
l|a|l|a|	ল|া|ল|া|
l|a|l|a|d|u|	ল|া|ল|া|দ|ু|
l|a|l|a|i|	ল|া|ল|া|ই|
l|a|l|a|n|	ল|া|ল:্|ল|ন|
l|a|l:a|n|p|r:a|s|a|d|	ল|া|ল|ন|প:্|র|স|া|দ|
l|a|l|b|a|b|u|	ল|া|ল|ব|া|ব|ু|
l|a|l|b|a|h|a|d|u|r|	ল|া|ল|ব|া|হ|া|দ|ু|র|
l|a|l|b|a|n|u|	ল|া|ল|ব|া|ন|ু|
l|a|l|b|i|b|i|	ল|া|ল|ব|ি|ব|ি|
l|a|l|b|i|h:a:r|i|	ল|া|ল|ব|ি|হ:া|র:ী|
l|a|l|c:h:a|n|d|	ল|া|ল|চ:া|ঁ|দ|
l|a|l|i|b|a|l|a|	ল|া|ল|ী|ব|া|ল|া|
l|a|l|i|m|	ল|া|ল|ি|ম|
l:a|l|i|t|	ল|ল|ি|ত|
l:a|l|i|t|a|	ল|ল|ি|ত|া|
l:a|l|i|t|a|d|e|v|i|	ল|ল|ি|ত|া|দ|ে|ব|ী|
l:a|l|i|t:h|	ল|ল|ি|থ|
l:a|l|i|t:h|a|m|a|n|a|	ল|ল|ি|থ|া|ম|া|ন|া|
l:a|l|i|t|m|o|h:a|n|	ল|ল|ি|ত|ম|ো|হ|ন|
l:a|l|i|t|p|u|r|	ল|ল|ি|ত|প|ু|র|
l|a|l|j|i|	ল|া|ল|জ|ি|
l|a|l|k|u|m|a|r|	ল|া|ল|ক|ু|ম|া|র|
l|a|l|l|u|	ল|া|ল:্|ল|ু|
l|a|l|m:a|h|m|m:a|d|	ল|া|ল|ম|হ:া|ম:্|ম|দ|
l|a|l|m|o|h:a|n|	ল|া|ল|ম|ো|হ|ন|
l|a|l|m:o|n|i|	ল|া|ল|ম|ন|ি|
l|a|l|m:o|n|i|d|e|v|i|	ল|া|ল|ম|ন|ি|দ|ে|ব|ী|
l|a|l|o|	ল|া|ল|ো|
l|a|l|s|a|h|a:b|	ল|া|ল|স|া|হ:ে|ব|
l|a|l|t|u|	ল|া|ল|ট|ু|
l|a|l|t|u|s|i|	ল|া|ল|ট|ু|স|ি|
l|a|m|a|	ল|া|ম|া|
l|a|m|a|r|	ল|া|ম|া|র|
l|a|m|b|	ল:্|য:া|ম:্|ব|
l|a|m|b:a|	ল|া|ম:্|ব|
l|a|m|b|a|d:a|	ল|া|ম:্|ব|া|দ|
l|a|m|b|d|a|	ল|া|ম:্|ব|দ|া|
l|a|m|b:e|r|t|	ল|া|ম:্|ব|া:র|্:ট|
l:a|m|b|o|d:a|r|	ল|ম:্|ব|ো|দ|র|
l:a|m|b|u|	ল|ম:্|ব|ু|
l:a|m|e|c:k|	ল|ম|ে|ক|
l|a|m|p|e|r|t|	ল:্|য:া|ম:্|প|ে|র:্|ট|
l|a|m|p|s|	ল:্|য:া|ম:্|প|স|
l:a|n|a|u|	ল|ে:ন|া|উ|
l|a|n|c|a|s|t:e|r|	ল:্|য:া|ন|ক|া|স:্|ট|া:র|
l|a|n|c:e|	ল|ে|ন:্|স|
l|a|n|c:e|	ল:্|য:া|ন:্|স|
l|a|n|d|	ল:্|য:া|ন:্|ড|
l|a|n|d|g:u:a|r|d|	ল:্|য:া|ন:্|ড|গ:া|র:্|ড|
l|a|n|d|m|a|r|k|	ল:্|য:া|ন:্|ড|ম|া|র:্|ক|
l|a|n|d|m|o|l|e|n|	ল:্|য:া|ন:্|ড|ম|ো|ল|ে|ন|
l:a|n|d:o|n|	ল|ন:্|ড|ন|
l|a|n|e|n|	ল|া|ন|ে|ন|
l|a|n:g|	ল|া|ং|
l|a|n|g:e|r|	ল|া|ঙ:্|গ|া:র|
l|a|n:g|h|a|m|	ল:্|য:া|ং|হ:্|য:া|ম|
l|a|n:g|s|t|o|n:e|	ল:্|য:া|ং|স:্|ট|ো|ন|
l:a|n|k|a|	ল|ঙ:্|ক|া|
l|a|n|o|p|t|i|c|s|	ল:্|য:া|ন|অ|প|ট|ি|ক:্|স|
l|a|n|t:h|a|n|u|m|	ল:্|য:া|ন|থ|া|ন|া|ম|
l|a|n|t|i|n|	ল:্|য:া|ন:্|ট|ি|ন|
l|a|p:p:e|e|n|r|a|n|t|a|	ল:্|য:া|প|ে|ন|র:্|য:া|ন|ট|া|
l|a|p|t|e|v|	ল:্|য:া|প|ট|ে|ভ|
l|a|r|a|	ল|া|র|া|
l|a|r|a|m:i:e|	ল|া|র|া|ম:ি|
l|a|r|k|i|n|	ল|া|র:্|ক|ি|ন|
l|a|r|n|a|c:a|	ল|া|র|ন|া|ক|
l|a|r:r:y|	ল|া|র:ি|
l|a|r|s|e|n|	ল|া|র:্|স|ে|ন|
l:a|s|	ল|স|
l:a|t|a|b|a|l|a|	ল|ত|া|ব|া|ল|া|
l:a|t|a|r|a|n|i|	ল|ত|া|র|া|ণ|ী|
l:a|t|i|b|u|d|d|i|n|	ল|ত|ি|ব|ু|দ:্|দ|ি|ন|
l|a|t|i|f|	ল|া|ট|ি|ফ|
l:a|t|i|f|a|	ল|ত|ি|ফ|া|
l:a|t|i|k|a|	ল|ত|ি|ক|া|
l:a|t|i|k|a|b|a|l|a|	ল|ত|ি|ক|া|ব|া|ল|া|
l:a|t|i|k|a|r|a|n|i|	ল|ত|ি|ক|া|র|া|ন|ী|
l:a|t|i|p:h|b|i|b|i|	ল|ত|ি|ফ|ব|ি|ব|ি|
l|a|t|o|r:r:e|	ল|া|ট|ো|র:ে|
l:a|t|u|	ল|ট|ু|
l|a|t|u|r|	ল|া|ট|ু|র|
l|a|u|	ল|া|উ|
l|a|u|d:e|r|d|a:l:e|	ল|া|উ|ড|া:র|ড|ে:ল|
l|a|u:g:h|l|i|n|	ল|া|ভ|ল|ি|ন|
l|a|u|r|a|	ল|া|উ|র|া|
l|a|u|r|e|a|t:e|	ল|া|উ|র|ে|য়:ে|ট|
l|a|u|r|e|n|c:e|	ল|া|উ|র|ে|ন:্|স|
l:a:u|r|e|n|s|	ল|র|ে|ন:্|স|
l|a|u|r|i|a|	ল|া|উ|র|ি|য়:া|
l|a:u:w|e:r:s|h|o:e:k|	ল|ৌ:য়|া:র|শ|ো:ক|
l|a|v|a|c|a|	ল|া|ভ|া|ক|া|
l|a|v|a|l|	ল|া|ভ|া|ল|
l|a|v|e|n|d:e|r|	ল:্|য:া|ভ|ে|ন:্|ড|া:র|
l|a|v|l|i|	ল|া|ভ|ল|ি|
l|a|w|a|a:t:e|	ল|া|ও|য়:া|ত:ে|
l:a|w|a:t:e|	ল|ও|ত:ে|
l|a|w|r|e|n|c:e|	ল|া|ও:য়|া:র|ে|ন:্|স|
l:a:w|r|e|n|c|i|u|m|	ল|র|ে|ন|স|ি|য়:া|ম|
l:a:w|r|i|e|	ল|্|য|র:ি|
l:a:w|s:o:n|	ল:ো|শ:ন|
l:a|x|m:a:n|	ল|ক:্|ষ:ন|
l|a|x|m|i|b|a|l|a|	ল|ক:্|ষ:্|ম|ী|ব|া|ল|া|
l|a|x:m:i|k|a|n|t:a|	ল|ক:্|ষ:ি|ক|া|ন:্|ত|
l|a|x|m|i|n|a|r|a|y:a|n|	ল|ক:্|ষ:্|ম|ী|ন|া|র|া|য়|ণ|
l|a|x|m|i|r|a|n|i|	ল|ক:্|ষ:্|ম|ী|র|া|ণ|ী|
l|a|y:a|r|	ল|া|য়|র|
l|e|a|c|o:c:k|	ল|ে|য়:া|ক|ু:ক|
l|e:a:d|	ল|ে:ড|
l|e:a:d|i:n:g|	ল|ি:ড|ি:ং|
l:e:a|g:u:e|	ল:ে|গ:ু|
l|e|a|g|u|e|s|	ল|ি|য়:ে|গ|ু|য়:ে|স|
l|e|a|r|	ল|ি:য়|া|র|
l|e|a|r|y|	ল|ি|য়:ে|র|ি|
l|e|b|a|l|i|	ল|ে|ব|আ|ল|ি|
l|e|b|a|n:o:n|	ল|ে|ব|া|ন:ন|
l:e:e|	ল:ী|
l:e|e|d|s|	ল|ি:র|্:ড|স|
l|e:e|d|s|t|o|w|n|	ল|ি|ড|স|ট|া|উ|ন|
l|e:e|s|	ল|ি|স|
l|e|g|a|l|	ল|ি|গ|া|ল|
l|e|g|e|n|d|	ল|ি|গ|ে|ন:্|ড|
l|e|g|i|o|n|	ল|ি|জ|ি|য়:া|ন|
l|e|h|m|a|n:n|	ল|ে|হ|ম:্|য:া|ন|
l|e|h|r:e|r|	ল|ে|হ|র|া:র|
l|e|i|	ল|ে|ই|
l|e|i|s|u|r:e|	ল|ে|ই|স|ি:ও|র|
l:e:l|	ল:ে|
l|e|l|e|	ল|ে|ল|ে|
l|e|m|p|i|r|a|	ল|ে|ম:্|প|ি|র|া|
l|e|n|a|	ল|ে|ন|া|
l|e|n|a|w|e:e|	ল|ে|ন|া|ও:য়|ে|
l|e|n|c:o|i|s|	ল|ে|ন|ক|য়:ে|স|
l|e|n|i|n|	ল|ে|ন|ি|ন|
l|e|n|i|n|g|r|a|d|	ল|ে|ল|ি|ল|গ:্|র|া|ড|
l|e|n|o|	ল|ি|ন|ো|
l|e|o|	ল|ি|ও|
l|e|o|n|	ল|ি|ও|ন|
l|e|o|n|a|r|d|	ল|ি|ও|ন|া|র:্|দ:ো|
l|e|o|n:e|	ল|ি|ও|ন|
l:e:o|p|a|r|d|	ল:ে|প|া|র:্|ড|
l|e|s|	ল|ে|স|
l|e|s|l:i:e|	ল|ে|স|ল:ি|
l|e|s|t:e|r|	ল|ে|স:্|ট|া:র|
l|e|s|v|o|s|	ল|ে|স|ভ|ো|স|
l|e|t:t:e|r|m|a|n|	ল|ে|ট:া|র|ম:্|য:া|ন|
l|e|t:t:e|r|s|	ল|ে|ট:া|র|স|
l|e|t:t:e|r|s|	ল|ে|ট:া|র:্|স|
l|e:t:t|r|e|	ল|ে:ট|্:র|ে|
l|e|u|	ল|ি|উ|
l|e|u|s|e|u|r|	ল|ি|উ|স|ি|ও|র|
l|e|v|	ল|ে|ভ|
l|e|v|a|s:s:e|u|r|	ল|ে|ভ|া|স:ে|উ|র|
l|e:v:e|r|	ল|ি:ভ|া:র|
l|e|w|i|n|s|k|y|	ল|ি|উ|য়:ি|ন|স:্|ক|ি|
l|e|w|i|s|	ল|ে|ই|উ|স|
l|e|w|i|s|	ল|ে|ও:য়|া:ই|স|
l|i|a|m|	ল|ি|য়:া|ম|
l|i|a|q:a|t|	ল|ি|য়:া|ক|ত|
l|i|b:e|r|a:c:e|	ল|ি|ব|া:র|ে:স|
l|i|b:e|r|t|e|	ল|ি|ব|া:র|্:ট|ি|
l|i|b|e|r:t:y|	ল|া:ই|ব|ে|র:ি|
l|i|b:e|r|t|y|	ল|ি|ব|া:র|্:ট|ি|
l:i|b|r|a|	ল|ব:্|র|া|
l|i|b:r:a|r|y|	ল|া:ই|ব:ে|র|ি|
l|i|b|r|e|v|i|l:l:e|	ল|ি|ব:্|র|ে|ভ|ি|ল|
l|i|e:b:e|n|b|e|r|g|	ল|ি|য়:ে|ন|ব|া|র:্|গ|
l:i:e|c:h|t|e|n|s|t:e|i|n|	ল:ি|চ|ট|ে|ন:্|স|ট|া:ই|ন|
l:i:e|r|r|e|	ল:ি|র|র|ে|
l|i|e|r|s|	ল|ি|য়:া|র:্|স|
l|i|f|e:t|i|m:e|	ল|া:ই|ফ|ট|া:ই|ম|
