h|e|t|f|i|e:l|d|	ה|י|ט|פ|י|ל|ד|
j|i|a|	ג:'|י|א|
k|y|r|a|s|t|a|s|	ק|י|ר|א|ס|ט|א|ס|
l|i|a|	ל|י|א|
a|z|o:u|z|	ע|ז|ו|ז|
n|o|t:t|i|n|g|	נ|ו|ט|י|נ|ג|
m:a|n|s|o:u|r|	מ|נ|ס|ו|ר|
d|e|t|l|e|v|	ד|י|ט|ל|י|ב|
b:e|s:s|e|m|e:r|	ב|ס|י|מ|ר|
t|a|r|y|n|	ט|א|ר|י|ן|
m:e|n|d|y|	מ|נ|ד|י|
k|e|n|t|a|r|o|	ק|י|נ|ט|א|ר|ו|
t|o:u|r|a|n|i|	ט|ו|ר|א|נ|י|
k:n|i|g:h|t|	נ|א|י|ט|
c:h|r|i|s|t|i|n:e|	ק|ר|י|ס|ט|י|ן|
f|a|t|m|i|r|	פ|א|ט|מ|י|ר|
c|a|n:n|i|n|g|	ק|א|נ|י|נ|ג|
t:a|m:a|r|	ת|מ|ר|
t|a:m|a|s|	ט|מ|א|ס|
e|n|f|i|e:l|d|	א|נ|פ|י|ל|ד|
p:e|n|t|e|c|o|s|t|	פ|נ|ט|י|ק|ו|ס|ט|
r|o|s|a|l|y|n:n|	ר|ו|ז|א|ל|י|ן|
a|u|d|i:n|	א|ו|ד|ן|
m:a|u|r|e|e:n|	מ|ו|ר|י|ן|
m|a|r|e|k|	מ|א|ר|י|ק|
l|e|n|d|l|	ל|י|נ|ד|ל|
h|o|l|i|d|a|y|	ה|ו|ל|י|ד|א|י|
y|o|r|i|t|o|m|o|	י|ו|ר|י|ט|ו|מ|ו|
l|a|u|r|s|e:n|	ל|א|ו|ר|ס|ן|
a|s:s|i|a|	א|ס|י|א|
m|o|n|t|a|g|u:e|	מ|ו|נ|ט|א|ג:י|ו|
c|a|n:n|a|v|a|r|o|	ק|א|נ|א|ב|א|ר|ו|
m|a|d|h|y|a|	מ|א|ד|ה|י|א|
a|l|a|l|i|	א|ל|ע|ל|י|
s|o:u|l|e|y|m|a|n|o:u|	ס|ו|ל|י|י|מ|א|נ|ו|
z:e|l:l|e:r|	ז|ל|ר|
w|a|r|s|a:w|	ו|א|ר|ס|ו|
w:i|s|l:a|n|d|e:r|	ו|ס|ל|נ|ד|ר|
g|u|e:r|r:e|r|o|	ג|ו|ר|י|ר|ו|
m|u|n|t|y|a|n|	מ|ו|נ|ט|י|א|ן|
c|o|l|v|i|n|	ק|ו|ל|ו:ו|י|ן|
d|a|y|a:n|	ד|י|י|ן|
b|i|l|a|d|y|	ב|י|ל|א|ד|י|
k|a|p|a|d|z|e|	ק|א|פ|א|ד|ז|ה|
i|s|m:e|t|	ע:י|ס|מ|ט|
p|i|e:r|r:e|	פ|י|א|ר|
c:h|r|i|s|t|o:u|	ק|ר|י|ס|ט|ו|
e|l|s:h|a|f|e|i|	א|ל|ש|א|פ|ע|י|
p|i|r|e|s|	פ|י|ר|י|ז|
g|i|l|b|e:r|t|	ג|י|ל|ב|ר|ט|
m|a|r|i|u|s:z|	מ|א|ר|י|ו|ס|
w:l|a|d|y|s|l|a|w|	ו|א|ד|י|ס|ו|א|ב|
r|a|m|a|z|	ר|א|מ|א|ז|
r|i|y:a|d|	ר|י|א|ד|
a|r|g:h|u|n|	א|ר|ג|ו|ן|
k|a|r|e|l|	ק|א|ר|י|ל|
n|a|e:l|s|o|n|	נ|י:י|ל|ס|ו|ן|
k|a|r|e:n|	ק|א|ר|ן|
p|o|l|y|n|e|s|i|a|	פ|ו|ל|י|נ|י|ז|י|א|
p|i|e:r|c:e|	פ|י|ר|ס|
h:a|d|j:a|o:u|i|	ח|ג:'|א|ו|י|
t|a|r|t|u|	ט|א|ר|ט|ו|
v|u|k|c:e|v|i|c|	ו|ו|ק|ס|י:ב|י|ט:ש|
k|a|l|o|y|e|v|	ק|א|ל|ו|י|י|ב|
t|a:u|z|i|a:t|	ט|ו|ז|י|א|
b:e|i|r|u|t|	ב|י|ר|ו|ת|
a|v|i|v|i|m|	א|ב|י|ב|י|ם|
s|a|e|n|k|o|	ס|א|י|נ|ק|ו|
t|i|m|o|r|i|m|	ט|י|מ|ו|ר|י|ם|
j|e:t|	ג:'|ט|
c|r|e|m|e:r|	ק|ר|י|מ|ר|
a|k:h|a|l|k|a|l|a|k|i|	א|כ|א|ל|ק|א|ל|א|ק|י|
t|a|r|a|n|t|o|	ט|א|ר|א|נ|ט|ו|
j|a|r|e|d|	ג:'|א|ר|י|ד|
l|e|o|n|i|d:a|s|	ל|י|ו|נ|י|ד|ס|
h|o:u|r|a|n|i|	ח|ו|ר|א|נ|י|
s|i|h|a|n|o:u|k|	ס|י|ה|א|נ|ו|ק|
s|i|l|v|i|o|	ס|י|ל|ב|י|ו|
n|o|r|t|o:n|	נ|ו|ר|ט|ן|
k:a|p|l|a|n|	ק|פ|ל|א|ן|
h:a|m|a|s|	ח|מ|א|ס|
h|a|v|i|l:l|a|n|d|	ה|א|ב|י|ל|א|נ|ד|
k|u|n|t|a|r|	ק|ו|נ|ט|א|ר|
b|a|e|z|a|	ב|א|י|ז|א|
f:a|r|s:h|a|d|	פ|ר|ש|א|ד|
f|a|n:n|i|n|g|	פ|א|נ|י|נ|ג|
a|n|t|o|n|	א|נ|ט|ו|ן|
v|o|l|z|	ו|ו|ל|ץ|
b:a|r|k|a|	ב|ר|ק|ה|
y|o:u|z|h|n|y|	י|ו|ז|'|נ|י|
b|u|r|e|t|s|u|	ב|ו|ר|י|ט|ס|ו|
s|a|y|a|k|o|	ס|א|י|א|ק|ו|
g|r|i|m|i|	ג|ר|י|מ|י|
f|a|r|o:u|k|	פ|א|ר|ו|ק|
r|u|d|o|l|p:h|	ר|ו|ד|ו|ל|ף|
p|o|p:e|	פ|ו|פ|
h|i|d|a|k|a|	ה|י|ד|א|ק|א|
g:e|o|r|g|e:s|	ג|':ו|ר|ג|'|
p|a|a:s|i|l|i|n:n|a|	פ|א|ס|י|ל|י|נ|א|
b|u|s:h|m:e|n|	ב|ו|ש|מ|ן|
b|e|b|e|t|o|	ב|י|ב|י|ט|ו|
h|o|p:e|	ה|ו|פ|
y|a:h|y|a|	י|ח|י|א|
k|o|m|o|r|a|	ק|ו|מ|ו|ר|א|
m|a|t|s|u|i|	מ|א|ט|ס|ו|י|
s:z|a|v|a|y|	ס|א|ב|א|י|
d|i|x|i|t|	ד|י|ק:ס|י|ט|
v|a|s|i|l|i|s|	ו|א|ס|י|ל|י|ס|
p|a|s|t|o|n|	פ|א|ס|ט|ו|ן|
s|e|l|w|a|y|	ס|י|ל|ו|י|י|
d:e|b:b|o:u|z:e|	ד|ב|ו|ז|
p|a|r|i|s|	פ|א|ר|י|ס|
r|a|k|o|s|i|	ר|א|ק|ו|ס|י|
e|l|i|j|a:h|	א|ל|א:י|ג:'|ה|
s|a|o|r|i|	ס|א|ו|ר|י|
h:a|k:k|i|	ח|ק|י|
n|a|r:e|y|	נ|א|ר|י|
r:a|s|l|a|n|	ר|ס|ל|א|ן|
f|l|o|r|i|a|n|o|	פ|ל|ו|ר|י|א|נ|ו|
t|a|u:t|o:u|	ט|א|ט|ו|
m|e|r|t:e|s|a|c:k|e:r|	מ|י|ר|ט|ס|א|ק|ר|
d:e|e|	ד|י|
h|a|u|e|r|	ה|א|ו|י|ר|
o|r|a|c|l:e|	א:ו|ר|א|ק|ל|
p:e|u|t|i|n|g|e:r|	פ|ו|י:ט|י|נ|ג|ר|
h|y|a|n|g|	ה|י|א|נ|ג|
w|e|i|	ו|י|י|
p|a|t:s|a|t:z|o|g|l|o:u|	פ|א|צ|א|צ|ו|ג|ל|ו|
m|i|k:h|e|i|l|	מ|י|כ|א|י|ל|
a|r|i|s|t|i|d:e|	א|ר|י|ס|ט|י|ד|
l|a|v|a|	ל|א|ב|א|
s|t|a|m|i|l:e|	ס|ט|א|מ|א:י|ל|
r|a|c:h|a|e:l|	ר|א|י|צ:'|ל|
z|u|m|a|	ז|ו|מ|א|
g|r|a|y|	ג|ר|י|י|
r|o|b|i|n|s|o|n|s|	ר|ו|ב|י|נ|ס|ו|נ|ז|
g|a|l:l|a|n|d|	ג|א|ל|א|נ|ד|
e|y|v|i|n|d|	א|י|ב|י|נ|ד|
d|a|l|t|o|n|	ד|א|ל|ט|ו|ן|
s|i|d|	ס|י|ד|
r|o|l:e|d|e:r|	ר|ו|ל|ד|ר|
g|i|n|s|b|u|r|g|	ג|י|נ|ס|ב|ו|ר|ג|
k|r|a|n|k|l|	ק|ר|א|נ|ק|ל|
y|u|l|i|a|n|t|o|	י|ו|ל|י|א|נ|ט|ו|
f|a:h|r|n|i|	פ|א|ר|נ|י|
h:e|e|n|a|n|	ה|י|נ|א|ן|
t|r|u|t:h|	ט|ר|ו|ת|
d:e|n|h|o|l|m|	ד|נ|ה|ו|ל|ם|
l|u|t|f|i|	ל|ו|ט|פ|י|
a|n|	א|ן|
p|r|e|s|c|o|t:t|	פ|ר|י|ס|ק|ו|ט|
p|r|u|z:z|o|	פ|ר|ו|צ|ו|
d|e|v|i|l|d|e:r|	ד|י|ב|א:י|ל|ד|ר|
k:a|m|a|l|	ק|מ|א|ל|
c|a|r:e|w|	ק|א|ר|ו|
a|n|d|r:e|w|	א|נ|ד|ר|ו|
u|m|b|r|i|a|	א:ו|מ|ב|ר|י|א|
f|i|c:h|m|a|n|	פ|י|ש|מ|א|ן|
v|e:r|m|a|e:l|e:n|	ו|ר|מ|י:י|ל|ן|
s|e|i|j|i|	ס|י|י|ג:'|י|
s|o|t|i|r|i|o|s|	ס|ו|ט|י|ר|י|ו|ס|
g|o|l|d|s|t:e|i|n|	ג|ו|ל|ד|ס|ט|י|ן|
b|e|n|i|t|o|	ב|י|נ|י|ט|ו|
m|i|t:c|h:e|l:l|	מ|י|ט|ש|ל|
h|a|f:e|z|	ח|א|פ|ז|
b|a|l|d|r|y|	ב|א|ל|ד|ר|י|
s|a|d|o|k|	ס|א|ד|ו|ק|
n|a|s:s|e:r|	נ|א|ס|ר|
r|e|i:j|a|	ר|י|כ|א|
f|e|d|e:r|l|i|n:e|	פ|י|ד|ר|ל|א:י|ן|
m|o|n|g:k|e|	מ|ו|נ|ק|י|
s:h|i|r|i|n|	ש|י|ר|י|ן|
k|r|a|n|j|c|a|r|	ק|ר|א|נ|י|ק|א|ר|
n|o:u|r|i|	נ|ו|ר|י|
m|a|r|t|i|	מ|א|ר|ט|י|
m|i|g|l|i|o|r|e|	מ|י|ג|ל|י|ו|ר|י|
v|e|r|n|	ו|י|ר|ן|
g|a|r|a|d|a|n|o|w|	ג|א|ר|א|ד|א|נ|ו|ב|
c:h|a|m|b|e|r|s|	ש|א|מ|ב|י|ר|ס|
r|a|d|o|n|	ר|י:י|ד|ו|ן|
d|u:s|t|i|n|	ד:א|ס|ט|י|ן|
r|a|d|o|i|	ר|א|ד|ו|י|
v|i|s|t|u|l|a|	ו|י|ס|ט|ו|ל|א|
b|l|u|m:e|n|t:h|a|l|	ב|ל|ו|מ|נ|ת|א|ל|
b|o:u|r|a|o:u|i|	ב|ו|ר|א|ו|י|
a|b|e|d|i|	ע|ב|י|ד|י|
e|s|t|a|d|i|o|	א|ס|ט|א|ד|י|ו|
s|a|b|i|r|	ס|א|ב|י|ר|
g|u|a|n|t|a|n|a|m|o|	ג|ו|א|נ|ט|א|נ|א|מ|ו|
a|s|c|i:i|	א|ס|ק|י|
b|o|g|a|r|t|	ב|ו|ג|א|ר|ט|
h|a|b|e:r|	ה|א|ב|ר|
s|i|p|o|s|	ס|י|פ|ו|ס|
a|t|a|	ע|ט|א|
n:n|a|m|d|i|	נ|א|מ|ד|י|
m|a|n:n|h|e|i|m|	מ|א|נ|ה|א|י|ם|
n:e|h|r|u|	נ|ה|ר|ו|
s|u|l|a|k|v|e:l|i|d|z|e|	ס|ו|ל|א|ק|ב|ל|י|ד|ז|ה|
r|a|k:h|s:h|	ר|א|כ|ש|
g|e:n|d|a|	ג|נ|ד|א|
n|i|k|o|l|i|c|	נ|י|ק|ו|ל|י|ט:ש|
a|u|m|a|n:n|	א|ו|מ|א|ן|
h|e|r|c|u|l|e|s|	ה|י|ר|ק|י:ו|ל|י|ז|
s:c|h:u|l|t|z|	ש|ו|ל|ט|ז|
a|k|a|y|e|v|	א|ק|א|י|י|ב|
v|i|e:r|n:e|	ו|י|ר|ן|
k:n|e|z|e|v|i|c|	נ|י|ז|י|ב|י|ט:ש|
t|a|h|e:r|	ט|א|ה|ר|
z|i|r|y|a|b|	ז|י|ר|י|א|ב|
p|l|a|u|t:z|	פ|ל|א|ו|ץ|
r:a|b|i|e|	ר|ב|י|ע|
v|u|c|i|n|i|c|	ב|ו|ס|י|נ|י|ט:ש|
l|e|o|n:e|	ל|י|ו|ן|
r:a|b|i|a|	ר|ב|י|ע|
f|e|n|d|i|	פ|י|נ|ד|י|
k:h|o:u|r|y|	ח|ו|ר|י|
l:e|w|	ל|ו|
n|e|w|	נ|י|ו|
s|o|d|i|u|m|	ס|ו|ד|י|ו|ם|
a|u|g:u|s|t:e|	א|ו|ג|ס|ט|
k|e|n|t|a|	ק|י|נ|ט|א|
n|e|t:t|o|	נ|י|ט|ו|
m|o|l|i|e|r:e|	מ|ו|ל|י|י|ר|
z|a|i|m|o|g|l|u|	ז|א|י|מ|ו|ג|ל|ו|
m|i|r:e|l|	מ|י|ר|ל|
m|i|r|e|k|	מ|י|ר|י|ק|
h|o|l:l|e|r|i|t:h|	ה|ו|ל|י|ר|י|ת|
p|a|t|i|l|	פ|א|ט|י|ל|
n|o|v|o|t|n|a|	נ|ו|ב|ו|ט|נ|א|
r|o|e:n|t|g|e:n|i|u|m|	ר|ו|נ|ט|ג|נ|י|ו|ם|
s|a|l|m:e|e|n|	ס|א|ל|מ|י|ן|
p|e|r|u|g:g|i|a|	פ|י|ר|ו|ג|י|ה|
s|i|m|a|s|	ס|י|מ|א|ס|
s|i|z:e|m|o|r:e|	ס|א:י|ז|מ|ו|ר|
d|n|i:e|s|t|e:r|	ד|נ|י|ס|ט|ר|
s|a|h|e:l|	ס|א|ח|ל|
g|a|l|a|k|o|s|	ג|א|ל|א|ק|ו|ס|
s|t|e|f|k|a|	ס|ט|י|פ|ק|א|
p|a|l|a|t|i|n|a|t:e|	פ|א|ל|א|ט|י|נ|י:י|ט|
p|a|u|s|i|n|i|	פ|א|ו|ז|י|נ|י|
h|o|l|m:e|s|	ה|ו|ל|מ|ז|
v|e|n|t|e:r|	ו|י|נ|ט|ר|
p|a|s|t|r|a|n|a|	פ|א|ס|ט|ר|א|נ|א|
p|o|l|a|n|s|k|i|	פ|ו|ל|א|נ|ס|ק|י|
z|o|r|a|n|	ז|ו|ר|א|ן|
g|o|l|a:n|	ג|ו|ל|ן|
m|e|l:l|e:r|	מ|י|ל|ר|
k|e|n|y|a|t:t|a|	ק|י|נ|י|א|ט|א|
s|u|c|r:a|l|o|s:e|	ס|ו|ק|ר|ל|ו|ס|
c|a|r:e|y|	ק|א|ר|י|
h:a|b|i|b|	ח|ב|י|ב|
g|u|s|t|a|f|	ג|ו|ס|ט|א|ף|
r|a|l|d|e|s|	ר|א|ל|ד|י|ס|
r|o|s:e|	ר|ו|ז|
m|i|t|s|u|m|u|n|e|	מ|י|ט|ס|ו|מ|ו|נ|י|
k|w|o|n|	ק|ו|ו|ן|
b|o|r|m|a|n:n|	ב|ו|ר|מ|א|ן|
m|e|i|j|i|	מ|י|י|ג:'|י|
p|i|n|e|l|	פ|י|נ|י|ל|
t|u|r|g|u|t|	ט|ו|ר|ג|ו|ט|
s:c|h:u|s:s|e:l|	ש|ו|ס|ל|
s|a|k|i|c|h:i|	ס|א|ק|י|צ:'|י|
n|a|s|d|a|q|	נ|א|ס|ד|א|ק|
s|o|n|d|e:r|g|a|a:r|d|	ס|ו|נ|ד|ר|ג|א|ר|ד|
o|l|d|h|a|m|	א:ו|ל|ד|ה|א|ם|
h|a|n|k|s|	ה|א|נ|ק|ס|
v|i|r|g|i|n|i|a|	ו|י|ר|ג:'|י|נ|י|א|
s|t|e|p|a|n|a|k|e|r|t|	ס|ט|י|פ|א|נ|א|ק|י|ר|ט|
a|k|i|	א|ק|י|
r:a|f|a:h|	ר|פ|ח|
s|t|a|r|c:k|	ס|ט|א|ר|ק|
s|u|r|g|u|t|	ס|ו|ר|ג|ו|ט|
d|i:n|d|a|n|e|	ד|נ|ד|א|נ|י|
t|r|a|o:u|i|	ט|ר|א|ו|י|
j|a|s|p|e:r|s|	י|א|ס|פ|ר|ז|
r|u|b|i|k|	ר|ו|ב|י|ק|
g|o|k:h|a|n|	ג|ו|כ|א|ן|
b|r|o:o|k|i|n|g|	ב|ר|ו|ק|י|נ|ג|
b|e|t:t|a|	ב|י|ט|א|
c|o|n:n|o:r|s|	ק|ו|נ|ר|ז|
r|o|x|b|u|r|g:h|	ר|ו|ק:ס|ב|ו|ר|ג|
k:a|n:a|f|a|n|i|	ק|נ|פ|א|נ|י|
b|o|b:b|y|	ב|ו|ב|י|
k|e|i|j|i|	ק|י|י|ג:'|י|
r:a|j|a|v|i|	ר|ג:'|א|ב|י|
a|f|r|i|k|a|n|e:r|	א|פ|ר|י|ק|א|נ|ר|
m|a|s|u|d|i|	מ|א|ס|ו|ד|י|
r|o|s|n:e|f|t|	ר|ו|ס|נ|פ|ט|
s:a|l|i|b|i|	ס|ל|י|ב|י|
a|s:h|k|e:l|o|n|	א|ש|ק|ל|ו|ן|
a|l|f:a|r:a|z|d|a:q|	א|ל|פ|ר|ז|ד|ק|
i|r|b|i|d|	א:י|ר|ב|י|ד|
s:h|i|r|o|	ש|י|ר|ו|
k|l|a|n|	ק|ל|א|ן|
k|e:r|i|m|o|v|	ק|ר|י|מ|ו|ב|
j:e|s|p|e:r|	י|ס|פ|ר|
w:h|e:a|t|e|r|	ו|י|ט|י|ר|
a|l|a:n|	א|ל|ן|
f|e|i|l|e:r|	פ|י|י|ל|ר|
f|i|n|k|i|e:l|k|r|a:u|t|	פ|י|נ|ק|י|ל|ק|ר|ו|ט|
k:a|s|r|a|o:u|i|	ק|ס|ר|א|ו|י|
o|k|a|z|a|k|i|	א:ו|ק|א|ז|א|ק|י|
j|o|s:h|u|a|	ג:'|ו|ש|ו|א|
i|v|a|n|h|o:e|	א:י|ב|א|נ|ה|ו|
c|a|r|l|o|s|	ק|א|ר|ל|ו|ס|
b|r|e|g|e|r|i:e|	ב|ר|י|ג|י|ר|י|
h|a|m|i|n|u|	ה|א|מ|י|נ|ו|
h|r|v|o|j:e|	ה:י|ר|ב|ו|י|
m:a|a|m:a|r|	מ|ו:ע|מ|ר|
b|i|l|b|a|o|	ב|י|ל|ב|א|ו|
b:a|l|t|a|a:h|	ב|ל|ט|ע|ה|
m|u|b|a|r:a|k|	מ|ו|ב|א|ר|ק|
g|o|b:b|i|	ג|ו|ב|י|
b|a|n|t|u|s|t|a|n|	ב|א|נ|ט|ו|ס|ט|א|ן|
m|i|l|o|s:z|	מ|י|ל|ו|ש|
s|e|n|a|k|i|	ס|י|נ|א|ק|י|
j|u|l|i|u|s|	ג:'|ו|ל|י|ו|ס|
n:e|i|l|	נ|י|ל|
s:h|a:h|a:k|	ש|ח|ק|
m:e|l|v|i|l|	מ|ל|ב|י|ל|
p|a|p|a|	פ|א|פ|א|
s:h|a:f|i|q|	ש|פ|י|ק|
d:e|b:b|a|g:h|	ד|ב|א|ג|
k|a|b|i|l|	ק|א|ב|י|ל|
a|v|r|i|l|	א|ב|ר|י|ל|
s|p:e|c|t|o|r|	ס|פ|ק|ט|ו|ר|
b|r:e|n|d|a|n|	ב|ר|נ|ד|א|ן|
h|a|s:h|i|m|	ה|א|ש|י|ם|
r|e|y|m|o|n|t|	ר|י|י|מ|ו|נ|ט|
c|a|p|a|	ק|א|פ|א|
s:e|s|t|i|c|	ס|ס|ט|י|ק|
u|n|i|t|	י:ו|נ|י|ט|
b|i|j|e:l|j:i|n|a|	ב|י|י|ל|י|נ|א|
b|r|e|n:n|a|n|	ב|ר|י|נ|א|ן|
a|n|o|m|e:r|	א|נ|ו|מ|ר|
v|a|n|o|n|i|	ו|א|נ|ו|נ|י|
o|f:a|k|i|m|	א:ו|פ|ק|י|ם|
u|l|i|s:e|s|	א:ו|ל|י|ס|ס|
h:a|l|i|m|i|	ח|ל|י|מ|י|
s:h|u|n|s|u|k|e|	ש|ו|נ|ס|ו|ק|י|
s|t|e|v:e|n|s|o|n|	ס|ט|י|ב|נ|ס|ו|ן|
f:e|d|e:r|e:r|	פ|ד|ר|ר|
j|e:r|k|o|v|i|c|	י|ר|ק|ו|ב|י|ט:ש|
t:h|r|a|c:e|	ת|ר|י:י|ס|
h|u|g:u|e|s|	ה|ו|ג|י|ז|
d|o|l|p:h|	ד|ו|ל|ף|
s|p|a|n|i|c|	ס|פ|א|נ|י|ק|
b|r|i|x|t|o|n|	ב|ר|י|ק:ס|ט|ו|ן|
a|r|i|t|o|m|o|	א|ר|י|ט|ו|מ|ו|
t|o|r|a:h|	ת|ו|ר|ה|
n:i|i|g|a|k|i|	נ|י|ג|א|ק|י|
z|e:n|g|a|	ז|נ|ג|א|
b|a|l|a|t|o|n|	ב|א|ל|א|ט|ו|ן|
l|a|n|d|a|u|	ל|א|נ|ד|א|ו|
d|a|i:m|l|e:r|	ד|י:י|מ|ל|ר|
n|o|b|u|n|a|g|a|	נ|ו|ב|ו|נ|א|ג|א|
z|a|h|i|r|	ז|א|ה|י|ר|
d:e|n|m|a|r|k|	ד|נ|מ|א|ר|ק|
v|y|s:h|n:e|v|s|k|y:i|	ו|י|ש|נ|ב|ס|ק|י|
s|o|l|a|r|i|s|	ס|ו|ל|א|ר|י|ס|
h:e|n|r|y|	ה|נ|ר|י|
a|l:e|k|s:a|n|d|e:r|	א|ל|ק|ס|נ|ד|ר|
k|u|n|i|t|s|y|n|	ק|ו|נ|י|ט|ס|י|ן|
p|i|e|r|l|u|i|g|i|	פ|י|י|ר|ל|ו|י|ג:'|י|
a|l|m|a|s|z|a|d:e|h|	א|ל|מ|א|ס|ז|א|ד|ה|
p|a|t:t|a|y|a|	פ|א|ט|א|י|א|
m|l|a|d|i|c|	מ|ל|א|ד|י|ט:ש|
h:e|n|r|i|	ה|נ|ר|י|
z|a|n|a|	ז|א|נ|א|
n|i|k|o|l|a|e|v|	נ|י|ק|ו|ל|א|י:י|ב|
c|o|r|n|t:h|w:a|i|t:e|	ק|ו|ר|נ|ת|ו|י|ט|
k|a|w|a|i|	ק|א|ו|א|י|
d|a|m|a|n|a|k|i|s|	ד|א|מ|א|נ|א|ק|י|ס|
s|i|d|o|n|	ס|י|ד|ו|ן|
l|a|v|e:r|	ל|א|ב|ר|
l|o|g|i:e|	ל|ו|ג|י|
s:i|d:d|i|q|	ס|ד|י|ק|
k|r|a|m|n|i|k|	ק|ר|א|מ|נ|י|ק|
r:e|p|	ר|פ|
n:a|b|i|l|	נ|ב|י|ל|
m:e|n|i|c:h|e|l:l|i|	מ|נ|י|ק|י|ל|י|
m:a|g|d|i|	מ|ג|ד|י|
v|l|a|d|i|k|a|v|k|a|z|	ו|ל|א|ד|י|ק|א|ב|ק|א|ז|
m:a|s:h|h:a|d|	מ|ש|ה|ד|
l|e|o|	ל|י|א:ו|
m|a|m:m|e:r|i|	מ|ע|מ|ר|י|
m|a|t:h|i:j|s|e:n|	מ|א|ת|י|ס|ן|
g|i|b|s|o|n|	ג|י|ב|ס|ו|ן|
z|a|i|d|a:n|	ז|א|י|ד|ן|
j|u|n|a|y|d|	ג:'|ו|נ|י|י|ד|
h|o|p|k|i|n|s|	ה|ו|פ|ק|י|נ|ס|
l|u|d|w|i|g|	ל|ו|ד|ב|י|ג|
s|a|m:m|y|	ס|א|מ|י|
s|i|b|i|u|	ס|י|ב|י|ו|
n|u|m|i|d|i|a|	נ|ו|מ|י|ד|י|א|
c|o|r|t|i|s|o|l|	ק|ו|ר|ט|י|ז|ו|ל|
g|u|d|e|r|i|a|n|	ג|ו|ד|י|ר|י|א|ן|
v:e|d|r|a|n|	ו|ד|ר|א|ן|
f|r|e|d|	פ|ר|י|ד|
r|i|n|a|l|d|o|	ר|י|נ|א|ל|ד|ו|
z|i:e|g|e|	ז|י|ג|ה|
b|o:o|y|	ב|ו|י|
p|e|a:r|l|	פ|י|ר|ל|
i|b|n|	א:י|ב|ן|
k|a|n|t:h|e:r|	ק|א|נ|ת|ר|
s|o|k|o|l|o|w|	ס|ו|ק|ו|ל|ו|ב|
o|s|v|a|l|d|o|	א:ו|ס|ב|א|ל|ד|ו|
k|r|e|i|s|k|y|	ק|ר|י|י|ס|ק|י|
h|r|b|a|t|y|	ה|ר|ב|א|ט|י|
m|i|l|i|b|a|n|d|	מ|י|ל|י|ב|א|נ|ד|
w|o|z|n|i|a|c:k|i|	ב|ו|ז|נ|י|א|ק|י|
t|a|r|d|e|l:l|i|	ט|א|ר|ד|י|ל|י|
p|e|r|l|m|u|t:t|e:r|	פ|י|ר|ל|מ|ו|ט|ר|
k|a|t|i|p|	ק|א|ט|י|פ|
b|o:h|m|	ב|ו|ם|
m:a|s:h|a|l|	מ|ש|ע|ל|
o|l|d|f|i|e:l|d|	א:ו|ל|ד|פ|י|ל|ד|
m|o|r:r|o|	מ|ו|ר|ו|
l|a|g|o|s|	ל|א|ג|ו|ס|
n|i|m:a|r|	נ|י|מ|ר|
o:u|e:r|t|a|n|i|	ו|ר|ט|א|נ|י|
b:a|h|j|a:t|	ב|ה|ג:'|ט|
s:h|a|p|l:e|y|	ש|י:י|פ|ל|י|
s:a|b:b|a:t|a|i|	ש|ב|ת|א|י|
m|a|g|a|l|h|a|e|s|	מ|א|ג|א|ל|ה|א|י|ז|
m|a|c|a|u|	מ|א|ק|א|ו|
z:a|n|z|i|b|a|r|	ז|נ|ז|י|ב|א|ר|
y|o|k|o|h|a|m|a|	י|ו|ק|ו|ה|א|מ|א|
i|n|d|i|a|	א:י|נ|ד|י|א|
s|a|g|a|n|o|w|s|k|i|	ס|א|ג|א|נ|ו|ו|ס|ק|י|
t|o|t|o|	ט|ו|ט|ו|
c|o|s|t|a|n|z|a|	ק|ו|ס|ט|א|נ|ז|א|
a|o:u|n|	ע:א|ו|ן|
y|o|h|a|n|	י|ו|ה|א|ן|
n|o|t|o|	נ|ו|ט|ו|
a|d|i|v|a|s|i|	א|ד|י|ב|א|ס|י|
s:h|a:l|m:a|n:e|s|e:r|	ש|ל|מ|נ|ס|ר|
k|a|r|p|i:n|	ק|א|ר|פ|ן|
y|u|k|i|c|h:i|	י|ו|ק|י|צ:'|י|
d:e|l|v|e|c:c|h:i|o|	ד|ל|ב|י|ק|י|ו|
m|y|a|n|m|a|r|	מ|י|א|נ|מ|א|ר|
g|o|t|o|	ג|ו|ט|ו|
b|r|e|n|d:e|l:l|	ב|ר|י|נ|ד|ל|
h:a|n|a|n|u|	ה|נ|א|נ|ו|
m|o|r|a|n|	מ|ו|ר|א|ן|
m|i|h|a|i|l|	מ|י|ה|א|י|ל|
e|l|g:a|m:a|l|	א|ל|ג|מ|ל|
m|u|l|e|n|g|a|	מ|ו|ל|י|נ|ג|א|
m|u|z|i|n|i|c|	מ|ו|ז|י|נ|י|ט:ש|
n|i|k:k|i|	נ|י|ק|י|
h|a|w|t:h|o|r|n:e|	ה|א|ו|ת|ו|ר|ן|
m|a|l|d|o|n|a|d|o|	מ|א|ל|ד|ו|נ|א|ד|ו|
h:a|r|a|a:m|	ח|ר|א|ם|
p|u|e|r|t|a|	פ|ו|א|ר|ט|א|
z|e|l:l|	ז|י|ל|
r:h|e:e|	ר|י|
h|e|b|e|r|t|	ה|י|ב|י|ר|ט|
s|e|l|e|n|a|	ס|י|ל|י|נ|א|
g|l|o|t|o|v|	ג|ל|ו|ט|ו|ב|
