G|i|b|r|a|l|t|á|r:i|	G|i|b|r|a|l|t|a|r|
H|u|g|i|n|	H|u|g|i:n|n|
J|a|r|l|i|k|	J|a|r|l|i|g|
L|ó|k|a|p|á|l|a|	L|o|k|a|p|a|l|a|
V|e|s|z|p|r|é|m:i|	V|e|s|z|p|r|é|m|
K|a|g|e|r|ó|	K|a|g|e|r|ō|
K|u|r|u|n|t:a|s:z|	K|u|r|u|n|t|a|
D|e|m|e|n|c|i|a|	D|e|m|e|n|t|i|a|
S|á|t|á|n|	S|a|t|a|n|
N|e|m|e|s:s|á|n|y|	N|e|m|e|š|a|n|y|
S|e|d|a|n:i|	S|e|d|a|n|
p|r|e|f|e|k|t|ú|r|a|	P|r|e|f|e|c|t|u|r|e|
L|u|m|p|e|n|p|r|o|l|e|t|a|r|i|á:t|u:s|	L|u|m|p|e|n|p|r|o|l|e|t|a|r|i|a|t|
M|a|g|n|u|s|	M|a|g|n|ú|s|
H|e|x|a|m|i|d|i|n|	H|e|x|a|m|i|d|i|n:e|
B|e|r|e|ș|t|i|	B|e|r|e|ş|t|i|
L|e|o|n|b|e|r|g|i|	L|e|o|n|b|e|r|g|e:r|
K|a|r|b|e|n|i|c|i|l|l|i|n|	C|a|r|b|e|n|i|c|i|l|l|i|n|
B|e|g|í|n|	B|e|g|i|n|
a|m|i|n|o|p|i|r|i|d|i|n|	A|m|i|n|o|p|y|r|i|d|i|n:e|
M|a|n|z|i|k|e|r|t:i|	M|a|n|z|i|k|e|r|t|
B|a|l|a|t|o|n:i|	B|a|l|a|t|o|n|
D|a|u|l|a|	D|a|w|l|a|
B|u|d|d|h|a|g|ó|s:z|a|	B|u|d|d|h|a|g:h|o|s|a|
A|v|g|u|s|z:t|i|n|	A|v|g|u|s|t|y|n|
T|r|i|b|e|n|o|z|i|d|	T|r|i|b|e|n|o|s|i|d:e|
B|h|a|v|a|c|s:a|k|r|a|	B|h|a|v|a|c|a|k|r|a|
L|e|s|k|ó:i|	L|e|s|k|o|
l|i|l|i|o|m|	L|i|l|i|u|m|
S|r|á|m|a|n|e|r|í|	Ś|r|ā|m|a|ṇ|e|r|ī|
a|n|g|l|i|a:i|	A|n|g|l|i|a|
K:e|r|p|e|l|é|n|y|	K|r|p|e|ľ|a|n|y|
D|a|m|ó|n|	D|a|m|o|n|
H|a|r|l|e|c|h:i|	H|a|r|l|e|c|h|
P|e|r|o|t|i:n|u:s|	P|é|r|o|t|i|n|
"|T|h|e|	\:"|T|h|e|
A|l|o|ï|s|	A|l|o|y|s|
P|t|u|j:i|	P|t|u|j|
L|i|p|ó|m|a|	L|i|p|o|m|a|
p|o|i|k|i|l|é|	P|o|i|k|i|l|e|
P|e|l|á|g|i|u|s:z|	P|e|l|a|g|i|u|s|
M|a|n|d|a|l|a|j|	M|a|n|d|a|l|a|y|
G|r|e|n|a|d|i|n|e|	G|r|e|n|a|d|i|n|e:s|
n|o|v|e|m|b|e|r:i|	N|o|v|e|m|b|e|r|
d|i|n|i|t|r|á|t|	d|i|n|i|t|r|a|t:e|
T|o|l|n|a|f|t|á|t|	T|o|l|n|a|f|t|a|t:e|
o|b|s|t|r|u|k|t|í|v|	o|b|s|t|r|u|c|t|i|v:e|
v|e|r|t|e|b|r|a:l|i:s|	V|e|r|t|e|b|r|a|l|
T|â|r|g|u|ș|o|r|	T|â|r|g|u|ş|o|r|
D|o|r|t|m|u|n|d:i|	D|o|r|t|m|u|n|d|
A|m|p|h|i|t|r|ü|ó|n|	A|m|p|h|i|t|r|y|o|n|
F|o|r|m|u|l:a|–:E|	F|o|r|m|u|l|a|
C|a|l|i|d|r|i|s|	C|a|l|i|d|r|i|d|
F|a|l|k|l|a|n|d:i|	F|a|l|k|l|a|n|d|
Ú|j|v|á|g|i|	U|j|v|a|g|i|
B|a|r|a|n|y|a|i|	B|a|r|a|n|y|a:i|':s|
t|r|a|p|e|z|o|i:d|e:a|	T|r|a|p|e|z|o|i|d|
B|a|l|a|k|l|a|v|a:i|	B|a|l|a|c|l|a|v|a|
A|t|h|é|n|a|i|s:z|	A|t|h|e|n|a|i|s|
O|p|e|r|á|t|o|r|o:k|	O|p|e|r|a|t|o|r|s|
P|a|l|a|t|á:l|i:s|	P|a|l|a|t|a|l|
F|a|r|a|z|d|a|k|	F|a|r|a|z|d|a|q|
A|s|t|e|r|i|d|a:e|	A|s|t|e|r|i|d|s|
B|a|r|o|m|é|t|e|r|	B|a|r|o|m|e|t|e|r|
A|u|r|a|n|g|á|b|á|d|	A|u|r|a|n|g|a|b|a|d|
S|p|a|r|t|a|k|i|s|t:a|	S|p|a|r|t|a|c|i|s|t|
L|e|o|n|	L|é|o|n|
A|l|f|i|s:z|o|l|	A|l|f|i|s|o|l|
L|a|s|	L|á|s|
W|i|t|i|z|a|	W|i|t:t|i|z|a|
e|s|s|e|x:i|	E|s|s|e|x|
T|h|e|m|a|	T|h|e|m|e|
M|a|r|t|i|n|g|á|l|	M|a|r|t|i|n|g|a|l:e|
ó|c|e|á|n|	O|c|e|a|n|
A|n|t|i|b|i|ó|z|i|s|	A|n|t|i|b|i|o|s|i|s|
F|r|e|r|e|b|a|s|i|l|e|	F|r|è|r|e|b|a|s|i|l|e|
K|a|r|n|a|k:i|	K|a|r|n|a|k|
c|i|t|a|d|e:l|l:a|	C|i|t|a|d|e|l|
B|e|k|a|a|	B|e|q|a|a|
C|i|k|l|o|p|r|o|p|a|t|r|i|é|n|	C|y|c|l|o|p|r|o|p|a|t|r|i|e|n:e|
B|a|u|t|z|e|n:i|	B|a|u|t|z|e|n|
D|i|á|n|a|	D|i|a|n|a|
R|e|f|o|r|m|á|c|i|ó|	R|e|f|o|r|m|a|t|i|o:n|
L|í|c|e|u|m|	L|y|c|e|u|m|
M|a|c|o|n|	M|â|c|o|n|
K|a|d|r|i|o|r|g:i|	K|a|d|r|i|o|r|g|
G|u|l|d|e|n|b|u|r|g|o:k|	G|u|l|d|e|n|b|u|r|g|s|
G|u|y|a|n|a:i|	G|u|y|a|n|a|
K|r|u|s|e|v|o|	K|r|u|š|e|v|o|
P|ř|e|m|y|s|l|	P|ř|e|m|y|s:l|i:d|
K|a|p|a|n|e|u|s:z|	C|a|p|a|n|e|u|s|
H|e|r|m|i|p|p|o:s|z|	H|e|r|m|i|p|p|u|s|
H|e|k|a|t|o|m|b:é|	H|e|c|a|t|o|m|b|
F|á|r|i|d|	F|a|r|i|d|
G|e|n|o|m|	G|e|n|o|m:e|
T|ó|r|s|h|a|v|n:i|	T|ó|r|s|h|a|v|n|
P|a|p|a|d|í|m|o|s:z|	P|a|p|a|d|e|m|o|s|
M|e|t|a|l|i|s|z:t|	M|e|t|a|l|i|s|t|
T|á|h|i|r|i:d|á:k|	T|a|h|i|r|i|d|
A|z|n|a|v|u|r|j|a|n|	A|z|n|a|v|o:u|r|i|a|n|
v|á|m|p|í|r|	V|a|m|p|i|r:e|
P|á|r|i|z|s:–|S|t|r|a|s|b|o|u|r|g|	P|a|r|i|s|–|S|t|r|a|s|b|o|u|r|g|
C|a|s|s|i|n|ó|	C|a|s|s|i|n|o|
b|u|d|a:i|	B|u|d|a|
n|e|g|a|t|i|v|i|t|á:s|	n|e|g|a|t|i|v|i|t|y|
t|o|l|á|r|	t|o|l|a|r|
F|u|t|u|r|i|s|t:a|	F|u|t|u|r|i|s|t|
d|i|n|á|r|	d|i|n|a|r|
S|á|r|d|	S|a|r|d|
W|e|s|t|b|u|r|y:i|	W|e|s|t|b|u|r|y|
B|u|d|d|h|a|v|a|m|s:z|a|	B|u|d|d|h|a|v|a|m|s|a|
t|a|x|o|n|ó|m|i:a|	t|a|x|o|n|o|m|y|
L|i|e|t|a|e|r|	L|i|é|t|a|e|r|
A|r|i|a|d|n|é|	A|r|i|a|d|n|e|
P|a|l|i|s|	P|â|l|i|s|
G|u|a|	G|u|à|
O|g|o|u|é|	O|g|o|o:u|é|
J|y|v|ä|s|k|y|l|ä:n|	J|y|v|ä|s|k|y|l|ä|
P|r|e|k|u|r|z|o|r|	P|r|e|c|u|r|s|o|r|
S|i|g|m|a|r|i|n|g|e|n:i|	S|i|g|m|a|r|i|n|g|e|n|
H|é|b|é|	H|e|b|e|
G|o|d|l|e|w|s|k|i|	G|o|d|l|e|w|s|k:i|':s|
p|a|r|k:i|	P|a|r|k|
A|u|s:s|e|r|p|a|r|l|a|m|e|n|t|a|r|i|s|c|h|e|	A|u|ß|e|r|p|a|r|l|a|m|e|n|t|a|r|i|s|c|h|e|
R|á|b|é|	R|a|b|e|
M|i|k|r|o|c|e|l|l:a|	M|i|c|r|o|c|e|l|l|
C|o|p|p|e|r|f|i|e|l|d|	C|o|p|p|e|r|f|i|e|l:d|':s|
L|á|m|a|	L|a|m|a|
T|a|r|p|á|n|	T|a|r|p|a|n|
T|r|a|s|i|m|e|n|u:s|	T|r|a|s|i|m|e|n|e|
P|r|i|m|o|g|e|n|i|t|ú|r|a|	P|r|i|m|o|g|e|n|i|t|u|r|e|
C|a|r|a|c|a|s:i|	C|a|r|a|c|a|s|
l|e|s|o|t|h|ó:i|	L|e|s|o|t|h|o|
K|r|i|l|o|v|	K|r|y|l|o|v|
T|o|p|ó|l|	T|o|p|o|l|
F|e|r|d|i|n|á|n:d|o:t|	F|e|r|d|i|n|a|n|d|
A|l|k|é|n|e:k|	A|l|k|e|n|e|
P|e|t|r|o|n|i|l|a|	P|e|t|r|o|n|i|l:l|a|
m|i|k|r|o|b|i|o|l|ó|g|u|s|	m|i|c|r|o|b|i|o|l|o|g|i|s:t|
t|e|n|z|o|r|	t|e|n|s|o|r|
O|m|á|n|i|	O|m|a|n|i|
h|a|l|l|u|c|i|n|ó|z|i|s|	h|a|l|l|u|c|i|n|o|s|i|s|
D|u|b|r|a|v|a|	D|ú|b|r|a|v|a|
B|a|l|k|á|n|	B|a|l|k|a|n|
H|e|k|e|t|	H|e|q|e|t|
K|á|l|i|	K|a|l|i|
h|u|r|r|i|k|á|n|	H|u|r|r|i|c|a|n:e|
H|u|m|á|n|	H|u|m|a|n|
N|o|f|e|r|k|a|s:z|o|k|a|r|	N|e|f|e|r|k|a|s|o|k|a|r|
A|l|u|n|i|t|	A|l|u|n|i|t:e|
K|o|v|a|č|e|v|i|č|	K|o|v|a|č|e|v|i|ć|
D|i|o|x|á|n|	D|i|o|x|a|n:e|
A|n|d|r|a|d|i|t|	A|n|d|r|a|d|i|t:e|
m|a|n|s|f|i|e|l|d:i|	M|a|n|s|f|i|e|l|d|
E|r|t|o|g|r|ü|l|	E|r|t|u|ğ|r|u|l|
V|i|k|t|a|r|	V|i|k|t|o|r|
C|y|n|o|d|o|n:t|i:a|	C|y|n|o|d|o|n|t|
X|a|n|t|h|i|p|p|o:s|z|	X|a|n|t|h|i|p|p|u|s|
P|e|ș|t|e|r|a|	P|e|ş|t|e|r|a|
G|u|a|d|e|l|o|u|p|e|	G|u|a|d|e|l|o|u|p:e|a:n|
J|á|r|a|y|	J|a|r|a|y|
B|u|l|d|o|g|	B|u|l:l|d|o|g|
V|o|l|o|v|ă|ț|	V|o|l|o|v|ă|ţ|
M|i|d|d|ó|t|	M|i|d|d|o|t|
A|l|l|i|l|ö|s|z:t|r|e|n|o|l|	A|l|l|y|l|e|s|t|r|e|n|o|l|
O|k|o|n|o|m|i|j|a|k|i|	O|k|o|n|o|m|i|y|a|k|i|
M|i|l|a|n|k|o|v|i|ć|	M|i|l|a|n|k|o|v|i:t|c:h|
T|ó|r|s|h|a|v|n|	T|ó|r|s|h:a|v:n|a|r|
T|r|a|m|a|z|o|l|i|n|	T|r|a|m|a|z|o|l|i|n:e|
D|e|t|e|r|m|i|n|á|n|s|	D|e|t|e|r|m|i|n|a|n|t|
T|a|n|z|á|n|i|a:i|	T|a|n|z|a|n|i|a|
B|r|a|s:s|o|v|i|a|	B|r|a|ș|o|v|i|a|
N|u|g|á|t|	N|o:u|g|a|t|
G|a|r|r|i|	G|a|r|r|y|
P|a|n|n|ó|n|i|a|	P|a|n|n|o|n|i|a|
I|n|t|e|r|n|a|c|i|o|n|a|l|i|z:m|u:s|	I|n|t|e|r|n|a|t|i|o|n|a|l|i|s|m|
N|o|g|a|i|d|e|l|i|	N|o|g:h|a|i|d|e|l|i|
I|n|v|e|s|z:t|i|t|ú|r|a|	I|n|v|e|s|t|i|t|u|r|e|
A|n|a|e|r|o|b|	A|n|a|e|r|o:b|i:c|
S|r|a|m|a|n|a|	Ś|r|a|m|a|ṇ|a|
C|u|x|h|a|v|e|n:i|	C|u|x|h|a|v|e|n|
H|o|c|h|s|t|e|t|t|e|r|	H|o|c|h|s|t|e|t|t|e:r|':s|
D|e|g|e|n|e|r|á:l|t|	D|e|g|e|n|e|r|a|t:e|
M|e|r|s|e|b|u|r|g:i|	M|e|r|s|e|b|u|r|g|
A|n|t|i|s|z:t|h|e|n|é|s:z|	A|n|t|i|s|t|h|e|n|e|s|
A|l|g|é|r|i|a|	A|l|g|e|r|i|a:n|
n|a|m|u|r:i|	N|a|m|u|r|
I|v|a|n|o|v|i|c|s|	I|v|a|n|o|v|y|c|h|
Q|u|ố|c|	Q|u|o|c|
p|o|r|t|á|l|	p|o|r|t|a|l|
P|h|i|l|i|p|p|	P|h|i|l|i|p|p:e|
A|n|t|a|r|k|t|i|k|a|	A|n|t|a|r|c|t|i|c|a|
b|r|a|n|d|e|n|b|u|r|g:i|	B|r|a|n|d|e|n|b|u|r|g|
F|u|m|a|r|o|l|a|	F|u|m|a|r|o|l|e|
B|r|a|s|i|l|i|a|	B|r|a|s|í|l|i|a|
V|a|l|e|n|t|i|n|i|a:n|u:s|	V|a|l|e|n|t|i|n|i|a|n|
A|r|c|h|i|t|r|á|v|	A|r|c|h|i|t|r|a|v:e|
M|o|b|i|l|	M|o|b|i|l:e|
Q|u|b|a:i|	Q|u|b|a|
A|m|i|g|d|a|l|a|	A|m|y|g|d|a|l|a|
R|o|s|e|r|s|b|e|r|g:i|	R|o|s|e|r|s|b|e|r|g|
m|a|l|a|n|k|á|r|	M|a|l|a|n|k|a|r:a|
c|e|l|l|u|l|ó|z|	c|e|l|l|u|l|o|s:e|
A|r|i|a|r|a|t|h|é|s:z|	A|r|i|a|r|a|t|h|e|s|
B|e|r|m|u|d|a|i|	B|e|r|m|u|d|i|a:n|
A|k|r|o|p|o|l|i|s:z|	A|c|r|o|p|o|l|i|s|
A|j|v|á|r|	A|j|v|a|r|
B|o|g|a|r|a|s|	B|o|g|a|r|a|š|
L|ő|w|	L|ö|w|
S|z|o|l|n|o|k:i|	S|z|o|l|n|o|k|
P|e|n|n|i|n|i|	P|e|n|n|i|n|e|
H|e|u|g|l|i|n|	H|e|u|g|l|i:n|':s|
A|b|a|b|d|á:k|	A|b|a|b|d|a|
a|l|a|m|e|i|n:i|	A|l|a|m|e|i|n|
G|h|á|z|n|i|	G|h|a|z|n|i|
L|á|v|a|	L|a|v|a|
H|a|k|u|h|ó|	H|a|k|u|h|ō|
V|i|l|m|a|	V|e|l|m|a|
L|u|x|o|r:i|	L|u|x|o|r|
F|r|e|d|e|r|i|c|k|s|b|u|r|g:i|	F|r|e|d|e|r|i|c|k|s|b|u|r|g|
C|ó|r|d|o|b|a:i|	C|ó|r|d|o|b|a|
A|f|r|u|d|á|k|i|s:z|	A|f|r|o:u|d|a|k|i|s|
M|i|a|z|m|a|	M|i|a|s|m|a|
S|c|h|e|l|d|e|	S|c|h|e|l|d|t|
N|i|f|u|r|o|x|a|z|i|d|	N|i|f|u|r|o|x|a|z|i|d:e|
y|o|r|k:i|	Y|o|r|k|
N|o|v|o|u|z|e|n|s|z:k|i|	N|o|v|o|u|z|e|n|s|k|y|
A|p|a|l|i|u|n|a|s:z|	A|p|a|l|i|u|n|a|s|
M|a|r|g|a|r|j|a|n|	M|a|r|g|a|r|y|a|n|
t|ü|r|k|m|e|n|i|s|z:t|á|n|i|	T|u|r|k|m|e|n|i|s|t|a|n|i|
D|u|r|r|e|l|l|	d|u|r|r|e|l|l:i|
R|i|c|h|e|r|	R|i|c|h|a|r|
D|e|f|i|	D|é|f|i|
T|ă|u|ţ|i|	T|ă|u|ț|i|
A|n|d|r|e|j|e|v|	A|n|d|r|e|y|e|v|
P|i|l|o|k|a|r|p|i|n|	P|i|l|o|c|a|r|p|i|n:e|
H|a|t|t|í|n:i|	H|a|t|t|i|n|
R|a|d|o|m|é|r|	R|a|d|o|m|i|r|
C|e|f|t|i|b|u|t|é|n|	C|e|f|t|i|b|u|t|e|n|
E|l|e|m|é|r|	E|l|e|m|i|r|
A|l|k|m|é|n|é|	A|l|c|m|e|n|e|
D|o|r|n|a|c|h:i|	D|o|r|n|a|c|h|
V|o|l|o|n|t|é|	V|o|l|o|n|t|è|
t|e|t|r|a|k|o|z|a|n|o|l|	T|e|t|r|a|c|o|s|a|n|o|l|
m|e|i|s|s|e|n:i|	M|e|i|s|s|e|n|
B:é|r|e|g|	B|r|e|g|
K|a|p|s:z|a|i|c|i|n|	C|a|p|s|a|i|c|i|n|
a|t|t|r|i|b|ú|c|i|ó|s|	a|t|t|r|i|b|u|t|i|o|n|
g|e|n|o|m|	g|e|n|o|m:e|
T|u|g|u|r|	T|u|g|u|r:o|
Á|d|á|m|	A|d|a|m|
M|i|r|z|ə|	M|i|r|z|a|
S|a|n|d|a|l|	Š|a|n|d|a|l|
D|e|r|b|i|	D|e|r|b|y|
H|e|i|l|s|b|e|r|g:i|	H|e|i|l|s|b|e|r|g|
F|i|s|s|u|r|a|	f|i|s|s|u|r|e|
P|o|l|a|č|a|	P|o|l|a|c|a|
T|e|t|r|a|f|ó|b|i|a|	T|e|t|r|a|p:h|o|b|i|a|
H|e|r|m|u|n|d|u|r|o:k|	H|e|r|m|u|n|d|u|r|i|
F|e|r|e|n|g|i:k|	F|e|r|e|n|g|i|
O|k|t|á|v|i|a|	O|c|t|a|v|i|a|
P|ó|	P|o|
L|a|m|e|t|z:i|	L|a|m|e|t|z|
M|a|l|a|b|á|r:i|	M|a|l|a|b|a|r|
F|i|t|j|a|r:i|	F|i|t|j|a|r|
p|o|t|e|n|c|i|á|l|	p|o|t|e|n|t|i|a|l|
H|a|d|r|o|s|a|u|r|i:d|a:e|	H|a|d|r|o|s|a|u|r|i|d|
P|r|e|s|b|i|t|e|r|	P|r|e|s|b|y|t|e|r|
G|l|o|t|t|á:l|i:s|	G|l|o|t|t|a|l|
E|u|g|é|n|	E|u|g|e|n:e|
K|ö|r|b|e|r|	K|o:e|r|b|e|r|
L|e|s|t|	L|e|š|ť|
P|ü|g|m|a|l|i|ó|n|	P|y|g|m|a|l|i|o|n|
M|a|g|n|e|z|i|t|	M|a|g|n|e|s|i|t:e|
V|i|k|t|o|r|o|v|i|c|s|	V|i|k|t|o|r|o|v|i|c|h|
B|a|r|e|s|a|n|i|	B|a|r|e|š|a|n|i|
N|i|t|r|o|g|é|n|	N|i|t|r|o|g|e|n|
L|e|c|h|o|n|	L|e|c|h|ó|n|
V|a|g|i|n|á:l|i:s|	V|a|g|i|n|a|l|
K|á|t|e|b|	K|a|t|e|b|
É|a|n|n|a|t|u|m|	E|a|n|n|a|t|u|m|
L|e|v|e|t|i|r|a|c|e|t|á|m|	L|e|v|e|t|i|r|a|c|e|t|a|m|
K|o|l|o|n|d|i|é|b|a|	K|o|l|o|n|d|i|e|b|a|
D|o|m|i|n|i|k|a|i|	D|o|m|i|n|i|c|a|n|
P|r|i|e|s|t|…|L|i|v|e|!|	P|r|i|e|s|t|.:.|.:L|i|v|e|!|
Ł|ó|d|ź:i|	Ł|ó|d|ź|
l|u|h|a|n|s:z|k:i|	L|u|h|a|n|s|k|
X|a|v|é|r|	X|a|v|e|r|
C|e|l|l|u|l|ó|z|	C|e|l|l|u|l|o|s:e|
T|u|v|a|l|u:i|	T|u|v|a|l|u|
R|é|s|i|s|t|a|n|c|e|	R|e|s|i|s|t|a|n|c|e|
b|ü|l|b|ü|l|	b|u|l|b|u|l|
T|u|n|e:i|	T|u|n|e|
K|e|l|l|s:i|	K|e|l|l|s|
M|o|t|i|l|i|t|á:s|	M|o|t|i|l|i|t|y|
A|k|r|o|l|e|i|n|	A|c|r|o|l|e|i|n|
P|r|i|v|a|t|é|r|	P|r|i|v|a|t:e|e|r|
Z|á|g|o|r|	Z|a|g|ă|r|
N|á|m|d|á|r|	N|a|m|d|a|r|
M|a|g|a|d|a|n:i|	M|a|g|a|d|a|n|
F|e|l|i|x|	F|é|l|i|x|
A|b|a|r|i|s:z|	A|b|a|r|i|s|
T|a|n|z|á|n|i|a|i|	T|a|n|z|a|n|i|a|n|
P|l|á|z|a|	P|l|a|z|a|
K|a|l|u|g|a:i|	K|a|l|u|g|a|
p|e|n|t:a|o|x|i|d|	p|e|n|t|o|x|i|d:e|
h|é|n|g|á|l|	h|e|n|g|a|l|
A|k|i|n|f|e:j|e|v|	A|k|i|n|f|e|e|v|
G|a|l|a|t|a|s:z|	G|a|l|a|t|a|s|
Í|v|i|	I|v|i|
H|a|r|t|l|a|u|b|	H|a|r|t|l|a|u:b|':s|
C|a|l|e|p|i|n|u:s|	C|a|l|e|p|i|n|o|
E|l|e|o|n|ó|r:a|	E|l|e|o|n|o|r|
E|n|d|ó|	E|n|d|o:h|
S|p|r|e|e|w|a|l|d:i|	S|p|r|e|e|w|a|l|d|
P|r|ó|t|a|g|o|r|a|s:z|	P|r|o|t|a|g|o|r|a|s|
O|k|t|á|r|	O|c|t|a|r|
T|y|r|a|n|n|u|l|u:s|	t|y|r|a|n|n|u|l:e|t|
m|á|l|y:v|a|	M|a|l|v|a|
P|e|t|r|o|s|q|u|a|m|ó|z:u|s|	P|e|t|r|o|s|q|u|a|m|o|u|s|
A|n|a|x|i|m|e|n|é|s:z|	A|n|a|x|i|m|e|n|e|s|
T|r|o|p|i|n:y|i|n|	T|r|o|p|i|n|i|n|
Z|n|o|j|m|ó:i|	Z|n|o|j|m|o|
W|a|s|h|b|u|r|n|	W|a|s|h|b|u|r:n|':s|
E|r|a|t|ó|	E|r|a|t|o|
L|i|n|e|m|e|n|	L|i|n|e|m|a|n|
P|r|a|z|e|o|d|í|m|i|u|m|	P|r|a|s|e|o|d|y|m|i|u|m|
A|m|a|r|n|a:i|	A|m|a|r|n|a|
A|p|h|r|o|d|i|t|é|	A|p|h|r|o|d|i|t|e|
V|a|n|c|s|ó|	V|a|n|c|s|o|
R|á|m|a|k|r|i|s|n|a|n|	R|a|m|a|k|r|i|s:h|n|a|n|
N|á|b|i|g|a|	N|a|b|i|g:h|a|
k|a|p|p|e|l:i|	K|a|p|p|e|l|
V|e|n|e|t|í|d|i|s:z|	V|e|n|e|t|i|d|i|s|
T|i|s|z|a|e|s|z|l|á|r:i|	T|i|s|z|a|e|s|z|l|á|r|
G|u|s|t|a|v|	G|u|s|t|á|v|
P|e|t|r|i|k|	P|e|t|r|y|k|
H|i|e|r|o|f|a|l|c|o|	H|i|e|r|o|f|a|l|c|o:n|
g|a|l|l|i|t|ó|	g|a|l|l|i|t|o|
C|a|n|d|e|	C|a|n|d|é|
B|o|b|ó|t|	B|o|b|o|t|
D|á|r|d|a|	D|a|r|d|a|
P|a|p|a|v|e|r|i|n|	P|a|p|a|v|e|r|i|n:e|
T|i|e|l|ö|	T|i|e|l|e|
K|r|i|s|t|ó|f|	K|r|i|s|t|o|f|
T|h|é|r|a|v|á|d|a|	T|h|e|r|a|v|a|d|a|
M|u|k|d|e|n:i|	M|u|k|d|e|n|
T|r|a|k|t|o|r|	T|r|a|c|t|o|r|
V|a|l|a|n|g|i|n|i|	V|a|l|a|n|g|i|n:i|a:n|
I|z|a|b|e|l|l|a|	I|s|a|b|e|l|l|a|
C|o|c|h|l|e|á:r|i:s|	C|o|c|h|l|e|a|r|
e|t|h|m|o|i|d|a|l:e|	e|t|h|m|o|i|d|a|l|
H|i|p|p|o|d|a|m|e:i|a|	H|i|p|p|o|d|a|m|i|a|
N|é|m|e|t|h|	N|e|m|e|t|h|
M|e|d|i|t|e|r|r|á|n|	M|e|d|i|t|e:r|r:a|n:e|a|n|
M|i|l|i|c|e|v|i|c|	M|i|l|i|č|e|v|i|ć|
H|ú|d|	H|u|d|
P|o|t|s|d|a|m:i|	P|o|t|s|d|a|m|
t|i|l|á|p|i|a|	t|i|l|a|p|i|a|
T|a|u|t|o|l|ó|g|i:a|	T|a|u|t|o|l|o|g|y|
V|i|r|t|u|á:l|i:s|	V|i|r|t|u|a|l|
U|r|á|n|u|s:z|	U|r|a|n|u|s|
X|e|n|á|k|i|s:z|	X|e|n|a|k|i|s|
A|k|r|o|t|í|r|i|	A|k|r|o|t|i|r|i|
M|i|t|ó|z|i|s|	M|i|t|o|s|i|s|
S|z|c|z|e|c|i|n:i|	S|z|c|z|e|c|i|n|
K|o|l|l|o|i|d|	C|o|l|l|o|i|d|
S|í|n|a|i|	S|i|n|a|i|
d|i|ó|d|a|	d|i|o|d|e|
M|a|r|i|n|u|s:z|	M|a|r|i|n|u|s|
b|u|t|t|o|b|a|s:z|e|	B|u|t|t|o|b|a|s|e|
K|a|t|a|l|ó|n|i|a|	C|a|t|a|l|o|n|i|a|
A|n|d|o|k|i|d|é|s:z|	A|n|d|o|k|i|d|e|s|
V|a|r|d|a|r:i|	V|a|r|d|a|r|
C|i|t|i|o|l|o|n|	C|i|t|i|o|l|o|n:e|
M|o|x|o|n|i|d|i|n|	M|o|x|o|n|i|d|i|n:e|
M|a|h|á|v|a|m|s:z|a|	M|a|h|a|v|a|m|s|a|
I|z|o|s|p|i|n|	I|s|o|s|p|i|n|
E|t|o|z|o|l|i|n|	E|t|o|z|o|l|i|n:e|
W|i|l:l|i|m|o|w|s|k|i|	W|i|l|i|m|o|w|s|k|i|
B|r|o|m|á|n|c|	B|r|o|m|a|n|c:e|
W|i|s|h|o|l|o|g|y:!|	W|i|s|h|o|l|o|g|y|
C|l|a|u|z|e|l|	C|l|a|u|s|e|l|
t|e|t|r|o|x|i|d|	t|e|t|r|o|x|i|d:e|
R|e|i|c|h|e|n|b|a|c|h|	R|e|i|c|h|e|n|b|a|c:h|':s|
K|a|r|á|t|	C|a|r|a|t|
K|a|r|o|l|i|n|a|	K|a|r|o|l|í|n|a|
T|i|m|u|r|i:d|á:k|	T|i|m|u|r|i|d|
J|o|o|m|l|a:!|	J|o|o|m|l|a|
L|é|t|ó|	L|e|t|o|
C|e|t|i|l|	C|e|t|y|l|
H|a|j|d|u|	H|a|j|d|ú|
E|r|t|e|g|ü|n|	E|r|t|e|g|u|n|
Z|e|p|p|o|l|a|	Z|e|p|p|o|l|e|
V|a|l|p|u|e|s|t|a:i|	V|a|l|p|u|e|s|t|a|
L|e|k|v|á|r|	L|e|k|v|a|r|
F|u|l|g|u|r|i|t|	F|u|l|g|u|r|i|t:e|
Y|a|r|e|l|i|s|	Y|a|r|e|l|y|s|
V|e|r|ó|n|i|c|a|	V|e|r|o|n|i|c|a|
A|l|l|o|t|r|ó|p|i:a|	A|l|l|o|t|r|o|p|y|
V|i|m|a|l|a|k|í|r|t|i|	V|i|m|a|l|a|k|i|r|t|i|
k|o|l|u|m|b|i|a:i|	C|o|l|u|m|b|i|a|
L|é|d|a|	L|e|d|a|
V|e|l|e|n|c|e:i|	V|e|l|e|n|c|e|
T|u|b|e|r|o|s|i|t|a:s|	t|u|b|e|r|o|s|i|t|y|
r|e|a|k|t|o|r|	r|e|a|c|t|o|r|
L|a|g|a|n:y|	L|a|g|a|n|
L|e|s|o|t|h|ó:i|	L|e|s|o|t|h|o|
K|i|r|c|h|o|l|m:i|	K|i|r|c|h|o|l|m|
I|n|v|e|r|z|i|ó|	I|n|v|e|r|s|i|o:n|
K|o|n|v|e|r|t|i|p|l|á|n|	C|o|n|v|e|r|t|i|p|l|a|n:e|
M|a|r|s:!|	M|a|r|s|
