द|	t:h:e|
प:ौ|ल|ि|न|ा|	P:a:u|l|i|n|a|
प|ा|व|स|क|र|	P|a|w:a|s|k|a:r|
प|े|ड:्:र|ो|	P|e|d:r|o|
प:ी:अ|र|्:स|	p:e|e:r|s|
प|े|ग|ा|स|स|	P|e|g|a|s|u:s|
प|े|ं|ड|स|े|	P|e|n|d|s|e|
प|े|ं|श|न|र|	p|e|n|s:i:o|n|e:r|
प|े|र|ि|य|र|	P|e|r|i|y:a|r|
प|े|त:्:र|ा|	P|e|t:r|a|
फ|़|ि|ज:़|र|	P|f|i|z|e:r|
फ|ल|ण|ी|क|र|	P:h|a:l|n|i|k|a:r|
फ|़|ज:़|ो|म|	P:h|a|z|o|m|
फ:ि|र|ो|ज़|ा|	P:h:i|r|o|z|a|
प|ि|य|र:्|स|	P|i|e|r|c:e|
प|ि|ल|ा|न|ी|	P|i|l|a|n|i|
प|ि|ं|प|ल|े|	p|i|m|p|l|e|
प|ि|न|ा|क|ी|	P|i|n|a|k|i|
प|ि|ं|ग|ल|े|	P|i|n|g|a:l|e|
प|ि|ं|ज|र|ा|	P|i|n|j|r|a|
प|ि|य|ा|ल|ी|	P|i|y|a|l|i|
प|ॉ|क|ॉ|न|ो|	P|o|c|o|n|o|
प|ो|ल|र|ी|स|	P|o|l|a:r|i|s|
प:ॉ|म|र|्:न|	P:o:m|m|e:r|n|
प|ॉ|स|्:क:ो|	P|o|s|c:o|
प|ो|स|्:क:ो|	P|o|s|c:o|
प|ो|त|द|ा|र|	P|o|t|d|a|r|
प:ू|श|ा|ल|ी|	P:o:u|s:h|a|l|i|
प:्:र|भ|ा|स|	P:r|a:b:h|a|s|
प:्:र|ब|ी|र|	P:r|a:b|i|r|
प:्:र|द|ो|श|	P:r|a:d|o|s:h|
प:्:र|ग|त|ि|	P:r|a:g|a:t|i|
प:्:र|ग|ु|न|	P:r|a:g|u|n|
प:्:र|ज|ी|त|	P:r|a:j|e:e|t|
प:्:र|ज|ि|न|	P:r|a:j|i|n|
प:्:र|ज|ि|त|	P:r|a:j|i|t|
प:्:र|क|ा|श|	P:r|a:k|a|s:h|
प:्:र|म|द|ा|	P:r|a:m|a:d|a|
प:्:र|म|ि|त|	P:r|a:m|i|t|
प:्:र|म|ो|द|	P:r|a:m|o|d|
प:्:र|ण|त|ि|	P:r|a:n|a:t|i|
प:्:र|ा|श|म|	P:r|a|s:h|a:m|
प:्:र|स|ू|न|	P:r|a:s|o:o|n|
प:्:र|त|ी|क|	P:r|a:t|i|k|
प:्:र|त|ो|श|	P:r|a:t|o|s:h|
प:्:र|व|ी:ण|	P:r|a:v|e:e:n|
प:्:र|व|े|श|	P:r|a:v|e|s:h|
प:्:र|व|र|ा|	P:r|a:w|a:r|a|
प:्:र|य|ा|ग|	P:r|a:y|a|g|
प:्:र|ी|त|ि|	P:r|e:e|t|i|
प:्:र|े|म|ा|	P:r|e|m|a|
प:्:र|ि|म|ो|	P:r|i|m|o|
प:्:र|ि|य|म|	P:r|i|y:a|m|
प:्:र|य|ॉ|र|	P:r|y|o|r|
प|ू|ज|ि|त|ा|	p|u|j|i|t|a|
प|ु|ल|क|ि|त|	P|u|l|a:k|i|t|
प|ू|न|ि:य:ा|	P|u|n|i:a|
प:ं|ज|ा|ब|ी|	P:u:n|j|a|b|i|
प|ु|र|ं:द|र|	P|u|r|a:n:d|a:r|
प|ु|र|ं:ज|य|	p|u|r|a:n:j|a:y|
प|ू|र|्:ब|ा|	P|u|r|b|a|
प|्:य:ु|र|स|	P|u|r|u:s|
प|ु|ष|्:क|ल|	P|u|s:h|k|a:l|
प|ु|ष|्:क|र|	P|u|s:h|k|a:r|
क:्:व|ी|न|ी|	Q:u|e:e|n|i:e|
क:्:व|े|न|ा|	q:u|e|n|a|
क:्:व|ि|ल|ा|	Q:u|i|l:l|a|
र|ा|ध|ि|क|ा|	R:a|a|d:h|i|k|a:a|
र|ा|ग|ि|न|ी|	R:a|a|g|i|n|i|
र|ा|ज|म|ण|ि|	R:a|a|j|a:m|a:n|i|
र|ा|म|च|र|ण|	R:a|a|m:a|c:h|a:r|a:n|
र|ा|म|द|ा|स|	R|a|a:m|a:d|a:a|s|
र|ा|म|ल|ा|ल|	R|a|a:m|a:l|a|a:l|
र|ा|म|स|ख|ा|	R|a|a:m|a:s:a|k:h|a:a|
र|ै|ड|ि|क|ो|	R|a|d|i|c|o|
र|ै|फ|े|ल|ो|	R|a|f|f:a:e|l:l|o|
र|घ:ु|ब|ी|र|	R:a|g:h:u|b|i|r|
र|घ:ु|न|ा|थ|	R:a|g:h:u|n|a:a|t:h|
र|घ:ु|प|त|ि|	R:a|g:h:u|p|a:t|i|
र|घ:ु|र|ा|ई|	R:a|g:h:u|r|a:a|e:e|
र|घ:ु|व|ं|श|	R:a|g:h:u|v|a:n|s:h|
र|ा|ह|ग|ी|र|	R|a|h|g|e:e|r|
र|ा|य|च|ू|र|	R|a|i|c:h|u|r|
र|ा|य|ग|ढ:़|	R|a|i|g|a:r:h|
र|ा|य|प|ु|र|	R|a|i|p|u|r|
र|ा|य|स|े|न|	R|a|i|s|e|n|
र|ा|ज|ग|ढ:़|	R|a|j|g|a:r:h|
र|ा|ज|ह|ं|स|	R|a|j|h|a:n|s|
र|ज|ि|य|ा|ह|	R:a|j|i|y|a|h|
र|ा|ज|क|ो|ट|	R|a|j|k|o|t|
र|ा|ज|म|ह|ल|	R|a|j|m:a|h|a:l|
र|ा|ज|प|ा|ल|	R|a|j|p|a|l|
र|ख|व|ा|ल|ा|	R:a|k:h|w|a|l|a|
र|म|ा|ध|ि|प|	R|a:m|a|d:h|i|p|
र|ा|म|ा:य|ण|	R|a|m:a|y|a:n:a|
र|ा|म|ब|ा|ण|	R|a|m|b|a|a:n|
र|ा|म|द|ू|त|	R|a|m|d|o:o|t|
र|ा|म|न|ा|थ|	R|a|m|n|a|t:h|
र|ा|न|ा|ड|े|	R|a|n|a|d|e|
र|ं:ध|ा|व|ा|	R:a|n:d:h|a|w|a|
र|ं|ग|न|ा|थ|	R|a:n|g|a:n|a|t:h|
र|ै|ं|क|्:स|	r|a|n|k|s|
र|ा|प:्:त|ी|	R|a|p:t|i|
र|े|स|ि:य:ा|	R|a|s|i:a|
र|त|्:न|े|श|	R|a:t|n|e|s:h|
र|त|ो|व|ा|ल|	R|a:t|o|w|a|l|
र|े|थ|ि|ऑ|न|	R:a|y|t:h|e|o|n|
र|े|ब|ा|ब|ा|	r|e|b|a|b|a|
र|े|न|ा|ट|ा|	R|e|n|a|t|a|
र|ि|व|े|ं:स|	R|e|v|a|n:c:e|
र|ॉ:ड|ि:य|म|	r|h:o:d|i|u:m|
र|ि|च|म|ं:ड|	R|i|c:h|m|o:n:d|
र|ि|द|्:ध|ि|	R|i|d|h:d:h|i|
र|ि|य|ा|स|त|	R|i|y|a|s|a:t|
र|ो|ड|ि:य:ो|	R|o|d|e:o|
र|ो|ल|ै|ं|ड|	R|o|l|a|n|d|
र|ो|ल|्:ट|ा|	R|o|l|t|a|
र|ो|म|ि:य:ो|	R|o|m|e:o|
र|ो|न|ा|ड:र|	R|o|n|a|d:o:r|
र|ो|न|े:ल|ी|	R|o|n|a:l:e|e|
र|ो|न|ि:य:ा|	R|o|n|i:a|
र|ो|ज|़:ी|न|	R|o|s|e:a:n|n:e|
र|ो|व|े|न|ा|	R|o|w|e|n|a|
र:ॉ:क|्:स:ी|	R:o|x:y|
र|ु|ब|ि|क|न|	R|u|b|i|c|o:n|
र|ु|च|ि|र|ा|	R|u|c:h|i|r|a|
र|ु|ह|ा|न|ी|	R|u|h|a|n|i|
र|ु|ख|़|स|त|	R|u|k|h|s|a:t|
र|ु|क:्|म|ा|	R|u|k|m|a|
र|ु|प|ा|ण|ा|	R|u|p|a|n|a|
र|ू|प|र|्:ट|	R|u|p|e:r|t|
र|ु|प|न|ग|र|	R|u|p|n:a|g|a:r|
स|ा|इ|र|ा|ह|	S|a:'|i|r|a|h|
स|ा|क:्|ष|ी|	S:a|a|k|s:h|i|
स|ा|र|ा|ं|श|	S:a|a|r|a|n|s:h|
स|ा|व|र|क|र|	S:a|a|v|a:r|k|a:r|
स|च|्:च|ि|त|	S:a|c|h:c:h|i|t|
स|ा|ध|्:व:ी|	S|a|d:h|v:i|
स|द|ी|क|ा|ह|	S:a|d|i|q|a|h|
स|फ|ी|न|ा|ह|	S:a|f|e:e|n|a|h|
स|फ|ू|र|ा|ह|	S:a|f|o:o|r|a|h|
स|फ:्|व|ा|ह|	s:a|f|w|a|h|
स|ग|ी|र|ा|ह|	s|a:g:h|e:e|r|a|h|
स|ह|ल|प|ु|र|	S:a|h|a:l|p|u|r|
स|ह|ि|ब|ा|ह|	S:a|h|i|b|a|h|
स|े:ल|ि|ं|ग|	s|a:i:l|i|n|g|
स|ा|ई|न|ा|थ|	S|a|i|n|a|t:h|
स|ल|ा|द|ि|न|	S:a|l|a|d|i|n|
स|ल|ी|म|ा|ह|	S:a|l|e:e|m|a|h|
स|ल|ी|ह|ा|ह|	S:a|l|i|h|a|h|
स|ल|ी|क|ा|ह|	S:a|l|i|k|a|h|
स|ा|ल|ु|इ|न|	S|a|l|u|i|n|
स|ल:्:व|ा|न|	S:a|l:w|a|a:n|
स|म|र|्:प|ण|	S:a|m|a:r|p|a:n|
स|म|स|्:य:ा|	S:a|m:a|s|y:a|
स|ा|म|्:ब|ा|	S|a|m|b|a|
स:ं|ब|द|्:ध|	S:a:m|b:h|d|d:h:a|
स|म|्:र|ा|ट|	S:a|m|r|a:a|t|
स|ै|म|स|ं:ग|	S|a|m|s|u:n:g|
स|ा|न|न:्|द|	S|a|n:a|n|d:a|
स|ं|च|ा|ल|ी|	S:a|n|c:h|a|l|i|
स|ं|च|ि|त|ा|	S:a|n|c:h|i|t|a|
स|ं:द|े|श|ा|	S|a:n:d|e|s:h|a|
स|न|्:ड|ि|आ|	S:a|n|d|i|a|
स|ं:द|ू|र|ी|	S|a:n:d|u|r|i|
स|ं:घ|े|र|ा|	S:a|n:g:h|e|r|a|
स|ा|ं|ग|ल|ी|	S|a|n|g|l|i|
स|ं|ग:्:र|ह|	S:a|n|g:r|a:h|
स|ं|ग|र|ु|र|	S:a|n|g|r|u|r|
स|ं:ज|ी|व|न|	S|a:n:j|i|v|a:n|
स|ं:ज|ु|ल|ा|	S|a:n:j|u|l|a|
स|ै:फ|ा:य|र|	s:a|p:p:h|i|r:e|
स|र|ब|द|े|व|	S:a|r|a:b|d|e|v|
स|ा|र|ा|ं|श|	S|a|r|a|n|s:h|
स|र|ब|ज|ी|त|	S:a|r|b|a:j|i|t|
स|र|फ|र|ो|श|	S:a|r|f|a:r|o|s:h|
स|र:्:ज|न|ा|	S:a|r:j|a:n|a|
स|र|ो|ज|न|ी|	S:a|r|o|j|a:n|i|
स|स|ु|र|ा|ल|	S:a|s|u|r|a|l|
स|ा|त|ा|ं|ग|	s|a|t|a|n|g|
स:ौ|ज|न:्|य|	S:a:u|j|a:n:_|y|
स|व|्:व:ा|फ|	S:a|w|w:a|f|
स|य|्:य:ा|र|	S|a:y|y:a|r|
स|ी|म|ा|ं:त|	S|e:e|m|a|a:n:t|
स|े|ल|े|न|ा|	S|e|l|e|n|a|
स|े|ल|ि|म|ा|	S|e|l|i|m|a|
स|े|ल|ि|य|ा|	S|e|l|i|y|a|
स|े|न|े|ग|ल|	S|e|n|e|g|a:l|
स|े:व|ि:य:र|	S|e:v:i|e:r|
स|ि|व|ि|ल|ा|	S|e|v|i|l:l|a|
श|ब|्:ब|ी|र|	S:h:a|b|b|e:e|r|
श|फ|ी|क|ा|ह|	S:h:a|f|i|q|a|h|
श|ह|ं|श|ा|ह|	S:h:a|h|a:n|s:h|a:a|h|
श|ह|ी|र|ा|ह|	S:h:a|h|e:e|r|a|h|
श|क|ी|ल|ा|ह|	S:h:a|k|e:e|l|a|h|
श|क|ी|र|ा|ह|	S:h:a|k|i|r|a|h|
श|म|ू|द|ा|ह|	S:h:a|m|o:o|d|a|h|
श|ा|न|द|ा|र|	S:h|a|n|d|a|a:r|
श|ा|ं|क|र|ी|	S:h|a|n|k|a:r|i|
श|र|ण|्:य:ु|	S:h:a|r|a:n|y:u|
श|र|ी|क|ा|ह|	S:h:a|r|e:e|k|a|h|
श:े|र|ो|न|ा|	S:h:a|r|o|n|a|
श|स:्|व|त|ी|	s:h:a|s|w|a:t|i|
श|त|द|्:र|ु|	S:h:a|t|a:d|r|u|
श|त|र|ू|प|ा|	S:h:a|t|a:r|u|p|a|
श|ै:ल|ि|ं|ग|	s:h|e:l:l|i|n|g|
श|े|ं|ड|य|े|	S:h|e|n|d|a:y|e|
श|े|र|द|ि|ल|	S:h|e|r|d|i|l|
श|े|र|ग|ि|ल|	S:h|e|r|g|i|l:l|
श|े|र:्:म|न|	S:h|e|r:m|a:n|
श|ि|क:्|ष|ा|	S:h|i|k|s:h|a|
श|ि|ल|ि|ं|ग|	s:h|i|l:l|i|n|g|
श|ि|ल|्:प|ा|	S:h|i|l|p|a|
श|ि|म|ो|ग|ा|	S:h|i|m|o|g|a|
श|ि|न|ा|न|ो|	S:h|i|n|a|n|o|
श|ि|र|ि|न|ा|	S:h|i|r|i|n|a|
श|ि|व|द|ा|न|	S:h|i|v|a:d|a|a:n|
श|ि|व|र|ा|म|	S:h|i|v|a:r|a|a:m|
श|ो|भ|ि|त|ा|	S:h|o|b:h|i|t|a|
श|ो|क|घ|्:न|	S:h|o|k:a|g:h|n|
श|ू|र|व|ी|र|	S:h|o:o|r|v|e:e|r|
श|ॉ|ट|प|ु|ट|	s:h|o|t|p|u|t|
श|्:र|ी|ल|ा|	S:h|r|e:e|l|a|
श|्:र|े|य|स|	S:h|r|e|y:a|s|
श|्:र|ी|म|त|	S:h|r|i|m|a:t|
श|्:र|ी|प|द|	S:h|r|i|p|a:d|
श|ु|भ|ा|ं|ग|	S:h|u|b:h|a|n|g|
श|ु|च|ि|त|ा|	S:h|u|c:h|i|t|a|
श|ु|र|ा:य|ह|	S:h|u|r:a|y|h|
श|्:व:े|त|ा|	S:h|w:e|t|a|
श|्:य:ा|म|ा|	S:h|y:a|a:m|a:a|
श|्:य:ा|म|ा|	S:h|y:a|m|a|
स|ि|ब|्:स|न|	S|i|b|s|o:n|
स|ि|द|्:ध|ि|	S|i|d|h:d:h|i|
स|ि|ड|ो|न|ी|	S|i|d|o|n|i:e|
स|ि|म|े|ओ|न|	S|i|m|e|o|n|
स|ि|ं|प|स|न|	S|i|m|p|s|o:n|
स|ि|म|र|ि|त|	S|i|m|r|i|t|
स|ि|ं|ग|ा|र|	S|i|n|g|a|a:r|
स|ि|ं|ग|ल|ा|	S|i|n|g|l|a|
स|ि|प|ा|ह|ी|	S|i|p|a:a|h|i|
स|ि|र|ा|ल|ी|	S|i|r|a|a:l|e:e|
स|ि|र:ि:य|स|	S|i|r:i|u:s|
स|ि|र|म|ौ:र|	S|i|r|m|a:u:r|
स|ि|र|ो|ह|ी|	S|i|r|o|h|i|
स|ि|स:्:ट|र|	s|i|s:t|e:r|
स|ि|त|म|ग|र|	s|i|t|a:m|g|a:r|
स|ि|य|ा|ं|ग|	s|i|y|a|n|g|
स:्:क|ि:प|र|	s:k|i:p:p|e:r|
स|्:क|ि|र|ॉ|	S|k|i|r|r:o:w|
स:्|म|ि|त|ा|	S|m|i|t|a|
स:्|म|ि|त|ा|	S|m|i|t|a:a|
स:्|म|ृ:त|ि|	S|m|r:i:t|i|
स:्|न|े|ह|ा|	S|n|e|h|a|
स:्|न|ो|व|ी|	s|n|o|w|y|
स|ो|ड:ि:य|म|	s|o|d:i|u:m|
स|ो|ह|ो|ट|ा|	S|o|h|o|t|a|
स|ो|ल|े|न|ा|	S|o|l|a|n|a|
स|ो|म|द|े|व|	S|o|m:a|D|e|v|
स|ो|म|ा|ं|श|	S|o|m|a|n|s:h|
स|ो|म|प|ा|ल|	S|o|m|a:p|a|a:l|
स|ो|म|द|े|व|	S|o|m|d|e|v|
स|ो|म|प|ा|ल|	S|o|m|p|a|a:l|
स|ो|न|ा|ल|ी|	S|o|n|a|a:l|i|
स|ो|न|ा|ल|ी|	S|o|n|a|l|e:e|
स|ो|न|ा|ट|ा|	S|o|n|a|t|a|
स|ो|न|ि|क|ा|	S|o|n|i|k|a:a|
स|ो|न|ी|प|त|	S|o|n|i|p|a:t|
स|ो|न|ि:य:ा|	S|o|n|y:a|
स|ो:फ|ि:य:ा|	S|o:p:h|i:a|
स|ो|र:्|च|ा|	S|o|r|c:h|a|
स|ो|व|ा|न|ी|	S|o|w|a|n|i|
स:्|प|र:्|श|	S|p:a|r|s:h|
स:्:प|े|ं:स|	S:p|e|n:c:e|
स:्:प|ि|र|ो|	S:p|i|r|o|
स|ृ:ष|्:ट|ि|	S|r:i:s|t|i|
स|्:ट|े|स|ी|	S|t|a|c|i:e|
स|्:ट|ी|फ|न|	S|t|e|f|a:n|
स|्:ट|े|फ|ी|	S|t|e|f:f|i|
स|्:ट|ी|फ|न|	S|t|e|p:h|e:n|
स|्:ट|ी|व|न|	S|t|e|v|e:n|
स:्|ट|ड|्:स|	s|t:u|d|s|
स|ु|ब|्:र|त|	S|u|b|r|a:t|
स|ु|च|े|त|ा|	S|u|c:h|e|t|a|
स|ु|च|ि|त|ा|	S|u|c:h|i|t|a|
स|ु|द|ी|प|ा|	S|u|d|e:e|p|a|
स|ु|ध|ा|क|र|	S|u|d:h|a|a:k|a:r|
स|ु|ध|ा|क|र|	S|u|d:h|a|k|a:r|
स|फ:्|र|े|न|	S|u:f:f|r|e|n|
स|ु|ग|ं|ध|ि|	S|u|g|a:n|d:h|i|
स|ु|ग|त|ी:य|	S|u|g|a:t|e:e:y|
स|ु|ह|ी|र|ा|	S|u|h|e:e|r|a|
स|ु|क|े|त|ु|	S|u|k|e|t|u|
स|ु|ख|द|े|व|	S|u|k:h|d|e|v|
स|ु|ल|े|ख|ा|	S|u|l|e|k:h|a|
स|ल:्:त|न|त|	S:u|l:t|a:n|a:t|
स|ु|म|न|ा|ह|	s|u|m|a:n|a|h|
स|ु|म|ि|त|ा|	S|u|m|i|t|a|
स|ु|न|य|न|ा|	S|u|n|a:y|a:n|a|
स|ु|न|य|न|ी|	S|u|n|a:y|a:n|i|
स|ु|न:्:द|र|	S|u|n:d|a:r|
स|ु|न|ि|ल|ा|	S|u|n|i|l|a|
स|ु|न|ी|त|ि|	S|u|n|i|t|i|
स|ु|प|र:्:ण|	S|u|p:a|r:n|
स|ु|प|र|्:ब|	s|u|p|e:r|b|
स|ु|र|स|ख|ा|	S|u|r|a:s:a|k:h|a:a|
स|ू|र|द|ा|स|	S|u|r|d|a|s|
स|र|्:ज|र|ी|	s|u:r|g|e:r|y|
स|ु|र|ी|न|ा|	S|u|r|i|n|a|
स|ु|र|ज|ो|त|	S|u|r|j|o|t|
स|ु|श|ी|ल|ा|	S|u|s:h|e:e|l|a:a|
स|ु|स|ि|त|ा|	S|u|s|i|t|a|
स|ु|त|ं:त|र|	S|u|t|a:n:t|a:r|
स:्:व|ा|त|ि|	S:v|a|a:t|i|
स:्:व|द|े|श|	S:w|a:d|e|s:h|
स:्:व|ा|ह|ा|	S:w|a|h|a|
स:्:व|र|ू|प|	S:w|a:r|o:o|p|
स:्:व|ा|त|ि|	S:w|a|t|i|
स:्|व|ी|ट|ी|	s|w|e:e|t|y|
स|ि|म|ो|न|ा|	S|y|m|o|n|a|
स|ि:स:्|क|ो|	S|y:s|c|o|
त|ब|ा|ल|ा|ह|	T:a|b|a|l|a|h|
ट|े|स|ि|ट|ा|	T|a|c|i|t|a|
त|ल|क:्|क|ड|	T:a|l:a|k|k:a|d|
त|ा|ल|ि|क|ा|	T|a|l|i|k|a|
त|ल|व|ा|ड़|ा|	T:a|l|w|a|d|a|
त|म|न|्:न|ा|	t|a:m|a:n|n|a|
त|म|ी|म|ा|ह|	T:a|m|e:e|m|a|h|
त|ं|द|ी|ल|त|	T:a|n|d|i|l|a:t|
त|न:्|म|य|ा|	T:a|n|m|a:y|a|
त|ं|ज:़|ी|म|	T:a|n|s|e:e|m|
ट|ै|ं|ट|ल|म|	t|a|n|t|a:l|u:m|
ट|ा|र|ग|े|ट|	t|a|r|g|e|t|
त|ा|र|ि:़:क|	T|a|r|i:q|
त|र|ु|ल|त|ा|	t|a:r|u|l|a:t|a|
त|स:्|न|ी|म|	T:a|s|n|i|m|
त|ा|त|ि|न|ी|	T|a|t|i|n|i|
ट|ा|ट:्:र|ा|	T|a|t:r|a|
ट|े|व|ि|ट|ा|	T|a|v|i|t|a|
ट|ै:ज़|व|े:ल|	T:a|z|w|e:l:l|
त:ी|र:्|थ|ा|	T:e:e|r|t:h|a|
त:ी|स:्:त|ा|	T:e:e|s:t|a|
त|े|ह|र|ा|न|	T|e|h|r|a|n|
ट:ी|ग:्:र|ा|	T:e:i|g:r|a|
ट|े|क|्:ल|ा|	T|e|k|l|a|
ट|े|क|्:ल|ी|	T|e|k|l|i|
ट|े|ल|े|र|ी|	T|e|l|e|r|i|
त|े|ल|ु|ग|ू|	T|e|l|u|g|u|
ट:े|र|े|ं:स|	T:e:r|r|e|n:c:e|
ट:े|र|ि|य|न|	t:e:r|r|i|a|n|
ट|े|र|ि|ब:ल|	T|e|r|r:i:b|i:l:e|
थ|ै:ल|ि:य|म|	t:h|a:l:l|i|u:m|
थ|र|्:व:ा|त|	T:h|a:r|w:a|t|
ठ|ट:्:‍|ठ|ा|	T:h:a|t|t:h|a|
थ|ि:य:ो|ल|ा|	T:h|e:o|l|a|
थ|े|र|े|स|ा|	T:h|e|r|e|s|a|
ट|ि|प|्:स|े|	T|h:i|p|s|e|
थ:ॉ|म|्:स|न|	T:h:o|m|s|o:n|
थ|ो|र|ि:य:म|	t:h|o|r:i|u:m|
थ|ो|र|ं|ट|न|	T:h|o|r|n|t|o:n|
थ|र|ि|ं|ग|न|	T:h|u:r|i|n|g|e:n|
ट|ि:य:ा|र|ा|	t|i:a|r|a|
ट|ि:क|्:न|र|	T|i:c:k|n|e:r|
ट|ि|फ:े|न|ी|	T|i|f:f:a|n|y|
त|ि|ज|ु|क|ा|	T|i|j|u|c|a|
ट:ि|क|े|क|र|	T:i:k|k|e|k|a:r|
ट|ि|म|ो|थ|ी|	T|i|m|o|t:h|y|
ट|ो|ब|ॉ:ग|न|	t|o|b|o:g:g|a:n|
ट|ो|ह|ा|ण|ा|	T|o|h|a|n|a|
ट|ो|न|ब|ै:क|	T|o|n|b|a:c:k|
ट|ो|न|्:य:ा|	T|o|n|y:a|
ट:ॉ|र|े|ं:स|	T:o:r|r|a|n:c:e|
त|ो|श|ि|ब|ा|	T|o|s:h|i|b|a|
ट|्:र:े|स|ी|	T|r:a|c|i|
ट:्:र|े|व|ा|	T:r|e|v|a|
ट:्:र|ी|न|ी|	T:r|i|n|i|
त:ृ|प:्:त|ा|	T:r:i|p:t|a|
त:ृ|प|्:त:ि|	T:r:i|p|t:i|
त:्:र|ि|श|ा|	T:r|i|s:h|a|
त:ृ|ष|्:ण:ा|	T:r:i|s:h|n:a|
ट:्:र|क|ि|न|	t:r|u:c:k|i|n|
ट:्:र|ू|ड|ा|	T:r|u|d|a|
ट:्:र|ू|ल|ा|	T:r|u|l|a|
ट:्:र|ू|ल|ी|	t:r|u|l|y|
ट|्:य:ू|ड:र|	T|u|d:o:r|
त|ू|ल|ि|क|ा|	T|u|l|i|k|a|
ट|ु|ट|े|ज|ा|	T|u|t|e|j|a|
ट|ा:य|र|ॉ:न|	T|y|r|o:n:e|
उ|द|य|प|ु|र|	U|d|a:i|p|u|r|
उ|द|ै:स|ा|ह|	U|d|a:y:s|a|h|
ऊ:ध|म|प|ु|र|	U:d:h|a:m|p|u|r|
उ|ज:्:ज|ै:न|	U|j:j|a:i:n|
उ|ज|्:व|ल|ा|	U|j|w|a:l|a|
उ|ल|्:फ|ा|ह|	U|l|f|a|h|
उ|ल|्:ल|ा|स|	U|l|l|a|s|
उ:ल:्|म|े|र|	U:l|m|e|r|
उ|म|ै:म|ा|ह|	U|m|a:y:m|a|h|
उ:म:्|म|ी|द|	U:m|e|e|d|
य:ू:र|े|न|स|	U:r|a|n|u:s|
अ|र|ब|ा|न|ा|	U|r|b|a|n|a|
उ|र|्:स|ल|ा|	U|r|s|a:l|a|
उ|स|र|ि|य|ा|	U|s|a:r|i|y|a|
उ|स:्|म|ा|न|	U|s|m|a|n|
उ|त|ै:ब|ा|ह|	U|t|a:y:b|a|h|
उ|त|्:स|ा|ह|	U|t|s|a:a|h|
उ|व|ा:य|ा|म|	U|w:a|y|a|m|
व|ा|च|ि|क|ा|	V:a|a|c:h|i|k|a:a|
व|ा|द|ि|त|ा|	V|a|a:d|i|t|a:a|
व|ा|ग|ी|श|ा|	V:a|a|g|e:e|s:h|a:a|
व|ा|क|न|ी|स|	V|a|a:k|n|i|s|
व|ा|प|ि|क|ा|	V:a|a|p|i|k|a:a|
व|ा|र|ि|ध|ि|	V|a|a:r|i|d:h|i|
व|ा|र:्:त|ा|	V:a|a|r:t|h:a|
व|ा|र|ु|ण|ि|	V|a|a:r|u|n|i|
व|ा|स|ं:त|ी|	V:a|a|s|a:n:t|e:e|
व|ा|स|व|े|य|	V:a|a|s|a:v|e|y|
व|ड|ो|द|र|ा|	V:a|d|o|d|a:r|a|
व|ड|व|े|क|र|	V:a|d|v|e|k|a:r|
व|ा|फ|ि:य:ा|	V|a|f|i:a|
व:ै|क|ु|ं|ठ|	V:a:i|k|u|n|t:h|
व:ै|र|ा|ग|ी|	V:a:i|r|a:a|g|e:e|
व:ै|श|ा|ल|ी|	V:a:i|s:h|a|l|i|
व|ज|्:र|ा|भ|	V|a:j|r|a|a:b:h|
व|ल|्:ल|र|ी|	V|a:l|l|a:r|i|
व|ल|्:म:ा|ई|	V|a:l|m:a|i|
व|े|ल|ो|र|ा|	V|a|l|o|r|a|
व|न|द|े|व|ी|	V|a:n|a:d|e|v|e:e|
व|न|म|ा|ल|ी|	V|a:n|a:m|a|a:l|e:e|
व|न|म|ा|त|ा|	V|a:n|a:m|a|a:t|a:a|
व|न|म|ा|ल|ा|	v|a:n|a:m|a|l|a|
व|ा|न|्:ह:ी|	V|a|n|h:i|
व|ा|ट|ि|क|ा|	V|a|t|i|k|a|
व|य|स:्|य|ा|	V:a|y:a|s|y:a|a|
व|े|द|ज:्:ञ|	V|e|d:a|g:y|
व|े|द|ि|क|ा|	V|e|d|i|k|a|
व:ी|र|ा|न|ा|	V:E:E|R|A|N|A|
व|ी|र|भ|ू|म|	V|e:e|r|b:h|u|m|
व|ी|थ|ि|क|ा|	V|e:e|t:h|i|k|a:a|
व|े|ग|व|ा|न|	V|e|g|a:v|a|a:n|
व|े|ल|ण|क|र|	V|e|l|a:n|k|a:r|
व|े|र|े|न|ा|	V|e|r|e|n|a|
व|े|स:्:ट|ा|	V|e|s:t|a|
व|ि|भ|ू|ष|ण|	V|i|b:h|o:o|s:h|a:n|
व|ि|भ|ु|त|ा|	V|i|b:h|u|t|a:a|
व|ि|द|्:य:ा|	V|i|d|y:a|
व|ि|ज|े|त|ी|	V|i|j|e|t|i|
व|ि|न|म|्:र|	V|i|n|a:m|r|
व|ि|न|ा|य|क|	V|i|n|a|y:a|k|
व|ि|न|ी|त|ा|	V|i|n|e:e|t|a|
व|ि|न:्:न|ी|	V|i|n:n|y|
व|ा|य|ल|े|ट|	v|i|o|l|e|t|
व|ि|प|्:ल|व|	V|i|p|l|a:v|
व|ि|श|ा|ख|ा|	V|i|s:h|a|k:h|a|
व|ि|श|ा|ल|ा|	V|i|s:h|a|l|a|
व|ि|ट|ण|क|र|	V|i|t|a:n|k|a:r|
व|ि|व|े|क|ा|	V|i|v|e|c|a|
व|ि|व|े|क|ा|	V|i|v|e|k|a:a|
