ก:ง|ต|์|,|	C:o:m|t|e|,|
อ:อ|เ:ร|ส|ต|ิ:ส|	O|r|e:s|t:e|s|
อ:อ|เ:ร|ิ:่:น|	O|r|e:n|
อ:อ|เ:ร|ิ:่:ม|	O|r|a:m|
อ:อ|เ:ร|ี:ย|น|ต:์|	O|r|i|e:n|t|
อ:อ|เ:ร|ี:ย|น|ท|ั|ล|	O|r|i|e:n|t|a|l|
อ:อ|เ:ร|ี:ย|น|เ:ท|ช|ั:น|	O|r|i|e:n|t|a:t|i:o:n|
อ:อ:เ|ร|ี:ย|ล|	A:u|r|i|o:l|
อ:อ|เ:ร|เ|ก|ิ:่:น|	O|r|e|g|a:n|
อ:อ|เ:ล:อ|ท|่:า|	A|l:e|t:h|a|
อ:อ:เ|ล|ิ|ม|	A:h|l|e|m|
อ:อ|เ:ว|ล|ิ:่|ง|	A|v|e:l|i|n:g|
อ:อ|เ:ฮ|ร:์|น|	O|h:e:a|r|n|
อ:อ|เ:ฮ:ิ|ล|ล|อ|เ:ร|ิ:่:น|	O|h:a|l|l|o|r|a:n|
อ:อ|แ|ซ|เ:ฮ:ิ|ล|	A|s|a|h:e|l|
อ|อ:แ:ม|ด|ิ|ส|	A|m:a|d|i|s|
อ|อ|โ|ต|	A|u|t|o|
อ|อ|โ|ต|ค|อ|น|ซ|ี:เ|ค:ว|น|ซ|์|	A|u|t|o|c|o|n|s|e|q:u:e|n|c|e|
อ|อ|โ:ต:เ|ม|ต|ิ|ก|	A|u|t:o|m|a:t|i|c|
อ|อ|โ|ต|โ:ซ|ม|	A|u|t|o|s|o:m:e|
อ|อ|โ:ท|โ|ท|ร|ฟ:ิ|ก|	A|u|t|o|t|r:o|p:h:i|c|
อ:อ|โ:ร|ร|า|	A|u:r:o|r|a|
อ:อ|โ|ร|เ:จ|น|ิ|ก|	O|r|o|g|e:n|i|c|
อ|อ|ไ|จ|ต|์|	A|u|g|i|t|e|
อ:อ|ไ:ร|ต:์|	A:l:l|w:r:i|g:h:t|
อ:อ:ไ|ร|เ:อ|ิ:้:น|	O|r|y|a:n|
อ:ะ|ก|ั|ล|แ:ฮ|ส|	A|g|u|l|h|a:s|
อ:ะ|ก|า|ร:์|	A|g|a|r|
อ:ะ|ก|า|ร:์|-:อ:ะ|ก|า|ร:์|	A|g|a|r|-:a|g|a|r|
อ:ะ|ก|า:เ|ว|	A|g|a|v:e|
อ:ะ|ค|ร|ิ|ล|ิ|ก|	A|c|r|y|l|i|c|
อ:ะ|ค|ล|ิ|น|ิ|ก|	A|c|l|i|n|i|c|
อ:ะ|ค|ว|า|ม|า|ร|ี|น|	A|q|u|a|m|a|r|i|n:e|
อ:ะ|ค|ว|า|เ:ร|ี:ย|ม|	A|q|u|a|r|i|u:m|
อ:ะ|ค|า|เ:ด|ม:ี|	A|c|a|d|e:m:y|
อ:ะ|ค|ี|เ:ม|น|ิ|ด|	A|c:h|e:a|m|e:n|i|d|
อ:ะ|ค|ู|ส|ต|ิ|ก|	A|c|o:u|s|t|i|c|
อ:ะ|ช|ี|ฟ|เ:ม|น|ต:์|	A|c:h|i:e|v:e|m|e:n|t|
อ:ะ|ซ|อ|ร|์|ส|	A|z|o|r|e|s|
อ:ะ|ซ|ิ|ง|โ:ค|ร|น|ั:ส|	A|s|y|n|c:h:r|o|n|o:u:s|
อ:ะ|ซ|ิ|ม:เ|ม|ท|ร|ี|	A|s|y|m|m:e|t|r|y|
อ:ะ|ซ|ิ|เ:ซ|ี|ย|	A|z|i|z|i|a|
อ:ะ|ซ|ุ|น|ซ|ิ:โ:อ|น|	A|s|u|n|c|i:o|n|
อ:ะ|ซ|ู|ไ:ร|ต|์|	A|z|u|r|i:t|e|
อ:ะ|ด|ร|ี|น|ั|ล|ค|อ|ร:์|เ:ท|ก:ซ:์|	A|d|r|e|n|a|l|c|o|r|t|e:x|
อ:ะ|ด|ร|ี|น|า|ล|ิ|น|	A|d|r|e|n|a|l|i|n|
อ:ะ|ด|า|เ:ม|ล|ไ|ล|ต|์|	A|d|a|m|e|l|l|i:t|e|
อ:ะ|ด|ู|ล|า|เ:ร|ี|ย|	A|d|u|l|a|r|i|a|
อ:ะ|ต|อ|ม|	A|t|o|m|
อ:ะ|ต:อ:ม|ไ|ม:เ:ซ|ช|ั:น|	A|t:o|m|i:z|a:t|i:o:n|
อ:ะ|ท|อ|ม|ิ|ซ|ิ|ต|ี|	A|t|o|m|i|c|i|t|y|
อ:ะ|น|อ|ร:์|โ:ท|เ:ค|ล|ส|	A|n|o|r|t:h:o|c|l|a:s:e|
อ:ะ|น|อ|ร:์|โ|ท|ไ:ซ|ต|์|	A|n|o|r|t|h|o:s:i|t|e|
อ:ะ|น|อ|ร:์|ไ:ท|ต|์|	A|n|o|r|t:h:i|t|e|
อ:ะ|น|า|ค|ร|ู|ซ|ิ|ส|	A|n|a|c|r|u|s|i|s|
อ:ะ|น|า|ล:ไ|ซ|ต|์|	A|n|a|l|c|i:t|e|
อ:ะ|น|า|ล:ไ|ซ|ม|์|	A|n|a|l|c|i:m|e|
อ:ะ|น|า|อ:ิ|ส|	A|n|a|i|s|
อ:ะ|น|า|เ:ท|ส|	A|n|a|t|a:s:e|
อ:ะ|น|ี|ต|า|	A|n|i|t|a|
อ:ะ|บ|ร|ั|ป|ต:์|	A|b|r|u|p|t|
อ:ะ|บ|ิ|ส|ซ|ิ|เ:น|ี|ย|	A|b|y|s|s|i|n|i|a|
อ:ะ:พ|อ|ล|โ:ล:เ|น|ี:ย|ส|	A:p|o|l|l:o|n|i|u:s|
อ:ะ:พ|า|ร:์|ต|เ:ม|น|ต:์|	A:p|a|r|t|m|e:n|t|
อ:ะ:พ|า|ร:์|ต|ไ:ฮ|ด:์|	A:p|a|r|t|h:e:i|d|
อ:ะ:พ|า|ไ:ท|ต|์|	A:p|a|t|i:t|e|
อ:ะ|ฟ|ล|า|ท|อ|ก:ซ:ิ|น|	A|f|l|a|t|o|x:i|n|
อ:ะ|ม|อ|ร|ิ:โ|น|	A|m|o|r|i|n:o|
อ:ะ|ม|อ|ร:์|ก|อ|ส|	A|m|o|r|g|o|s|
อ:ะ|ม|ั|ล|ก|ั|ม|	A|m|a|l|g|a|m|
อ:ะ|ม|า|ร:์|น|า|	A|m|a|r|n|a|
อ:ะ|ม|ี|น|	A|m|i|n|
อ:ะ|ม|ี|บ|า|	A|m:o|e|b|a|
อ:ะ:ย|า|ล|า|	A:y|a|l|a|
อ:ะ|ร|า|เ:บ|ส|ก:์|	A|r|a|b|e:s|q:u:e|
อ:ะ|ร:า|โ|ก:ไ|น|ต|์|	A|r|a|g|o:n|i:t|e|
อ:ะ|ล|อ:น|โ:ซ|	A|l|o:n:s|o|
อ:ะ|ล|อ|ร:์|	A|l|o|r|
อ:ะ|ล|า|ค|ล|อ|ร:์|	A|l|a|c:h|l|o|r|
อ:ะ|ล|า|บ|า|ส|ต|ร|อ|น|	A|l|a|b|a|s|t|r|o|n|
อ:ะ|ล|า|บ|า|ส|เ:ท|อ:ร:์|	A|l|a|b|a|s|t|e:r|
อ:ะ|ล|า|ร:์|	A|l|a|r|
อ:ะ|ล|า|ส|	A|l|a|s|
อ:ะ|ล:า:แ|บ|น|ไ|ด|ต|์|	A|l:a|b|a|n|d|i:t|e|
อ:ะ|ล|ิ|ค|ว|อ|ด|	A|l|i|q|u|o|t|
อ:ะ|ล|ิ|เ:ด|ด|	A|l|i|d|a:d:e|
อ:ะ|ล|ู|ม|ิ|น|า|	A|l|u|m|i|n|a|
อ:ะ|ล|ู|ม|ิ|เ:น|ี:ย|ม|	A|l|u|m|i|n|i|u:m|
อ:ะ|ล|ู|ม|ิ|โ:น:เ|ท|อ:ร:์|ม|ิ|ก|	A|l|u|m|i|n:o|t:h|e:r|m|i|c|
อ:ะ|ล|ู|ไ|น|ต|์|	A|l|u|n|i|t|e|
อ:ะ|ว|อ:ร:์|ด|	A|w|a:r|d|
อ:ะ|เ:ก|ต|	A|g|a:t:e|
อ:ะ|เ:ค:เ|ซ|ี|ย|	A|c:a|c|i|a|
อ:ะ:เ|ซ|ท|ิ|ล|ี|น|	A|c:e|t|y|l|e|n:e|
อ:ะ:เ|ซ|ท|ิ|ล|โ:ค|ล|ี|น|	A|c:e|t|y|l|c:h:o|l|i|n:e|
อ:ะ:เ|ซ|ท|ิ|ล|โ:ค|ล|ี|น|	A|c:e|t|y|l|c:h:o|l|i|n:e|
เ:อ|ส|เ:ท:อ|เ:ร|ส|	E|s|t:e|r|a:s:e|
อ:ะ|เ:ซ|เ:ล|ี:ย|	A|z|a:l:e|a|
อ:ะ|เ:ด|ี:ย|แ|บ|ต|ิ|ก|	A|d|i|a|b|a:t|i|c|
อ:ะ|เ:ฟ|ล|ิ|อ:อ|น|	A|p:h:e|l|i|o|n|
อ:ะ|เ:ม|ร:ิ|เ|ซ:ี:ย|ม|	A|m|e:r:i|c|i:u|m|
อ:ะ|เ|ล|ฟ|	A|l|e|p:h|
อ:ะ|เ:ล|็|ก|	A|l|e|c|
อ:ะ|เ:ล|็|ก:ซ:ั|น|ด|ร|ี|น|	A|l|e|x:a|n|d|r|i|n:e|
อ:ะ|เ:ล|็|ก:ซ:า|น|ด|ร|า|	A|l|e|x:a|n|d|r|a|
อ:ะ|เ:ล|็|ก:ซ:า|น|เ:ด|ร|ี|ย|	A|l|e|x:a|n|d|r|i|a|
อ:ะ|เ:ล|็|ก:ซ:า|น|เ:ด|ร|ี:ย|น|	A|l|e|x:a|n|d|r|i|a:n|
อ:ะ|เ:ล|็|ก:ซ:า|น:ไ|ด|ร|ต|์|	A|l|e|x:a|n|d|r|i:t|e|
อ:ะ|เ:ล|็|ก:ซ:์|	A|l|e|x|
อ:ะ|เ:ว|น|	A|v|e:n|
อ:ะ|เ:ว|น|จ:ู|ร:ี|น|	A|v|e:n|t:u:r|i|n:e|
อ:ะ|แ:ค|น|ท|ั|ส|	A|c|a:n|t:h|u|s|
อ:ะ|แ:ด|ป|ต:์|	A|d|a:p|t|
อ:ะ|แ:ด|ป|เ:ต|อ|ร:์|	A|d|a:p|t|o|r|
อ:ะ|แ:น|โ|ท|ม|ี|	A|n|a|t|o:m|y|
อ:ะ|แ:ม|น|ด|า|	A|r:m:a|n|d|a|
อ:ะ|แ:ล|ส|ก|า|	A|l|a:s|k|a|
อ:ะ|แ:ล|ส|ไ|ก|ต|์|	A|l|a:s|k|i|t|e|
อ:ะ|โ:ก|น|ิ|ก|	A|g|o:n|i|c|
อ:ะ|โ:ก|โ:ก|	A|g|o:g:o|
อ:ะ|โ:ค|ร|โ|ซ|ม|	A|c|r|o|s|o:m:e|
อ:ะ|โ:ค|ร|โ|พ|ล|ิ|ส|	A|c|r|o|p|o:l|i|s|
อ:ะ|โ|ค|ร|โ:ม|แ:บ|ค|เ:ท|อ:ร:์|	A|c|h|r|o:m:o|b|a:c|t|e:r|
อ:ะ|โ:ซ:อ|ิ|ก|	A|z:o|i|c|
อ:ะ|โ:ด|บ|ี|	A|d|o:b|e|
อ:ะ|โ|ป|จ|ี|	A|p|o|g:e|e|
อ:ะ|โ:ป:เ|จ|ี:ย|น|	A|p:o|g:e|a|n|
อ:ะ|ไ:ค:ว|น|ั|ส|,|	A|q:u|i:n|a|s|,|
ท:อ|ม|ั|ส|	T:h:o|m|a|s|
อ:ั|ก|ก|ร|า|	A|c|c|r|a|
อ:ั|ก|บ|า|ร:์|	A|k|b|a|r|
อ:ั|ก|เ:ล:ิ|น|ด:์|	A|c|l:a|n|d|
อ:ั|ง|ก|า|ร|า|	A|n|k|a|r|a|
อ:ั|ง|ก:ู|เ|ล|ท|	U|n:g|u:l:a|t|e|s|
อ:ั|ง|ก|์|	A|n|k|h|
อ:ั|ง|ก|์:แ:ท|ด|	U|n|c|t:a|d|
อ:ั|ง|ส|ต|ร|อ|ม|	A|n:g|s|t|r|o|m|
อ:ั|ง|เ:ก:อ|ร:์|	U|n|g:a|r|
อ:ั|ง|โ:ก|ล|า|	A|n:g|o|l|a|
อ:ั:ด|ว|ี|เ:อ:อ|ร:์|	O:d|w|y|e|r|
อ:ั|ด|เ:ด|น|	U|d|d|e:n|
อ:ั|ต|	U|t:t|
อ:ั|ต|ล|ี:ย:์|	U|t|l|e:y|
อ:ั|ต:เ:ท|อ:ร:์|	U|t:h|e:r|
อ:ั|ต|เ:ท|อ:ร:์|แ:บ:็|ก|	U|t|t|e:r|b:a|c:k|
อ:ั|ต|โ|ต|	A|t|t|o|
อ:ั|น|ซ|อ|ร:์|จ|	A|n|s|o|r|g:e|
อ:ั|น|ด|ร|อ|ส|	A|n|d|r|o|s|
อ:ั|น|ด|อ|ร:์|ร|า|	A|n|d|o|r|r|a|
อ:ั|น|ด|า|ม|ั|น|	A|n|d|a|m|a|n|
อ:ั:น|ด:้:า|	O:n|d:a|
อ:ั|น|ต|า|น|า|น|า|ร|ิ:โ|ว|	A|n|t|a|n|a|n|a|r|i|v:o|
อ:ั:น|ต|ิ|ม|ะ|	U:l|t|i|m|a:t:e|
อ:ั:น|น|า|ส|ต:์|	A|n|a|s|t|
อ:ั|น|ป|ล|ั|๊:ก|	U|n|p|l|u|g|
อ:ั:น|ย|ั|น|	O:n|i|o|n|
อ:ั|น|ร:ู|	U|n|r:u:h|
อ:ั|น|ส|เ:ว:ิ|ร:์|ท|	U|n|s|w:o|r|t:h|
อ:ั|น|เ:ด|ร|ย:์|	A|n|d|r:e|y|
อ:ั|น|เ:ด|ร|ส|	A|n|d|r:e|s:s|
อ:ั|น|เ:ด:อ|ร|ส:์|	A|n|d:e|r|s|
อ:ั|น|เ:ด|อ:ร:์|	U|n|d|e:r|
อ:ั|น|เ:ด|อ:ร:์|ก|ร|า|ว|น|ด:์|	U|n|d|e:r|g|r|o|u|n|d|
อ:ั|น|เ:ด|อ:ร:์|ว:ู|ด|	U|n|d|e:r|w:o:o|d|
อ:ั|น|เ:ด|อ:ร:์|ส|ป|ิ|น|	U|n|d|e:r|s|p|i|n|
อ:ั|น|เ:ด|อ:ร:์|ฮ:ิ|ล|	U|n|d|e:r|h:i:l|l|
อ:ั:น|เ:ด:ิ|ก|	O:n|d:a|k|
อ:ั|น|เ:ต|อ|น|ี|เ:อ|ต|ี:้|	A|n|t|o|n|i|e|t:t|i|
อ:ั:น|เ:น:ิ|น|ส:์|	O:n|i:o|n|s|
อ:ั|น|โ|ต|น|ี|โ:อ|	A|n|t|o|n|i|o|
อ:ั:น|โ|ท|น|ี:่|	A|n|t|o:n|e|
อ:ั|บ|ด|ั|ล|	A|b|d|a|l|
อ:ั|บ|ด|ุ|ล|	A|b|d|u|l|
อ:ั|บ|บ|า|ซ|ิ|ด|	A|b|b|a|s|i|d|
อ:ั|บ|บ|า|ส|	A|b|b|a|s|
อ:ั|บ|ล|า|ค|อ|ฟ|	A|b|l|a|k|o|v|
อ:ั|บ|ส|ต|ร|ั|ก|ซ|ี:ย|ง|เ|ก|ร|อ:า|ซ|ี:ย|ง|	A|b|s|t|r|a|c|t|i|o:n|-|c|r:e|a|t|i|o:n|
อ:ั|บ|เ:บ|ท|	A|b|b|a:t:e|
อ:ั|ป|	U|p:p|
อ:ั|ป|จ:อ|น|	U|p|j:o:h|n|
อ:ั|ป:เ|ช|อ:ร:์|	U|p|s:h|u:r|
อ:ั|ป:เ|ช|ิ|ร:์|ช|	U|p|c:h|u|r|c:h|
อ:ั|ป|เ:ซ|ต|	U|p|s|e:t|
อ:ั|ป|เ:ซ|ิ:่:น|	U|p|s|o:n|
อ:ั|ป|เ:ด|ต|	U|p|d|a:t:e|
อ:ั|ป|เ:ป|อ:ร:์|	U|p|p|e:r|
อ:ั|ป|เ:อ:ิ|ม|	U|p|h:a|m|
อ:ั|ป|โ:ห:ล|ด|	U|p|l:o|a:d|
อ:ั|ป|ไ|ด|ก|์|	U|p|d|i|k|e|
อ:ั:พ|	U:p|
อ:ั|ฟ|ก|า|น|ิ|ส:ถ:า|น|	A|f|g|a|n|i|s:t|a:n|
อ:ั|ฟ|ก|า|น|ี|	A|f|g|h:a|n|i|
อ:ั|ฟ|ร|ิ|ก|ั|น|	A|f|r|i|c|a|n|
อ:ั|ม|บ|ั:ก|	U|m|b|a:c:h|
อ:ั|ม|ม|ั|น|	A|m|m|a|n|
อ:ั|ม|ส|เ:ต|ด|	U|m|s|t|e:a:d|
อ:ั|ม|ส|เ:ต|อ:ร:์|ด|ั|ม|	A|m|s|t|e:r|d|a|m|
อ:ั|ม|โ|น|	U|m|n|o|
อ:ั|ม|ไ|พ|ร|์|	U|m|p|i|r|e|
อ:ั|ล|	U|h:l|
อ:ั:ล|ก|อ|น|ก|ิ|น|	A:l|g|o|n|k|i|n|
อ:ั:ล|ก|อ|ล|	A:l|g|o|l|
อ:ั:ล|ก|า|ร:์|	A:l|g|a|r|
อ:ั:ล|ค|ร|ี|ต|	A:l|c|r|e|t:e|
อ:ั|ล|ค|ว|ิ|ส|ต:์|	A|h:l|q|u|i|s|t|
อ:ั:ล|ค|า|ล:่:า|	A:l|c|a|l:a|
อ:ั:ล|ค|า|แ:ท|ร|ซ|	A:l|c|a|t|r:a|z|
อ:ั:ล|จ:ี|	A:l|g:a:e|
อ:ั:ล|ซ|า|ซ|	A:l|s|a|c:e|
อ:ั:ล|ซ:า|ด|ั|ต|,|	A:l|-:s:a|d|a|t|,|
อ:ั|น|ว|า|ร:์|	A|n|w|a|r|
อ:ั:ล|ด|ิ|ส|	A:l|d|i|s|
อ:ั:ล|ด:้:า|	A:l|d:a|
อ:ั:ล|ด:์|เ:ว:ิ|ร:์|ท|	A:l|d|w:o|r|t:h|
อ:ั|ล|ต|ร|า|ซ|า|ว|น|ด:์|	U|l|t|r|a|s|o|u|n|d|
อ:ั|ล|ต|ร|า|เ:บ|ส|ิ|ก|	U|l|t|r|a|b|a:s|i|c|
อ:ั|ล|ต|ร|า|เ:ม|ฟ|ิ|ก|	U|l|t|r|a|m|a:f|i|c|
อ:ั|ล|ต|ร:า|โ|ซ|น|ิ|ก|ส:์|	U|l|t|r|a|s|o:n|i|c|s|
อ:ั|ล|ต|ร|า|ไ|ว|โ:อ|เ|ล|ต|	U|l|t|r|a|v|i|o|l|e|t|
อ:ั:ล|ต|า|ม|ี|ร|า|	A:l|t|a|m|i|r|a|
อ:ั:ล|ต:์|	A:l|t|
อ:ั:ล|ท|ิ|พ:ล:า|โ|น|	A:l|t|i|p:l|a|n:o|
อ:ั:ล|บ|ั|ม|	A:l|b|u|m|
อ:ั:ล|บ|า:เ|น|ซ|ี|	A:l|b|a|n:e|s|e|
อ:ั:ล|บ|ู|ม|ิ|น|อ|ย:ด:์|	A:l|b|u|m|i|n|o|i:d|
อ:ั|ล|ป:์|	U|l|p|
อ:ั:ล|พ|ิ:น|	A:l|p:i|n|
อ:ั:ล|ฟ|ั|ล|ฟ|า|	A:l|f|a|l|f|a|
อ:ั:ล|ฟ|า|	A:l|p:h|a|
อ:ั:ล|ฟ|า|โ:น:่|	A:l|f|a|n:o|
อ:ั:ล|ฟ|ี|ร:ี:่|	A:l|f|i:e|r:i|
อ:ั:ล|ม|อ|น|ซ|า|	A:l|m|a|n|z|a|
อ:ั:ล|ม|อ|น|ด:์|	A:l|m|o|n|d|
อ:ั:ล|ม|า|	A:l|m|a|
อ:ั:ล|ม|า|ร|ิ|ก|	A:l|m|a|r|i|c|
อ:ั:ล|ม|ี|ร:่:า|	A:l|m|i|r:a|
อ:ั|ล|ร|ิ|ก|	U|l|r|i|c|
อ:ั|ล|ล:อ:ย|	A|l:l|o:y|
อ:ั:ล|ล:อ:ย|เ:ซ|ี|ย|	A:l|o:y|s|i|a|
อ:ั|ล|ล|ิ:ส|ว|อ:เ:ต|อ:ร:์|	U|l|l|s|w|a:t|e:r|
อ:ั:ล|ล|ี|โ:อ|โ:ต:้|	A|l|i|o|t:o|
อ:ั|ล:ล:์|ส|ไ:ต|น:์|	U|l:l|s|t:e:i|n|
อ:ั:ล|ว|ิ|ส|	A:l|v|i|s|
อ:ั|ล|ส|เ:ต|อ:ร:์|	U|l|s|t|e:r|
อ:ั|ล|เ:ก|ร|น|	A|h:l|g|r:e|n|
อ:ั:ล|เ:ด:ิ|น|	A:l|d:e|n|
อ:ั:ล|เ:ด|ิ:่:น|	A:l|d|a:n|
อ:ั:ล|เ:บ|อ:ร:์|	A:l|b|e:r|
อ:ั:ล|เ:บ|อ:ร:์|ต|ี|น:่:า|	A:l|b|e:r|t|i|n:a|
อ:ั:ล|เ:บ|อ:ร:์|ส|,|	A:l|b|e:r|s|,|
อ:ั:ล|เ:บ:ิ|ร:์|ต|	A:l|b:e|r|t|
แ:บ|น|ด|ู|ร|า|	B|a:n|d|u|r|a|
อ:ั:ล|เ:ม|น|	A:l|m|e:n|
อ:ั|ล|เ:ม|อ:ร:์|	U|l|m|e:r|
อ:ั:ล|เ:ม:ิ|น|	A:l|m:o|n|
อ:ั|ล|เ|ม|ิ:่|น|	U|l|l|m|a|n:n|
อ:ั:ล|แ:บ|ร:์:ต|ี|น|ี|,|	A:l|b:e:r|t|i|n|i|,|
เ:ด:เ|ม|ต|ร|ี|โ:อ|	D:e|m:e|t|r|i|o|
อ:ั:ล|โ:ด:้|	A:l|d:o|
อ:ั:ล|โ:ต:เ|บ|ล|ี:่|	A:l|t:o|b:e|l:l|i|
อ:ั:ล|โ:ล:เ|ว|ย:์|,|	A:l|l:o|w:a|y|,|
ล|อ:ว:์|เ:ร|น|ซ|์|	L|a:w|r|e:n|c|e|
อ:ั:ล|ไ:ซ|เ:ม|อ:ร:์|	A:l|z:h:e|i:m:e|r|
อ:ั|ล:์|ฟ|	U|l|f|
อ:ั|ล:์|ม|	A|l|m|
อ:ั|ส:ก:์|	U|s:k|
อ:ั|ส|ต|า|น|า|	A|s|t|a|n|a|
อ:ั|ส|ม|า|ร|า|	A|s|m|a|r|a|
อ:ั|ส|เ:ซ|น|ช:ั|น|	A|s|c|e:n|s:i:o|n|
อ:ั|ส|เ:ม|ิ:่:น|	U|s|m|a:n|
อ:า|ก|ร|ี|ฮ|ั|น|	A|g|r|i|h|a|n|
อ:า|ก|อ|ส|ต|ี:โ|น|	A|g|o|s|t|i|n:o|
อ:า|ก|า|ป|ุ|ล|โ|ก|	A|c|a|p|u|l|c|o|
อ|า|ก|า|ร:์|ด|	A|a|g|a:a|r|d|
อ:า|ค|ร|ิ|ท|า|ร:์|ช|	A|c|r|i|t|a|r|c:h|
อ:า|ซ|อ|ฟ|	A|z|o|v|
อ:า|ซ|ิ|ม|อ|ฟ|	A|s|i|m|o|v|
อ:า|ซ|ิ|ม|อ|ฟ|,|	A|s|i|m|o|v|,|
ไ:อ|แ|ซ|ก|	I|s|a|a:c|
อ:า|ด|ั|ต|	A|d|a|t|
อ:า|ด|า|ม|ี:่|	A|d|a|m|i|
อ:า|ต|า|	A|t|a|
อ|า|ต:ี:้|	A|h|t:i|
อ:า|น|น|์|	A|n|n|e|
อ:า|น|ั|ก:ซ:ี|ม|ั|น:เ|ด|ร:์|	A|n|a|x:i|m|a|n|d:e|r|
อ:า|น|ั|ส|ต|า|เ:ซ|ี|ย|	A|n|a|s|t|a|s|i|a|
อ:า|น:ี|โ:ม|ม|ิ:เ:ต|อ:ร:์|	A|n|e:m:o|m|e:t|e:r|
อ:า|บ|า|บ|า|	A|b|a|b|a|
อ:า|บ|ิ|ด|จ|ั|น|	A|b|i|d|j|a|n|
อ:า|บ|ี|เ:ล|ี:ย|น|	A|b|e|l|i|a:n|
อ:า|บ:ี:้|	A|b:y|
อ:า|บ|ู|จ|า|	A|b|u|j|a|
อ:า|ป|ี|อ:า|	A|p|i|a|
อ:า|ฟ|ต|า|	A|f|t|a|
อ:า|ฟ|เ:ต|อ:ร:์|ช|็:อ|ก|	A|f|t|e:r|s:h|o|c:k|
อ:า|ฟ|เ:ต|อ:ร:์|เ:ช|ฟ|	A|f|t|e:r|s:h:a|v:e|
อ:า|ม:ั|ด|ต:์|	A|a:m:o|d|t|
อ|า:ย|ไ:ล|เ:น|อ:ร:์|	E|y|e:l:i|n|e:r|
อ:า|ร|บ|ิ|ก|	A|r:a|b|i|c|
อ:า|ร|ย|ั|น|	A|r|y|a|n|
อ:า|ร|ะ:เ:บ|ี|ย|	A|r|a:b|i|a|
อ:า|ร|า|ป|า|	A|r|a|p|a|
อ:า|ร|า|เ:ม:อ|ิ|ก|	A|r|a|m:a|i|c|
อ:า|ร|า|โ:ก:เ|น|ส|,|	A|r|a|g:o|n:e|s|,|
เ:ซ:อ|ร:์:จ|ี|โ:อ|	S:e|r:g|i|o|
อ:า|ร:ิ|น|ส:์|	A|h:r:e|n|s|
อ:า|ร|ิ|ส|โ|ต|เ:ต:ิ|ล|	A|r|i|s|t|o|t|l:e|
อ:า|ร|ิ|ส|โ:ต:เ|ต|เ:ล|ส|	A|r|i|s|t:o|t|e:l:e|s|
อ:า|ร:ิ:่|ง|	A|r:i|n:g|
อ:า|ร|ี:ไ|น|ต|์|	A|r|e|n|i:t|e|
อ:า|ร|ู|	A|r|o:e|
อ|า:ร:์|	A:h|r|
อ:า|ร:์|ก|	A|r|c|
อ:า|ร:์|ก|ต|ิ|ก|	A|r|c|t|i|c|
อ:า|ร:์|ก|ร:ิ|ส|	A|r|g|y:r:i|s|
อ:า|ร:์|ก|อ|น|	A|r|g|o|n|
อ:า|ร:์|ก|ิ|ว|	A|r|g|u|e|
อ:า|ร:์|ก|ไ:ร|ต:์|	A|r|k|w:r:i|g:h:t|
อ:า|ร:์|ค|ั|น|ซ|อ:ร|์|	A|r|k|a|n|s|a|s|
อ:า|ร:์|ค|า|โ:ด:้|	A|r|c|a|d:o|
อ:า|ร:์|ค|ิ|น|	A|r|k|i|n|
อ:า|ร:์|ค|ิ|เ:ท|ก|เ:ช:อ|ร|์|	A|r|c:h|i|t|e:c:t|u|r|e|
อ:า|ร:์|ค|ิ:เ|พ|ง|โ:ก:,|	A|r|c:h|i|p:e|n:k|o:,|
อ:ะ|เ:ล|็|ก|ซ:า|น|เ:ด|อ:ร:์|	A|l|e|k|-:s:a|n|d|e:r|
อ:า|ร:์|ค:ิ|โ:ก:เ|น|ี:ย|ม|	A|r|c:h:e|g:o|n|i|u:m|
อ:า|ร:์|ค|ี|โ:อ|โ:ซ:อ|ิ|ก|	A|r|c:h|e|o|z:o|i|c|
อ:า|ร:์|ค|ี|โ:อ:ไ|ซ|อ|า|ท|ิ|ด|	A|r|c|h:a:e|o|c|y|a|t:h|i|d|
อ:า|ร:์:จ|ิ|ล|ล|ิ|ก|	A|r:g|i|l|l|i|c|
อ:า|ร:์:จ|ิ:ล|ไ|ล|ต|์|	A|r:g|i|l|l|i:t|e|
อ:า|ร:์|ช|	A|r|c:h|
อ:า|ร:์|ช|ด|ี|เ:ค|ิ:้:น|	A|r|c:h|d|e:a|c|o:n|
อ:า|ร:์|ช|บ|ิ|ช|อ|ป|	A|r|c:h|b|i|s:h|o|p|
อ:า|ร:์|ช|ิ|บ|อ|ล|ด:์|	A|r|c:h|i|b|a|l|d|
อ:า|ร:์|ช|ี|	A|r|c:h|i:e|
อ:า|ร:์|ช|ี|	A|r|c:h|y|
อ:า|ร:์|ช|เ:ด|ล|	A|r|c:h|d|a:l:e|
อ:า|ร:์|ช|โ:บ|ล|ด:์|	A|r|c:h|b|o:l|d|
อ:า|ร:์|ด|ิ|ส|	A|r|d|i|s|
อ:า:ร|์:ด:ี|/:อ:า|ร:์|เ:อ|	R|d|/|r|a|
อ:า:ร|์:ด:ี|เ:อ:ฟ|	R|d|f|
อ:า|ร:์|ด|ี|โ:ซ|น:ี:่|	A|r|d|i|z:z:o|n:e|
อ:า|ร:์|ด|ี|้|	A|r|d|e|e|
อ:า|ร:์|ต|	A|r|t|
