ה|י:ט:פ|י|ל|ד|	H|e:t:f:i|e|l|d|
מ|ר|ס|י|ד|ס|	M|e:r|c|e|d:e|s|
ש:י:ג|י|ו|ש|י|	S:h:i:g:e|y|o|s:h|i|
ה|ו|ט|ו|	H|u|t|u|
פ|י|ר|נ|א|נ|ד|י|ז|	F|e|r|n|a|n|d|e|s|
נ:ג:ר|י|ל|א|	N:e:g:r|i|l|a|
מ|ו|ט|ו|	M|u|t|u|
ד:ו:ב|ר|י|	D:u:b:e:r|r|y|
ג:י|נ:י:ס|	G:u:i|n:n:e:s:s|
ר|י|מ|י|ט|י|ר|	R|e|m|e|t:t|e|r|
ע:א|ס|י|	A|s|i|
פ|ו|ר|י|ס:ו:ן|	F:a|u|r|i|s:s:o:n|
ג:'|ו|א:נ:א|	J|o|a:n:n:a|
א|ב|ר|ה|א|ר|ד|	E|b|e:r|h|a|r|d|
ה|ו|ר|י|ס|ו|ן|	H|o|r|i|s|o|n|
ס|ט|א|מ|ב|א|כ:ר|	S|t|a|m|b|a|c:h:r|
ב|ו|י|ד|	B|o|y|d|
י|ו|ל|	Y|u|l|
ק|ו|ק|ו|	C|o|c|u|
ב|א|ס|י|נ|א|ס|	B|a|s|i|n|a|s|
ג:'|ו|נ|ג|ר|	J|u|n|g|e:r|
ס:ל|א|מ:ה|	S:a:l|a|m:e:h|
ס|ו|ל|	S|u|l|
ג|ו|ט|פ:ר:י|ד|	G|o|t:t|f:r:i:e|d|
א:ל:ר|י:ט:ש|	E:l:r:i|c:h|
ק:י:ס|ר|	K:e:i:s|e:r|
ר:א:ס|ל|	R:u:s:s:e|l:l|
ט|ק|ס|י|ם|	T:a|k|s|i|m|
י|ו|ר|י|פ|י|ד|י|ז|	E|u|r|i|p|i|d|e|s|
ל|א|נ|ג|	L|a|n|g|
ב|ר|א|ה|ם|	B|r|a|h:e|m|
מ|י|ט|ו|מ|ו|	M|e|t:t|o|m|o|
ק|א|פ|ו|	C|a|f|u|
ה|א|ו|ס|א|ו|י|	H|a|w|s|a|w|i|
ז:ק:ר|י:א|	Z:a:k:a:r|i:y:y:a|
ג:'|א|ר:ז:י|נ|י|ו|	J|a|i:r:z:i|n|h|o|
ל:ו:י|ן|	L:e:v:i|n:e|
פ|י|י|ר|י|נ|ו|	P|i|e|r|i|n|o|
ה:נ:י|ד|י|	H:e:n:e|d|i|
ס|א|ב|ו|ר|י|ו|	S|a|b|o|r|i|o|
ר|ו|ג|'|ר|ז|	R|o|g|e|r|s|
צ:'|י|ד|ל|	C:h:e|a|d|l:e|
א|ל:י:ג|י|י|ר|י|	A|l:i:g:h|i|e|r|i|
ק|ל|י|י|ר|	C|l|a|i|r|
ש|א|נ|ק|ל|י|	S:h|a|n|k|l|y|
ח:ו:מ|ס|י|	H:u:m:s|s|i|
י:פ|י|ם|	Y:e:f|i|m|
ס|ט|י|פ:נ:ס|	S|t|e|p:h:e:n:s|
ת:א|נ|ט|	T:h:a|n|t|
א|ו|ד|ר|י|	A|u|d|r:e|y|
ט|י|ר|י|ם|	T|e|r|i|m|
ג:'|ו|נ|י|ו|ר|	J|u|n|i|o|r|
ג|א|ל|י|נ|ו|ב|י:ט:ש|	G|a|l|i|n|o|v|i:c|
ו|י|ט|ס|ט:ש:ג|	W|i|t|s|c:h:g:e|
ה|ו|א|ר|ד|	H|u|a|r|d|
ד|א|ק|ו|ט|א|	D|a|k|o|t|a|
ט|א|ק|א|ש|י|	T|a|k|a|s:h|i|
ס|א|ר|א|נ|ד|ו|ן|	S|a|r|a|n|d|o|n|
ק|ר|ו:ז:ן|	K|r|u:z:e:n|
ט|י|ר|	T|i|r|
ר|ו|ס|ט|י|ס|ל|א|ב|	R|o|s|t|i|s|l|a|v|
ר|א|נ|י|	R|a|n|i|
א:נ:ד|ה:ו:ב|ן|	E:i:n:d|h:o:v:e|n|
פ:ל:י|ס|	P:l:e:s|s|
ט:ו:ק|א|ן|	T:o:u:q|a|n|
ה|א|נ|י|	H|a|n|i|
ה|י|ר|ו:ס:ו|	H|i|r|o:s:u:e|
ד:א:ל|מ|א|ן|	D:a:h:l|m|a|n|
ק|י|ו:ו:ל|	K|e|w:e:l:l|
ז:ו:ב|י|ר|	Z:o:u:b:e|i|r|
נ|א|נ|י|	N|a|n|i|
ל|י|נ|א|ר|י|ס|	L|i|n|a|r|e|s|
ש|י:י|ן|	S:h|a|n:e|
ד|א|נ|י|	D|a|n|i|
נ|א|ק|א|ז|א|ו|א|	N|a|k|a|z|a|w|a|
ג|ר|א|ה|א|ם|	G|r|a|h|a|m|
ר|א|מ|ב|ו|ט|א|ן|	R|a|m|b|u|t|a|n|
א|ד:י|	E|d:d:i:e|
ר|ו|י|א|ל|	R|o|y|a|l|
ה|י|ר|ו|א|ק|י|	H|i|r|o|a|k|i|
ר:א:ש|ד|	R:a:s:h:e|d|
פ|א|ל|א|ד|י|ו|	P|a|l:l|a|d|i|o|
ס|א|נ|ט|א|נ|א|	S|a|n|t|a|n|a|
ג:ו:ה|ר|	G:o:h:a|r|
מ|י|ד:ל|ט|ו|ן|	M|i|d:d:l:e|t|o|n|
ק|א|ר|ט|י|י|ה|	C|a|r|t|i|e|r|
פ|ו:ל|ס:ן|	P|o:u:l|s:e:n|
ג:'|י|נ|י|י|	J|e|n|e|i|
ר|ש|י|ד|	R:a|s:h|i|d|
ט|ו|ש|י|ר|ו|	T|o|s:h|i|r|o|
ג:'|י|נ|י|ו|	J|i|n|y|u|
י|ו|מ|י|	Y|u|m|i|
ו|י|ל|ו|י|ן|	W|e|l|w|y|n|
ו|ו|ק|ו|ט|י:ט:ש|	V|u|k|o|t|i:c|
ו|א|ק:ס|מ|א|ן|	W|a|x|m|a|n|
ג|א|ב|י|	G|a|b|y|
ע:מ:נ|ו|א|ל|	E:m:a:n|u|e|l|
ש|א|ג|א|ס|	C:h|a|g|a|s|
ט|ו|ש|י|מ:י|ט:ש:י|	T|o|s:h|i|m|i:c:h:i|
ק|ו|מ|י|	K|u|m|i|
א|נ|ד|מ|ו|ל|	E|n|d:e|m|o|l|
ב|א|ר|ט|ר|	B|a|r|t:t|e:r|
ר|י|י|נ|ה|א|ר|ט|	R|e|i|n|h|a|r|t|
א|ר|נ:י|	E|r|n:i:e|
ו|א|ל|א:ך|	W|a|l|l:a:c:h|
ט|א|ו:ב|	T|a|u:b:e|
ק|י|פ|ר|י|א|ן|	C|i|p|r|i|a|n|
ד|ו|נ|ו|ב|א|ן|	D|o|n|o|v|a|n|
פ:י:צ|ג|'|ר|א|ל|ד|	F:i:t:z|g|e|r|a|l|d|
ר|א|ס|מ:ו|ס|י|ן|	R|a|s|m:u:s|s|e|n|
א|נ|ג|ק|ו|ר|	A|n|g|k|o|r|
ר|ש|א|ד|	R:a|s:h|a|d|
פ|א|נ|ג|ז:':ו|	F|a|n|g|z:h:u:o|
ל|י|כ:ט:ס|ט|י|י|נ|ר|	L|i|c:h:t:s|t|e|i|n|e:r|
פ|ו|מ|פ:י:י|	P|o|m|p:e:i:i|
ס|ו|ם|	S|o|m|
ט|ו|ם|	T|o|m|
ה:א|י|ד|	H|y|d:e|
ד|י|ב|א|ל|	D|e|v|a|l:l|
מ|ו|ד|ר|	M|o|d|e:r|
מ|ב|ו|מ|א|	M|b|o|m|a|
ס:י:ז|ר|	C:e:s:a|r:e|
ג:ו:מ|א|ס|	G:o:u:m|a|s|
ס:ר:ב|א|נ|ט|ס|	C:e:r:v|a|n|t:e|s|
ר:ו:ס|	R:u:s:s|
ת:י:ר|א|ב|א|ד|א|	T:h:e:r|a|v|a|d|a|
ד|ו|ם|	D|o|m|
ח:פ:י|ט|	H:a:f:e:e|t|
ש|ו|ר|י|	S:h|o|r:e|y|
ק|א|פ|ס|י|ס|	K|a|p|s|i|s|
ב|ר|א|ט|	B|r|a|t:t|
א|ל|ט|א|י|	A|l|t|a|i|
ר|א|ל|ב|	R|a|l:e|b|
א|ל|פ|ו|נ|ס|	A|l|f|o|n|s|
מ|א|ל|ט:י:ז|	M|a|l|t:e:s:e|
ט|ר|א|ב|ל|ס|י|	T|r|a|b|e:l|s|i|
ב|א|ל|ק|א|נ|ז|	B|a|l|k|a|n|s|
נ:ו:ב|י:ט:ס|ק|י|	N:o|w:i:t:z|k|i|
ב|ר|א|ט|ז|	B|r|a|t|z|
ס|ק|א|ח|	S|k|a|h|
ר|ו|ד:י|	R|o|d:d:y|
א:ו|ק|	U|k|
ח|ו|ר|מ:ח:ב|	H|o|r|e:m:h:e:b|
ס|ו|מ:ר|ה|א|ל|ד|ר|	S|o|m:e:r|h|a|l|d|e:r|
ז|ב|א|ר|ט|נ|ו|ט|ס|	Z|v|a|r|t|n|o|t|s|
ק|א|ר|מ|י|ל|ו|	C|a|r|m|e|l|o|
ו|א|ר|ג|א|ס|	V|a|r|g|a|s|
מ|י|ל|א|נ|ו|	M|i|l|a|n|o|
ח:ל|י|פ|ה|	K:a:l|i|f|a|
ק|א|ס|פ|ר|	K|a|s|p|e:r|
ו:י:ג|ו|ר|	U:y:g:h|u|r|
ג|ו|י|ל|ו|ט|	G|u|i|l:l|o|t|
ס:י:מ|א|ן|	S:e:a:m|a|n|
ר|י|נ|א|ן|	R|e|n|a|n|
ר:ד:י|א|ר|ד|	R:u:d:y|a|r|d|
ד|י|ק:ר|	D|e|c:k:e:r|
ס|י|ק|ו|ר|ס|ק|י|	S|i|k|o|r|s|k|y|
ב|ר|ו|	B|r|u|
ב:ו:ג|ל|	V:o:g:e|l|
א|נ|ו|ב|י|ס|	A|n|u|b|i|s|
י:ו:נ|ס|	Y:o:u:n:i|s|
ק:ו:ל|ש|ר|א:י|ב|ר|	K:o:h:l:s|c:h|r:e|i|b|e:r|
ש:מ:ע|ו|ן|	S:h:i:m|o|n|
מ|ו|ר|י|ס|י|ו|	M:a|u|r|i|c|i|o|
כ:א:י|א:ש:י|	K:h:a:y|a:c:h:i|
ג|ו|א|ר|י|נ|ו|	G|u|a|r|i|n|o|
ר|ו|ב|ס|ו|ן|	R|o|b|s|o|n|
ב|ר|י|נ|ד|א|	B|r|e|n|d|a|
י:ו:נ|ס|	Y:o:u:n:e|s|
ב|ו|ב|א|ד|י|ל|א|	B|o|b|a|d|i|l:l|a|
ב:נ:ד|י|ק|ט|	B:e:n:e:d|i|c|t|
נ|י|ק|ו|ל|א|י|	N|i|c|o|l|a|e|
ה|א|י:ת:ם|	H|a|i:t:h:a:m|
ס|ק|א|ל|ו|נ|י|	S|c|a|l|o|n|i|
ק|ר|י|ם|	K|r|i|m|
ע:ו:ט|י:י:ף|	O:t:a:i|f|
ב|ו|י|נ|ו|	B|u|e|n|o|
ד|י|ו|מ|א|נ|ס|י|	D|i|o|m|a|n|s|y|
י:ו:נ|ו|ס|	Y:o:u:n|u|s|
ז|י|ל|א|י|א|	Z|e|l|a|y|a|
נ|י|ב|י|ס|	N|e|v|e|s|
ב|י|ר|נ|י|נ|י|	B|e|r|n|i|n|i|
ר|ו|מ|י|נ|א|	R|o|m|i|n|a|
ק|ר|י|ם|	K|e:r|i|m|
ח:ו:ס|י:י|ן|	H:u:s:s|a|i:n|
ס|א|נ|ס|ו|ם|	S|a|n|s|o|m|
ח:ו:ס|י|י|ן|	H:u:s:s|e|i|n|
ה|ר|א|ר|י|	H:a|r|a|r|e|
ס|ט:ר:ל|ס|ו|ן|	S|t:u:r:l:u|s|o|n|
ב:ק|ר|	B:e:c:k:e|r|
א|ל|ב|נ:י:ה|	A|l|b|a:n:i:a|
מ:ו|א|ז:':ן|	M|a|o:z:h:e:n|
ק:נ:י|פ|ר|	K:n:i:p:p|e|r|
ה|ו|ל|ו:י:י|	H|o|l|l:o:w:a:y|
ז|י|ל|י|ק|ו|	Z|e|l|j|k|o|
ב|ו|מ|י|ס|	B|o|m|i|s|
ר|ו|ג|'|ר|	R|o|g|e|r|
ס|ו|ג|י|ה|א|ר|א|	S|u|g|i|h|a|r|a|
ס|ט|י|פ|א|נ|י|	S|t|e|f|a|n|i|
ק|א|ב|ו|נ|ג|ו|	K|a|b|o|n|g|o|
ג:'|י|ב|ר|י|ל|	J|i|b|r|i|l|
ד|ו|ר|י|י|ד|	D|u|r|a|i|d|
ט|ו|ר|ס|ט|ן|	T|o|r|s|t:e|n|
מ:א:ק|ל|א|ר|י|ן|	M:c|l|a|r|e|n|
א|פ|ו|ל|ו|	A|p|o|l|o|
ק|ו|א|י|	K|w|a|i|
א|ר|א|ט|ו|	E|r|a|t|o|
ט:ו:מ|א|ס|ו|	T:o:m:m|a|s|o|
ו|ל|א|ס|ט|י|מ|י|ל|	V|l|a|s|t|i|m|i|l|
מ|א|ר|י|א|ס|	M|a|r|i|a|s|
נ|י|ב|א|ד|א|	N|e|v|a|d|a|
ל|י|ס|א|	L|i|s|a|
ד|ר|א|ג|ו|ס|ל|א|ב|	D|r|a|g|o|s|l|a|v|
מ|י|ר|ק|	M|e|r|k|
ק|א|ר|א:ב:א|ג:':י|ו|	C|a|r|a:v:a:g:g|i|o|
ק|א|נ|ו|ב|א|	C|a|n|o|v|a|
ג:'|ו|נ|א|ס|	J|o|n|a|s|
ק:ב:א|נ|י|	Q:a:b:b:a|n|i|
ק|י|ר|ב|י|	K|i|r|b|y|
ס|א|ב|ר|ו|ס|א|	S|a|b|r|o|s|a|
פ:י:ק|א|ד|י|ל|י|	P:i:c:c|a|d|i|l:l|y|
ה:י:נ|י|	H:e:a:n:e|y|
א:ל:י|א|ס|ו|	I:l:l:i|a|s|u|
י|א|ר|	Y|a|r|
פ|ר|י|ד|ר|י|ק:ס|	F|r|e|d|e:r|i|c:k:s|
ד|א|ל|י|ד|א|	D|a|l|i|d|a|
ד:ו:ג|ל:א:ס|	D:o:u:g|l:a:s:s|
ס|י|נ|ג:'|ו|ר|ו|	S|e|n|j|u|r|o|
פ|א|ס|ק|א|ל|	P|a|s|c|a|l|
ח|י|ד|ר|	H:a|i|d|e:r|
מ:א:י|ר|	M:e:i:e|r|
ס|פ|א|ל|י|ט|י|	S|p|a|l:l|e|t:t|i|
ל:ג:ו|נ|ה|	L:a:g:u|n|a|
ג|ו|מ|י|ס|	G|o|m|i|s|
ו|י|ט|ר|ו|ב|י|ו|ס|	V|i|t|r|u|v|i|u|s|
ג:'|י|א:י|	J|i|a:y:i|
ד|א|ר|	D|a|r|
א|ת|ר|ו|ג|	E|t|r|o|g|
א|ל|ב|י|	A|l|b|i|
א|ר|י|ז|ו|נ|א|	A|r|i|z|o|n|a|
מ|י|ל|י|א|ן|	M|i|l|j|a|n|
ט|י:י:ט|	T:a|t:e|
ג|א|ר|ב|א|	G|a|r|b|a|
ק|א|ס|פ|א|ר|	C|a|s|p|a|r|
פ|ו|פ:י:ו|ל|א|ר|	P|o|p:u|l|a|r|
ו:א:ק|ס|מ|א|ן|	W:a:c:h|s|m|a|n|
ה|א|מ|א|ג|ו|צ:'|י|	H|a|m|a|g|u|c|h:i|
ח:מ:י|ד|י|	H:e:m:i|d|i|
ב:ל|א|ש|	B:a:l|a|s:h|
ד|א|ל|ג|ל|י|ש|	D|a|l|g|l|i|s:h|
א:י|ד|ו|	E|d|o|
ד:ו:ר|ו|	D:o:u:r|o|
נ:ו|א|ק:ש:ו|ט|	N:o:u|a|k:c:h:o:t|t|
ח:צ:ו|ר|	H:a:t:z:o|r|
ע|נ|א|י|א|ט|י|	E|n|a|y|a|t|i|
ט|ו|ב:א:י|א|ס|	T|o|b:i|a|s|
ג|ר|י|ג|י|ר|א|	G|r|y|g|e|r|a|
ד:י|ס|	D:i:s|s|
ר|ו|ס|ל|א|ן|	R|u|s|l|a|n|
ר|ו|ד|י|	R|u|d|y|
ד:ל:א|ד|י|י|ה|	D:a:l:a|d|i|e|r|
מ|א|ז|ד|א|	M|a|z|d|a|
פ|י|ש|	F|i|s:h|
ד:י:י|ב|י|ד|ס|ן|	D:a|v|i|d|s|o:n|
ל|י|נ|ד|ו|ן|	L|y|n|d|o|n|
ו|א|ג|נ|ר|	V|a|g|n|e:r|
ד|ו|ר|ב|א|ן|	D|u|r|b|a|n|
ר|ו:ד|ב|א|ר|י|א|ן|	R|o:u:d|b|a|r|i|a|n|
ר:י|א|ן|	R:a:y:y|a|n|
ק|י|ר|י|	K|e|r|i|
ס|א|י|פ|א|ן|	S|a|i|p|a|n|
ק|י|נ|ס|ק|י|	K|i|n|s|k|i|
ד|ו|מ|נ:ג:י|נ|י|	D|o|m|e:n:g:h:i|n|i|
ז:א:ר|מ:א:ך|	S:z:a:r|m:a:c:h|
ז:א:ק|י|ר|ו|נ|י|	Z:a:c:c:h|e|r|o|n|i|
ב|י|ד|א|ט|ס|ו|	B|i|d|a|t|s|u|
ט|ו|מ|ו|ק|א|ז|ו|	T|o|m|o|k|a|z|u|
ב:ו:י|	B:o:y:e|
ש|י:ך|	C:h|e:i:k:h|
ה|ר|מ|ו|ן|	H|e:r|m|o|n|
מ:י:ק|י|	M:i:c:k:e|y|
ט:א:ס|ו|ס|	T:a:s:s|o|s|
ב|ר|א|ש:י:א|ל|י|	B|r|a|c:c:i:a|l|i|
ה|ר|מ|א|ן|	H|e:r|m|a|n|
ס|ו|ל|ו|מ|ו|ן|	S|o|l|o|m|o|n|
מ|ו|נ|ט|א|נ|א|	M|o|n|t|a|n|a|
ר|י:א|ש|י|	R|i:y:a|s:h|i|
ס:י|ל:י:ש|	S|e:l:e:s|
ט|א|ר|ק|א|ן|	T|a|r|k|a|n|
פ|ל:א:ס|י:ד|ו|	P|l:a:c:i|d|o|
ה|י:ס:ה|	H|e:s:s:e|
ג|א|ב|ר:י:ל|	G|a|v|r:i:i:l|
ג|ר|ש|ו|ן|	G|e:r|s:h|o|n|
מ|א|ק|א|פ|א|	M|a|c|a|p|a|
פ|י|ק|א:ס:ו|	P|i|c|a:s:s:o|
ק|ו|נ|ס|ט|א|נ|ט|י|ן|	C|o|n|s|t|a|n|t|i|n|
א:ק:ר|מ|א|ן|	A:c:k:e:r|m|a|n|
ק|ו|נ|א|ן|	C|o|n|a|n|
ג|א|ס|פ|א|ר|	G|a|s|p|a|r|
מ:ס|י|נ|א|	M:e:s:s|i|n|a|
מ|ו|ר|ר|	M:a|u|r|e:r|
ד:ק:ל|י|ם|	D:e:k:a:l|i|m|
ר|ו|מ|י:ו:ל|ו|ס|	R|o|m|u:l|u|s|
ק|א|ז|ו|י|ו|ש|י|	K|a|z|u|y|o|s:h|i|
ק|א|ב|	C|u|b|
ק|א|ל|י|נ|י:ט:ש|	K|a|l|i|n|i:c|
ט|א|מ:י:ט|	T|a|m:m:e:t|
י:ו:נ|ג|	Y:o:u:n|g|
ב|י|ג|	B|i|g|
ד|א|ר|י|ו|ס|	D|a|r|i|u|s|
ק:א:ר|ר|	K:a:r:r:e|r|
ב|א|ד|ו|ל:י:ו|	B|a|d|o|g:l:i:o|
ק|ר|י|ס|	K|r|i|s|
פ|ו|ר|ס|ט|ר|	F|o|r|s|t|e:r|
מ|ו|נ|ט|ו|ל|י|ב|ו|	M|o|n|t|o|l|i|v|o|
ס:י:ג|א|ל|	S:e:a:g|a|l|
א:ק:א|ד|י|מ|י|ה|	A:c:c:a|d|e|m|i|a|
ס:א:ר|ט|ג:'|י|	S:a:a:r|t|j|i:e|
ק:צ:י|ר|	K:a:t:z:i|r|
ד|י|א|ב|י|	D|i|a|b|y|
ק|א|ט|ז|ר|	K|a|t|z|e:r|
פ|א|ר|ו|ק|	F|a|r|u|k|
מ:ס|י|	M:e:s:s|i|
ר|ו|ז|י|ט|י|	R|o|s|e|t:t|i|
ב|ר|ו|י|ס:א:ר|ט|	B|r|o|i|s:s:a:r|t|
מ|י|ד|א|ן|	M|e|d|a|n|
ה:ל:ן|	H:e:l:e:n|
ע:א|מ:ר|	A|m:e:r|
ס|פ|י:צ:ר|	S|p|i:t:z:e:r|
ב|ו|י|א|צ:'|ק|	V|o|j|a|c|e:k|
ה|י|ל|י|ג|י|ן|	H|e:y|l|i|g|e|n|
ה:ד:מ|א|ן|	H:e:d:m|a|n|
ו|ו|נ|ד|ר|ל:י:ש|	W|u|n|d|e:r|l:i:c:h|
ק|י|ז|י|ל|	K|y|z|y|l|
ה|ר|י|ס|ט|ו|ב|	H|r|i|s|t|o|v|
פ|ו|ס|א|ק|ו|	F|u|s|a|k|o|
מ|י|י|נ:י|ו|	M|e|y|n:i:e|u|
ק|י|נ:ו:ק|	K|i|n:n:o:c:k|
ד|ו|ב|ס|ו|ן|	D|o|b|s|o|n|
ד:ו:ל|י|ט|ל|	D:o:o:l|i|t:t|l:e|
ש|י|ב|א|נ|ט|ו|ן|	C:h|e|v|a|n|t|o|n|
ב|ל|י|י|ר|	B|l|a|i|r|
ס|י|ל|א:ס:י|	S|e|l|a:s:s:i:e|
ח|ד|י:ת|	H:a|d|i:t:h|
נ|י|ק|ו|ל|ו|	N|i|c|o|l|o|
ד|ו|מ|י|נ|י|ק|	D|o|m|i|n|i|k|
ק|א|נ|ט|א|ב|ר|י|א|	C|a|n|t|a|b|r|i|a|
ר|ת:ר:פ|ו:ר:ד|	R|u:t:h:e:r|f:o:r:d|
נ|א|ק|א|י|א|מ|א|	N|a|k|a|y|a|m|a|
ג:ו:ב|ל|ז|	G:o:e:b:b|e:l|s|
נ|י|ל|י|	N|i|l|i|
ו|י|א|צ:'|י:ס|ל|א|ב|	V|y|a|c:h:e|s|l|a|v|
ת:א|ל|י|א|	T:h:a|l|i|a|
ג:'|נ:ט|י|א|נ|א|	G|e:n:t|i|a|n|a|
א|ו|ב|ר|י|	A|u|b|r:e|y|
ו|א|ט|ס|ו|ן|	W|a|t|s|o|n|
מ:א|ת:י:ו|	M:a:t|t:h:i:e:u|
פ|א|ו|	P|a|u|
ג:'|א|נ|ו|ס:ק:י|	J|a|n|o|w:s:k:i|
פ|א|ר|א|ס|י:ט:א|מ|ו|ל|	P|a|r|a|c:e|t:a|m|o|l|
ג:':ס|י|	J:e:s:s|e|
ב|ר|ו|ל|	B|r|u|l|
מ|י|ל|י|ס|	M|e|l|e|s|
ק:י:נ|י|י|	Q:u:e:s:n|a|y|
מ:א:ק|ק:י:נ|א|	M:c|k:e:n:n|a|
מ:י:ס|י|ס|י:פ:י|	M:i:s:s|i|s|s:i:p:p:i|
ו|י|צ:מ:ן|	W|e|i:z:m:a:n|
מ:ו:נ|ת:ס:ר|	M:o:n:t|a:s:s:e:r|
ב:ו|	B:a:u|
ב|ו|ז|א|ן|	B|u|z|a|n|
ע:י:ו|ן|	A:y:o:u|n|
ב:ו:ן|	B:o:n:n|
ב|ו|ז|א|ו|	B|u|z|a|u|
ג|א|ר|י|ק|ס|	G|a|r|i|c|s|
ר|א|מ|א:ז:ו|ט|י|	R|a|m|a:z:z:o:t|t|i|
נ|א|ט|א|ס|א|	N|a|t|a|s|a|
ג|ו|ט|מ:א:ן|	G|u|t:t|m:a:n:n|
ד|א|ב|י|ד|ק|א|	D|a|v|i|d|k|a|
ה|י|ד|י|ט|ו|ש|י|	H|i|d|e|t|o|s:h|i|
פ|ו|ר:פ:י|ר|י|א|	P|o|r:p:h:y|r|i|a|
ד:י|א:נ:א|	D|h:y:n:a|
ק:ו:פ|ל|	K:o:p:p:e|l|
ה|א|ר|פ|ו|	H|a|r|p|o|
ה|א|ט:א:פ|ו|ר|ן|	H|a|t:t:h:a:p|o|r|n|
פ|ו|נ|ז|י|ו|	P|o|n|z|i|o|
ג|י:ל|	G|i:l:l:e:s|
ג:ל|ב:ו:ע|	G|i:l:b:o:a|
ה:א:ן|	H:a:h:n|
ד|א|ר|א|ב|ו|נ|ט|	D|a|r|a|b|o|n|t|
י:א:ן|	J:a:h:n|
ב|ר|י|ס:ו:ן|	B|r|i|s:s:o:n|
ו|ר|ק|ו:ט:ר|	V|e:r|c|o:u:t:r:e|
מ|י|נ|א|מ|ב|ר|י|ס|	M|i|n|a|m|b|r|e|s|
ג|א|ל|א|ה|א|ד|	G|a|l|a|h|a|d|
ב:ו:כ|א|ר|י|ן|	B:u:k:h|a|r|i|n|
ל|א|ר|י|ג:'|א|נ|י|	L|a|r|i|j|a|n|i|
א|ר|י|ט|ר|י|א|	E|r|e|t|r|i|a|
ל|י|א|ק:ו:ב|	L|i|a|k:h:o:v|
פ|ו|ל|ק|	F|o|l|k:e|
ג|ו|י|ב|ו|ז|א|	G|u|e|b|u|z|a|
ר:י:ג|ן|	R:e:g:a|n|
ט|א|ק|א|נ|ו|ה|א|נ|א|	T|a|k|a|n|o|h|a|n|a|
ל:א|י|ו|ט|א|	L|i|o|t:t|a|
ב|ו|ק|	B|o|c|
מ|א|ר:י:א|	M|a|r:i:a:h|
ז:א:י|נ:א:ד|פ:ו:ר|	Z:a|n:i:d:p:o|u:r|
מ:ס|י|י|ה|	M:e:s:s|i|e|r|
מ|א|י|ד|א|	M|a|e|d|a|
ג|ו|ז|א|ן|	G|u|z|a|n|
ס:י:ל|ס|ט|י|ן|	C:e:l:e|s|t|i|n:e|
א|נ|א|ה|א:י|ם|	A|n|a|h:e|i|m|
מ|ו|נ|ט:א:ן|	M|o|n|t:a:n:d|
ב|א|ר|ז|א|נ|י|	B|a|r|z|a|n|i|
ע|ב|ד|ו|ה|	A|b|d|u|h|
א:י|נ|ד|ו|נ|י|ז|'|א|	I|n|d|o|n|e|s|i|a|
ד:ו|א:י:ן|	D|w:y:a:n:e|
ו|י|ט|ל:א:ס|י:ל|	V|y|t|l:a:c:i|l|
ע|י|א|ש|	A|y|a|c:h:e|
ב|ו|ר|ל|א|נ|ד|	B|o|r|l|a|n|d|
ע:ו:ר|ו:ה|	U:r:w:a|h|
ה:י:ת|	H:e:a:t:h|
ט:י:י|ר|י|	T:h:i:e:r|r|y|
ב|ו|ד|ר|ו|ם|	B|o|d|r|u|m|
צ|'|א|ר:ו:ד|י|ן|	C|h|a|e:r:u:d:d|i|n|
א|ק|ו|א|ד|ו|ר|	E|c|u|a|d|o|r|
ו:א:ר|י|ז|	J:u:a:r|e|z|
י|א|ר|נ|ו|	J|a|r|n|o|
פ|ר:י|ד|נ|ס|ר|א:י:ש|	F|r:i:e|d:e|n|s|r|e:i:c:h|
ו|י|ם|	W|i|m|
מ:י:כ|א:ל:י|ט:ש:י|נ|ק|ו|	M:y:k:h:a|y|l:y:c:h:e|n|k|o|
ג:'|א|ו:ה:ר|	J|a|w:h:a:r|
ג:':א|נ|י|נ|י|	G:i:a:n|n|i|n|i|
ר|א|ב|י|ן|	R|a|v|i|n|
פ|ו|ר|ד|	F|o|r|d|
מ|י|נ|ו|	M|e|n|o|
ה|ו|ד:ל|	H|o|d:d:l:e|
ג:'|ר:ם|	J|r:m:e|
ה|י|א|ם|	H|i|a|m|
ס|ע|ו|ד|	S|a|u|d|
ק|י|ר|א|ל|א|	K|e|r|a|l|a|
מ|ו|ד|י|נ|ג|א:י|	M|u|d|i|n|g|a:y:i|
ל|י|א|ם|	L|i|a|m|
ק|ס:א:ב|	K|a:s:s:a:b|
ב|ו|ל|י|ק|ן|	B|u|l|y|k|i:n|
מ|ו|ד|	M:a|u|d|
ס|י|מ|י|ו|נ|י|	S|i|m|e|o|n|e|
ס|י|ס|י|נ|ה|ו|	C|i|c|i|n|h|o|
ד|א|ו|ד|	D|a|u|d|
ב|ל:י:ז|	B|e:l:i:z:e|
ק:א:ת|ק|א|ר|ט|	C:a:t:h|c|a|r|t|
פ|ר:י|ד|ר:י:ק|	F|r:i:e|d|r:i:c:h|
מ|א|ר|ט|י|	M|a|r|t:t|i|
ק:ז:א|נ:ת|ו|פ|ו:ל|ו|ס|	X:a|n:t:h|o|p|o:u:l|o|s|
מ:י:י|ז:ו:נ|ו|	M|a:e:z:o:n|o|
מ|א|ג:':ר|	M|a|d:j:e:r|
ט|י|מ|ו|	T|i|m|o|
פ|ו|נ|ט|א|נ|א|	F|o|n|t|a|n|a|
